x0000,y0000
0.2096502641,7546.353618,
0.2114633843,7030.46875,
0.2132765045,6199.584375,
0.2150896247,5807.207589,
0.216902745,6356.480564,
0.2187158652,5901.869391,
0.2205289854,5142.908482,
0.2223421056,5293.289274,
0.2241552258,5613.578125,
0.225968346,5239.921113,
0.2277814662,4261.891964,
0.2295945865,4948.653516,
0.2314077067,4695.807292,
0.2332208269,4647.239583,
0.2350339471,3664.256944,
0.2368470673,4425.752486,
0.2386601875,4237.162064,
0.2404733077,3926.316016,
0.2422864279,3210.002804,
0.2440995482,3848.15997,
0.2459126684,3587.430804,
0.2477257886,3347.842187,
0.2495389088,3101.169085,
0.251352029,3387.024709,
0.2531651492,3164.914931,
0.2549782694,2843.100962,
0.2567913897,2858.445845,
0.2586045099,3027.267708,
0.2604176301,2844.486702,
0.2622307503,2492.951953,
0.2640438705,2677.366523,
0.2658569907,2693.9124,
0.2676701109,2488.104056,
0.2694832312,2118.776296,
0.2712963514,2584.243594,
0.2731094716,2493.111037,
0.2749225918,2221.324056,
0.276735712,2043.437128,
0.2785488322,2264.07497,
0.2803619524,2103.75558,
0.2821750727,2069.403764,
0.2839881929,1850.991356,
0.2858013131,2018.444411,
0.2876144333,1974.312337,
0.2894275535,1741.684722,
0.2912406737,1738.23868,
0.2930537939,1794.269301,
0.2948669142,1721.03597,
0.2966800344,1591.16059,
0.2984931546,1668.719822,
0.3003062748,1648.487703,
0.302119395,1571.3275,
0.3039325152,1388.915104,
0.3057456354,1592.69517,
0.3075587557,1507.021123,
0.3093718759,1442.405025,
0.3111849961,1327.946827,
0.3129981163,1469.011648,
0.3148112365,1372.465625,
0.3166243567,1310.797317,
0.3184374769,1269.053594,
0.3202505972,1347.498884,
0.3220637174,1279.309896,
0.3238768376,1171.535156,
0.3256899578,1202.809345,
0.327503078,1224.314732,
0.3293161982,1166.107205,
0.3311293184,1093.634804,
0.3329424386,1144.463199,
0.3347555589,1130.14938,
0.3365686791,1093.258107,
0.3383817993,980.7125901,
0.3401949195,1073.362956,
0.3420080397,1071.079383,
0.3438211599,1024.051215,
0.3456342801,957.9140625,
0.3474474004,1028.938653,
0.3492605206,1001.966797,
0.3510736408,949.1817853,
0.352886761,924.913268,
0.3546998812,969.218939,
0.3565130014,946.617513,
0.3583261216,907.5888672,
0.3601392419,888.1657177,
0.3619523621,913.0432249,
0.3637654823,867.8304303,
0.3655786025,838.4469039,
0.3673917227,863.4579763,
0.3692048429,877.5149846,
0.3710179631,832.0092853,
0.3728310834,805.5014205,
0.3746442036,860.4205933,
0.3764573238,830.5823463,
0.378270444,809.9284474,
0.3800835642,780.0523575,
0.3818966844,831.0546274,
0.3837098046,813.7927885,
0.3855229249,800.3458333,
0.3873360451,785.6195437,
0.3891491653,815.9,
0.3909622855,805.2440505,
0.3927754057,803.031691,
0.3945885259,800.2227163,
0.3964016461,827.0452629,
0.3982147664,823.7251049,
0.4000278866,806.4199219,
0.4018410068,873.1574563,
0.403654127,894.9417561,
0.4054672472,895.6831527,
0.4072803674,906.6943824,
0.4090934876,999.768706,
0.4109066079,1063.86274,
0.4127197281,1106.390743,
0.4145328483,1112.262329,
0.4163459685,1247.555972,
0.4181590887,1310.676491,
0.4199722089,1316.572206,
0.4217853291,1362.425781,
0.4235984494,1427.150112,
0.4254115696,1415.019939,
0.4272246898,1386.460821,
0.42903781,1443.003498,
0.4308509302,1455.490689,
0.4326640504,1452.371429,
0.4344771706,1400.347718,
0.4362902908,1462.710178,
0.4381034111,1438.385346,
0.4399165313,1404.258042,
0.4417296515,1353.757346,
0.4435427717,1381.788958,
0.4453558919,1302.64512,
0.4471690121,1200.529552,
0.4489821323,1127.550385,
0.4507952526,1111.208583,
0.4526083728,1012.475084,
0.454421493,935.5831801,
0.4562346132,883.9907769,
0.4580477334,840.7962329,
0.4598608536,788.9980469,
0.4616739738,760.0003397,
0.4634870941,741.1529167,
0.4653002143,718.700625,
0.4671133345,687.4483626,
0.4689264547,660.9894531,
0.4707395749,659.6502905,
0.4725526951,640.0605469,
0.4743658153,624.2415787,
0.4761789356,604.8617622,
0.4779920558,613.7768987,
0.479805176,599.2575486,
0.4816182962,587.55747,
0.4834314164,581.9363692,
0.4852445366,580.325801,
0.4870576568,570.7358462,
0.4888707771,563.9532335,
0.4906838973,564.45179,
0.4924970175,566.0899426,
0.4943101377,562.5048578,
0.4961232579,549.3455946,
0.4979363781,552.2944637,
0.4997494983,546.0152344,
0.5015626186,545.7520292,
