C72H88N6O2S8

#	Angle	d(Å)	I%(f)	( h k l)	θ(°)	1/(2d)	2π/d	m
1	6.211	14.2187	100.0	( 0 1 1)	3.105	0.0352	0.4419	4
2	6.454	13.6834	1.2	( 1 0 0)	3.227	0.0365	0.4592	2
3	7.793	11.3348	7.1	( 0 1 2)	3.897	0.0441	0.5543	4
4	8.539	10.3465	9.2	( 1 1 0)	4.270	0.0483	0.6073	4
5	8.744	10.1044	1.9	(-1 1 1)	4.372	0.0495	0.6218	4
6	9.174	9.6315	0.4	( 1 1 1)	4.587	0.0519	0.6524	4
7	9.737	9.0763	3.2	(-1 1 2)	4.868	0.0551	0.6923	4
8	10.500	8.4186	4.9	( 1 1 2)	5.250	0.0594	0.7463	4
9	10.874	8.1294	3.5	( 0 0 4)	5.437	0.0615	0.7729	2
10	11.184	7.9052	5.1	( 0 2 0)	5.592	0.0632	0.7948	2
11	11.314	7.8147	0.2	(-1 1 3)	5.657	0.0640	0.8040	4
12	12.029	7.3518	1.3	(-1 0 4)	6.014	0.0680	0.8546	2
13	12.440	7.1094	9.1	( 0 2 2)	6.220	0.0703	0.8838	4
14	12.923	6.8450	0.2	( 1 2 0)	6.461	0.0730	0.9179	4
15	13.253	6.6751	3.6	( 1 0 4)	6.627	0.0749	0.9413	2
16	13.271	6.6663	1.0	(-1 1 4)	6.635	0.0750	0.9425	4
17	13.353	6.6254	0.1	( 1 2 1)	6.677	0.0755	0.9484	4
18	13.854	6.3870	0.5	( 0 2 3)	6.927	0.0783	0.9837	4
19	14.093	6.2790	1.0	( 2 1 0)	7.047	0.0796	1.0007	4
20	14.301	6.1885	4.8	( 1 2 2)	7.150	0.0808	1.0153	4
21	14.392	6.1495	0.6	( 1 1 4)	7.196	0.0813	1.0217	4
22	14.591	6.0660	1.1	(-2 1 2)	7.295	0.0824	1.0358	4
23	14.623	6.0528	0.2	( 2 1 1)	7.311	0.0826	1.0381	4
24	14.716	6.0145	0.5	( 0 1 5)	7.358	0.0831	1.0447	4
25	15.569	5.6870	0.2	(-2 1 3)	7.785	0.0879	1.1048	4
26	15.619	5.6689	0.3	( 2 1 2)	7.810	0.0882	1.1084	4
27	15.673	5.6494	0.8	( 1 2 3)	7.837	0.0885	1.1122	4
28	15.978	5.5424	1.3	(-2 0 4)	7.989	0.0902	1.1337	2
29	16.342	5.4196	0.1	( 0 0 6)	8.171	0.0923	1.1593	2
30	16.453	5.3835	0.3	(-1 2 4)	8.226	0.0929	1.1671	4
31	16.678	5.3113	5.7	( 1 1 5)	8.339	0.0941	1.1830	4
32	16.909	5.2392	6.8	(-1 0 6)	8.455	0.0954	1.1993	2
33	16.938	5.2303	2.1	(-2 1 4)	8.469	0.0956	1.2013	4
34	17.030	5.2022	3.4	( 0 3 1)	8.515	0.0961	1.2078	4
35	17.117	5.1760	0.4	(-2 2 1)	8.559	0.0966	1.2139	4
36	17.126	5.1732	2.8	( 2 2 0)	8.563	0.0967	1.2146	4
37	17.283	5.1267	3.3	( 0 1 6)	8.641	0.0975	1.2256	4
38	17.540	5.0522	0.1	(-2 2 2)	8.770	0.0990	1.2437	4
39	17.567	5.0445	0.5	( 2 2 1)	8.783	0.0991	1.2455	4
40	17.677	5.0133	0.4	( 0 3 2)	8.838	0.0997	1.2533	4
41	17.822	4.9729	0.8	( 2 0 4)	8.911	0.1005	1.2635	6
42	18.023	4.9180	0.9	( 1 3 0)	9.011	0.1017	1.2776	4
43	18.241	4.8597	0.4	( 1 0 6)	9.120	0.1029	1.2929	2
44	18.280	4.8494	0.7	(-1 2 5)	9.140	0.1031	1.2957	4
