Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.00999E+0	3.99398E-3	2.46542E+1	-2.57503E+1
1.00002E+0	3.97259E-3	2.45222E+1	-2.53595E+1
9.90006E-1	3.94802E-3	2.43705E+1	-2.49503E+1
9.79997E-1	3.97288E-3	2.45240E+1	-2.48536E+1
9.70020E-1	3.94379E-3	2.43444E+1	-2.44204E+1
9.60007E-1	3.96230E-3	2.44586E+1	-2.42818E+1
9.49998E-1	3.97251E-3	2.45217E+1	-2.40905E+1
9.40023E-1	3.96867E-3	2.44980E+1	-2.38145E+1
9.30006E-1	3.95714E-3	2.44268E+1	-2.34923E+1
9.19996E-1	3.96728E-3	2.44894E+1	-2.32990E+1
9.09986E-1	3.95357E-3	2.44048E+1	-2.29659E+1
9.00007E-1	3.94629E-3	2.43598E+1	-2.26722E+1
8.89993E-1	3.94792E-3	2.43699E+1	-2.24292E+1
8.79983E-1	3.96536E-3	2.44775E+1	-2.22749E+1
8.70008E-1	3.93601E-3	2.42964E+1	-2.18594E+1
8.59994E-1	3.93872E-3	2.43131E+1	-2.16227E+1
8.49985E-1	3.95576E-3	2.44183E+1	-2.14635E+1
8.39978E-1	3.92389E-3	2.42215E+1	-2.10399E+1
8.30000E-1	3.92145E-3	2.42065E+1	-2.07770E+1
8.19990E-1	3.95855E-3	2.44355E+1	-2.07206E+1
8.09978E-1	3.93142E-3	2.42680E+1	-2.03274E+1
8.00002E-1	3.94602E-3	2.43581E+1	-2.01516E+1
7.89990E-1	3.92839E-3	2.42493E+1	-1.98105E+1
7.79974E-1	3.92755E-3	2.42441E+1	-1.95551E+1
7.70001E-1	3.91948E-3	2.41943E+1	-1.92654E+1
7.59990E-1	3.91053E-3	2.41391E+1	-1.89715E+1
7.49980E-1	3.91322E-3	2.41557E+1	-1.87345E+1
7.39966E-1	3.92074E-3	2.42021E+1	-1.85199E+1
7.29991E-1	3.91905E-3	2.41917E+1	-1.82624E+1
7.19979E-1	3.90970E-3	2.41340E+1	-1.79689E+1
7.09969E-1	3.88448E-3	2.39783E+1	-1.76048E+1
6.99996E-1	3.90454E-3	2.41021E+1	-1.74471E+1
6.89986E-1	3.90558E-3	2.41085E+1	-1.72022E+1
6.79974E-1	3.91355E-3	2.41577E+1	-1.69872E+1
6.70001E-1	3.90547E-3	2.41078E+1	-1.67035E+1
6.59987E-1	3.89480E-3	2.40420E+1	-1.64089E+1
6.49977E-1	3.89340E-3	2.40333E+1	-1.61542E+1
6.39965E-1	3.88323E-3	2.39706E+1	-1.58638E+1
6.29986E-1	3.87940E-3	2.39469E+1	-1.56011E+1
6.19974E-1	3.89492E-3	2.40427E+1	-1.54145E+1
6.09963E-1	3.88239E-3	2.39654E+1	-1.51168E+1
5.99983E-1	3.86258E-3	2.38431E+1	-1.47936E+1
5.89972E-1	3.87649E-3	2.39290E+1	-1.45992E+1
5.79961E-1	3.86284E-3	2.38447E+1	-1.43009E+1
5.69985E-1	3.87258E-3	2.39048E+1	-1.40904E+1
5.59973E-1	3.84953E-3	2.37625E+1	-1.37605E+1
5.49965E-1	3.87147E-3	2.38980E+1	-1.35916E+1
5.39953E-1	3.85004E-3	2.37657E+1	-1.32703E+1
5.29977E-1	3.86829E-3	2.38783E+1	-1.30868E+1
5.19963E-1	3.85135E-3	2.37738E+1	-1.27833E+1
5.09953E-1	3.84799E-3	2.37530E+1	-1.25263E+1
4.99977E-1	3.85778E-3	2.38135E+1	-1.23125E+1
4.89962E-1	3.83518E-3	2.36740E+1	-1.19952E+1
4.79951E-1	3.83217E-3	2.36554E+1	-1.17409E+1
4.69974E-1	3.82933E-3	2.36378E+1	-1.14883E+1
4.59960E-1	3.81591E-3	2.35550E+1	-1.12041E+1
4.49948E-1	3.82704E-3	2.36237E+1	-1.09922E+1
4.39938E-1	3.81299E-3	2.35370E+1	-1.07082E+1
4.29963E-1	3.78599E-3	2.33703E+1	-1.03913E+1
4.19948E-1	3.80682E-3	2.34989E+1	-1.02051E+1
4.09940E-1	3.79949E-3	2.34536E+1	-9.94269E+0
3.99965E-1	3.78677E-3	2.33751E+1	-9.66828E+0
3.89952E-1	3.78451E-3	2.33612E+1	-9.42062E+0
