Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.00998E+0	7.44011E-5	4.59266E-1	-4.79679E-1
1.00003E+0	3.98638E-3	2.46073E+1	-2.54478E+1
9.90015E-1	3.99054E-3	2.46330E+1	-2.52192E+1
9.80003E-1	3.99509E-3	2.46610E+1	-2.49927E+1
9.70031E-1	3.96209E-3	2.44573E+1	-2.45340E+1
9.60015E-1	3.98168E-3	2.45783E+1	-2.44007E+1
9.50004E-1	3.96150E-3	2.44537E+1	-2.40239E+1
9.40032E-1	3.97090E-3	2.45117E+1	-2.38281E+1
9.30015E-1	3.96610E-3	2.44821E+1	-2.35457E+1
9.20005E-1	3.98598E-3	2.46048E+1	-2.34091E+1
9.09991E-1	3.97754E-3	2.45527E+1	-2.31052E+1
9.00012E-1	3.99194E-3	2.46416E+1	-2.29346E+1
8.90001E-1	4.00222E-3	2.47051E+1	-2.27379E+1
8.79989E-1	3.97374E-3	2.45293E+1	-2.23221E+1
8.70014E-1	3.97011E-3	2.45069E+1	-2.20489E+1
8.60001E-1	3.97903E-3	2.45619E+1	-2.18441E+1
8.49994E-1	3.96234E-3	2.44589E+1	-2.14994E+1
8.39983E-1	3.97626E-3	2.45448E+1	-2.13208E+1
8.30006E-1	3.97391E-3	2.45303E+1	-2.10551E+1
8.19997E-1	3.93489E-3	2.42894E+1	-2.05970E+1
8.09987E-1	3.96665E-3	2.44855E+1	-2.05098E+1
8.00013E-1	3.96955E-3	2.45034E+1	-2.02720E+1
7.89999E-1	3.94009E-3	2.43215E+1	-1.98697E+1
7.79987E-1	3.95522E-3	2.44149E+1	-1.96932E+1
7.70012E-1	3.94420E-3	2.43469E+1	-1.93872E+1
7.60001E-1	3.95585E-3	2.44188E+1	-1.91917E+1
7.49990E-1	3.96234E-3	2.44589E+1	-1.89699E+1
7.39973E-1	3.95031E-3	2.43846E+1	-1.86597E+1
7.29997E-1	3.96154E-3	2.44540E+1	-1.84605E+1
7.19987E-1	3.93405E-3	2.42843E+1	-1.80810E+1
7.09977E-1	3.95041E-3	2.43852E+1	-1.79038E+1
7.00001E-1	3.94115E-3	2.43281E+1	-1.76108E+1
6.89989E-1	3.94874E-3	2.43749E+1	-1.73924E+1
6.79981E-1	3.94800E-3	2.43704E+1	-1.71369E+1
6.70005E-1	3.95158E-3	2.43925E+1	-1.69008E+1
6.59995E-1	3.95572E-3	2.44180E+1	-1.66657E+1
6.49981E-1	3.93093E-3	2.42650E+1	-1.63100E+1
6.39968E-1	3.94664E-3	2.43620E+1	-1.61229E+1
6.29988E-1	3.94927E-3	2.43782E+1	-1.58821E+1
6.19978E-1	3.94125E-3	2.43287E+1	-1.55980E+1
6.09967E-1	3.94042E-3	2.43236E+1	-1.53429E+1
5.99993E-1	3.91234E-3	2.41502E+1	-1.49845E+1
5.89981E-1	3.93383E-3	2.42829E+1	-1.48154E+1
5.79969E-1	3.93340E-3	2.42802E+1	-1.45623E+1
5.69990E-1	3.93446E-3	2.42868E+1	-1.43156E+1
5.59982E-1	3.93577E-3	2.42949E+1	-1.40690E+1
5.49970E-1	3.92146E-3	2.42065E+1	-1.37672E+1
5.39961E-1	3.92973E-3	2.42576E+1	-1.35451E+1
5.29986E-1	3.91742E-3	2.41816E+1	-1.32533E+1
5.19975E-1	3.94206E-3	2.43337E+1	-1.30847E+1
5.09964E-1	3.92876E-3	2.42516E+1	-1.27895E+1
4.99987E-1	3.94156E-3	2.43306E+1	-1.25801E+1
4.89972E-1	3.92885E-3	2.42522E+1	-1.22884E+1
4.79958E-1	3.92390E-3	2.42216E+1	-1.20221E+1
4.69982E-1	3.92696E-3	2.42405E+1	-1.17814E+1
4.59970E-1	3.92484E-3	2.42274E+1	-1.15242E+1
4.49958E-1	3.90133E-3	2.40823E+1	-1.12058E+1
4.39948E-1	3.91254E-3	2.41515E+1	-1.09880E+1
4.29978E-1	3.91030E-3	2.41377E+1	-1.07328E+1
4.19969E-1	3.91427E-3	2.41622E+1	-1.04936E+1
4.09957E-1	3.90071E-3	2.40785E+1	-1.02080E+1
3.99980E-1	3.90733E-3	2.41193E+1	-9.97647E+0
3.89966E-1	3.91909E-3	2.41919E+1	-9.75597E+0
3.79952E-1	3.91395E-3	2.41602E+1	-9.49298E+0
3.69940E-1	3.91501E-3	2.41667E+1	-9.24534E+0
3.59964E-1	3.90469E-3	2.41030E+1	-8.97231E+0
3.49956E-1	3.88739E-3	2.39962E+1	-8.68421E+0
3.39944E-1	3.89831E-3	2.40636E+1	-8.45945E+0
3.29967E-1	3.86876E-3	2.38812E+1	-8.14893E+0
3.19956E-1	3.88455E-3	2.39787E+1	-7.93395E+0
3.09938E-1	3.89367E-3	2.40350E+1	-7.70358E+0
2.99962E-1	3.86794E-3	2.38762E+1	-7.40635E+0
2.89948E-1	3.87420E-3	2.39148E+1	-7.17069E+0
2.79941E-1	3.88135E-3	2.39590E+1	-6.93598E+0
2.69928E-1	3.87538E-3	2.39221E+1	-6.67761E+0
2.59952E-1	3.88743E-3	2.39965E+1	-6.45081E+0
2.49935E-1	3.87409E-3	2.39141E+1	-6.18095E+0
2.39925E-1	3.87670E-3	2.39302E+1	-5.93740E+0
2.29951E-1	3.88121E-3	2.39581E+1	-5.69719E+0
2.19936E-1	3.88565E-3	2.39855E+1	-5.45530E+0
2.09927E-1	3.85997E-3	2.38270E+1	-5.17262E+0
1.99947E-1	3.88488E-3	2.39807E+1	-4.95851E+0
1.89935E-1	3.87133E-3	2.38971E+1	-4.69379E+0
1.79926E-1	3.87836E-3	2.39405E+1	-4.45452E+0
1.69912E-1	3.88349E-3	2.39722E+1	-4.21216E+0
1.59934E-1	3.85890E-3	2.38204E+1	-3.93970E+0
1.49920E-1	3.86898E-3	2.38826E+1	-3.70267E+0
1.39908E-1	3.84779E-3	2.37518E+1	-3.43647E+0
1.29930E-1	3.84467E-3	2.37325E+1	-3.18880E+0
