Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.00999E+0	4.82909E-3	2.98092E+1	-3.11344E+1
1.00002E+0	4.72272E-3	2.91526E+1	-3.01481E+1
9.90007E-1	4.66451E-3	2.87933E+1	-2.94783E+1
9.79997E-1	4.60142E-3	2.84038E+1	-2.87856E+1
9.70023E-1	4.53408E-3	2.79881E+1	-2.80756E+1
9.60007E-1	4.44101E-3	2.74136E+1	-2.72154E+1
9.50000E-1	4.36971E-3	2.69735E+1	-2.64993E+1
9.40023E-1	4.30128E-3	2.65511E+1	-2.58104E+1
9.30011E-1	4.23675E-3	2.61528E+1	-2.51524E+1
9.19998E-1	4.17202E-3	2.57532E+1	-2.45014E+1
9.09990E-1	4.10823E-3	2.53594E+1	-2.38644E+1
9.00011E-1	4.03213E-3	2.48897E+1	-2.31655E+1
8.89998E-1	3.97450E-3	2.45340E+1	-2.25803E+1
8.79987E-1	3.90285E-3	2.40917E+1	-2.19238E+1
8.70010E-1	3.83033E-3	2.36440E+1	-2.12725E+1
8.59997E-1	3.76664E-3	2.32509E+1	-2.06780E+1
8.49990E-1	3.70175E-3	2.28503E+1	-2.00854E+1
8.39979E-1	3.63632E-3	2.24464E+1	-1.94980E+1
8.30004E-1	3.57176E-3	2.20479E+1	-1.89243E+1
8.19994E-1	3.51053E-3	2.16699E+1	-1.83756E+1
8.09982E-1	3.44353E-3	2.12564E+1	-1.78048E+1
8.00005E-1	3.38210E-3	2.08772E+1	-1.72718E+1
7.89995E-1	3.31840E-3	2.04840E+1	-1.67345E+1
7.79980E-1	3.24932E-3	2.00575E+1	-1.61784E+1
7.70006E-1	3.18776E-3	1.96775E+1	-1.56689E+1
7.59996E-1	3.13026E-3	1.93226E+1	-1.51862E+1
7.49986E-1	3.06837E-3	1.89406E+1	-1.46899E+1
7.39969E-1	3.00984E-3	1.85793E+1	-1.42172E+1
7.29995E-1	2.94736E-3	1.81936E+1	-1.37345E+1
7.19982E-1	2.88522E-3	1.78100E+1	-1.32605E+1
7.09974E-1	2.82925E-3	1.74645E+1	-1.28225E+1
6.99998E-1	2.76901E-3	1.70927E+1	-1.23731E+1
