Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.00996E+0	6.36251E-6	3.92748E-2	-4.00666E-2
9.99965E-1	3.82823E-3	2.36310E+1	-2.38689E+1
9.89965E-1	3.83375E-3	2.36651E+1	-2.36643E+1
9.79965E-1	3.82351E-3	2.36019E+1	-2.33627E+1
9.69968E-1	3.82938E-3	2.36381E+1	-2.31598E+1
9.59965E-1	3.83861E-3	2.36951E+1	-2.29763E+1
9.49966E-1	3.82183E-3	2.35915E+1	-2.26375E+1
9.39964E-1	3.82810E-3	2.36302E+1	-2.24359E+1
9.29957E-1	3.82539E-3	2.36135E+1	-2.21814E+1
9.19960E-1	3.82420E-3	2.36062E+1	-2.19361E+1
9.09960E-1	3.83196E-3	2.36541E+1	-2.17417E+1
8.99962E-1	3.82328E-3	2.36005E+1	-2.14541E+1
8.89961E-1	3.83498E-3	2.36727E+1	-2.12806E+1
8.79965E-1	3.82635E-3	2.36194E+1	-2.09942E+1
8.69927E-1	3.81065E-3	2.35225E+1	-2.06696E+1
8.59934E-1	3.82329E-3	2.36006E+1	-2.04999E+1
8.49936E-1	3.82053E-3	2.35835E+1	-2.02470E+1
8.39935E-1	3.82549E-3	2.36141E+1	-2.00347E+1
8.29936E-1	3.82149E-3	2.35894E+1	-1.97755E+1
8.19927E-1	3.81180E-3	2.35296E+1	-1.94875E+1
8.09929E-1	3.81706E-3	2.35621E+1	-1.92764E+1
7.99929E-1	3.80854E-3	2.35095E+1	-1.89959E+1
7.89934E-1	3.81029E-3	2.35203E+1	-1.87672E+1
7.79925E-1	3.80969E-3	2.35166E+1	-1.85265E+1
7.69926E-1	3.80866E-3	2.35102E+1	-1.82840E+1
7.59927E-1	3.81526E-3	2.35510E+1	-1.80778E+1
7.49932E-1	3.80041E-3	2.34593E+1	-1.77706E+1
7.39923E-1	3.81208E-3	2.35314E+1	-1.75873E+1
7.29926E-1	3.80496E-3	2.34874E+1	-1.73172E+1
7.19927E-1	3.79935E-3	2.34528E+1	-1.70548E+1
7.09927E-1	3.80293E-3	2.34749E+1	-1.68338E+1
6.99927E-1	3.80596E-3	2.34936E+1	-1.66099E+1
6.89929E-1	3.79161E-3	2.34050E+1	-1.63109E+1
6.79932E-1	3.78735E-3	2.33787E+1	-1.60565E+1
6.69932E-1	3.79947E-3	2.34535E+1	-1.58710E+1
6.59930E-1	3.79363E-3	2.34175E+1	-1.56100E+1
6.49933E-1	3.79322E-3	2.34149E+1	-1.53719E+1
6.39931E-1	3.79949E-3	2.34536E+1	-1.51603E+1
6.29925E-1	3.78848E-3	2.33857E+1	-1.48800E+1
6.19926E-1	3.79158E-3	2.34048E+1	-1.46558E+1
6.09927E-1	3.78998E-3	2.33949E+1	-1.44133E+1
5.99926E-1	3.78495E-3	2.33639E+1	-1.41582E+1
5.89921E-1	3.78689E-3	2.33759E+1	-1.39292E+1
5.79922E-1	3.80041E-3	2.34593E+1	-1.37420E+1
5.69927E-1	3.79093E-3	2.34008E+1	-1.34715E+1
5.59927E-1	3.78139E-3	2.33419E+1	-1.32018E+1
5.49929E-1	3.79187E-3	2.34066E+1	-1.30020E+1
5.39927E-1	3.79325E-3	2.34151E+1	-1.27702E+1
5.29930E-1	3.79740E-3	2.34407E+1	-1.25474E+1
5.19923E-1	3.79194E-3	2.34070E+1	-1.22928E+1
5.09925E-1	3.79395E-3	2.34194E+1	-1.20628E+1
4.99924E-1	3.78954E-3	2.33922E+1	-1.18125E+1
4.89919E-1	3.78406E-3	2.33584E+1	-1.15593E+1
4.79921E-1	3.79087E-3	2.34004E+1	-1.13438E+1
4.69922E-1	3.79170E-3	2.34056E+1	-1.11099E+1
4.59924E-1	3.77939E-3	2.33296E+1	-1.08382E+1
4.49921E-1	3.77907E-3	2.33276E+1	-1.06016E+1
4.39923E-1	3.78551E-3	2.33673E+1	-1.03837E+1
4.29922E-1	3.77264E-3	2.32879E+1	-1.01131E+1
4.19924E-1	3.78274E-3	2.33502E+1	-9.90437E+0
4.09926E-1	3.78963E-3	2.33928E+1	-9.68617E+0
3.99923E-1	3.77606E-3	2.33090E+1	-9.41597E+0
3.89926E-1	3.78304E-3	2.33521E+1	-9.19757E+0
3.79922E-1	3.76936E-3	2.32677E+1	-8.92919E+0
3.69921E-1	3.77225E-3	2.32855E+1	-8.70080E+0
3.59923E-1	3.77762E-3	2.33186E+1	-8.47769E+0
3.49926E-1	3.76657E-3	2.32504E+1	-8.21811E+0
3.39915E-1	3.76061E-3	2.32136E+1	-7.97037E+0
3.29919E-1	3.76923E-3	2.32669E+1	-7.75371E+0
3.19922E-1	3.76481E-3	2.32396E+1	-7.50995E+0
3.09917E-1	3.75680E-3	2.31901E+1	-7.25961E+0
2.99921E-1	3.76547E-3	2.32436E+1	-7.04167E+0
2.89916E-1	3.75758E-3	2.31949E+1	-6.79251E+0
2.79924E-1	3.75794E-3	2.31972E+1	-6.55903E+0
2.69925E-1	3.75987E-3	2.32091E+1	-6.32799E+0
2.59923E-1	3.74709E-3	2.31302E+1	-6.07280E+0
2.49923E-1	3.75788E-3	2.31968E+1	-5.85597E+0
2.39921E-1	3.75242E-3	2.31631E+1	-5.61345E+0
2.29919E-1	3.75129E-3	2.31561E+1	-5.37781E+0
2.19922E-1	3.75296E-3	2.31664E+1	-5.14627E+0
2.09919E-1	3.74154E-3	2.30959E+1	-4.89725E+0
1.99915E-1	3.73749E-3	2.30709E+1	-4.65881E+0
1.89918E-1	3.74882E-3	2.31409E+1	-4.43926E+0
1.79917E-1	3.74948E-3	2.31449E+1	-4.20623E+0
1.69918E-1	3.73654E-3	2.30651E+1	-3.95876E+0
1.59914E-1	3.74414E-3	2.31120E+1	-3.73326E+0
1.49916E-1	3.74030E-3	2.30883E+1	-3.49626E+0
1.39914E-1	3.73110E-3	2.30315E+1	-3.25498E+0
1.29912E-1	3.74400E-3	2.31111E+1	-3.03274E+0
1.19915E-1	3.73655E-3	2.30651E+1	-2.79379E+0
1.09916E-1	3.73510E-3	2.30562E+1	-2.55984E+0
9.99169E-2	3.73966E-3	2.30843E+1	-2.32981E+0
8.99100E-2	3.73250E-3	2.30401E+1	-2.09246E+0
7.99105E-2	3.74080E-3	2.30914E+1	-1.86388E+0
