Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.00999E+0	1.18743E-7	7.32981E-4	-7.47782E-4
9.99978E-1	8.74194E-7	5.39626E-3	-5.45065E-3
9.89975E-1	8.35435E-7	5.15701E-3	-5.15688E-3
9.79980E-1	7.92820E-7	4.89395E-3	-4.84442E-3
9.69982E-1	7.87181E-7	4.85914E-3	-4.76089E-3
9.59975E-1	7.33399E-7	4.52715E-3	-4.38985E-3
9.49977E-1	6.84561E-7	4.22569E-3	-4.05485E-3
9.39978E-1	6.36660E-7	3.93000E-3	-3.73143E-3
9.29972E-1	6.39862E-7	3.94977E-3	-3.71027E-3
9.19977E-1	6.33643E-7	3.91138E-3	-3.63472E-3
9.09975E-1	6.04807E-7	3.73338E-3	-3.43160E-3
8.99978E-1	5.70404E-7	3.52101E-3	-3.20084E-3
8.89977E-1	5.21656E-7	3.22010E-3	-2.89476E-3
8.79976E-1	5.25850E-7	3.24599E-3	-2.88524E-3
8.69942E-1	5.03390E-7	3.10735E-3	-2.73052E-3
8.59944E-1	4.75885E-7	2.93756E-3	-2.55166E-3
8.49940E-1	4.53648E-7	2.80030E-3	-2.40413E-3
8.39945E-1	4.34604E-7	2.68274E-3	-2.27612E-3
8.29943E-1	4.22773E-7	2.60971E-3	-2.18779E-3
8.19939E-1	4.21880E-7	2.60420E-3	-2.15685E-3
8.09944E-1	4.04259E-7	2.49543E-3	-2.04157E-3
7.99945E-1	3.88713E-7	2.39946E-3	-1.93883E-3
7.89948E-1	3.75958E-7	2.32073E-3	-1.85177E-3
7.79938E-1	3.70275E-7	2.28565E-3	-1.80067E-3
7.69939E-1	3.80505E-7	2.34880E-3	-1.82670E-3
7.59940E-1	3.86329E-7	2.38475E-3	-1.83057E-3
7.49939E-1	3.73667E-7	2.30659E-3	-1.74727E-3
7.39939E-1	3.78068E-7	2.33375E-3	-1.74428E-3
7.29936E-1	3.61835E-7	2.23355E-3	-1.64682E-3
7.19938E-1	3.26805E-7	2.01731E-3	-1.46701E-3
7.09942E-1	3.29630E-7	2.03475E-3	-1.45915E-3
6.99946E-1	3.32599E-7	2.05308E-3	-1.45156E-3
6.89943E-1	3.12218E-7	1.92727E-3	-1.34314E-3
6.79944E-1	2.90165E-7	1.79114E-3	-1.23018E-3
