Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.00997E+0	1.53906E-6	9.50037E-3	-9.69201E-3
9.99971E-1	3.69391E-3	2.28019E+1	-2.30316E+1
9.89975E-1	3.70009E-3	2.28401E+1	-2.28395E+1
9.79975E-1	3.69254E-3	2.27935E+1	-2.25626E+1
9.69977E-1	3.68773E-3	2.27638E+1	-2.23034E+1
9.59972E-1	3.69219E-3	2.27913E+1	-2.21000E+1
9.49974E-1	3.68615E-3	2.27540E+1	-2.18341E+1
9.39975E-1	3.68270E-3	2.27327E+1	-2.15840E+1
9.29973E-1	3.69175E-3	2.27886E+1	-2.14068E+1
9.19972E-1	3.68008E-3	2.27165E+1	-2.11097E+1
9.09972E-1	3.69004E-3	2.27780E+1	-2.09367E+1
8.99973E-1	3.69588E-3	2.28141E+1	-2.07394E+1
8.89971E-1	3.68605E-3	2.27534E+1	-2.04544E+1
8.79974E-1	3.69099E-3	2.27839E+1	-2.02517E+1
8.69941E-1	3.67840E-3	2.27062E+1	-1.99526E+1
8.59939E-1	3.68366E-3	2.27386E+1	-1.97514E+1
8.49938E-1	3.67964E-3	2.27138E+1	-1.95003E+1
8.39937E-1	3.68404E-3	2.27410E+1	-1.92939E+1
8.29942E-1	3.68263E-3	2.27323E+1	-1.90570E+1
8.19935E-1	3.67308E-3	2.26733E+1	-1.87784E+1
8.09940E-1	3.67795E-3	2.27034E+1	-1.85741E+1
7.99939E-1	3.66890E-3	2.26475E+1	-1.82996E+1
7.89940E-1	3.68302E-3	2.27347E+1	-1.81404E+1
7.79933E-1	3.68004E-3	2.27163E+1	-1.78962E+1
7.69932E-1	3.68001E-3	2.27161E+1	-1.76665E+1
7.59935E-1	3.68007E-3	2.27165E+1	-1.74374E+1
7.49938E-1	3.66884E-3	2.26472E+1	-1.71555E+1
7.39932E-1	3.67100E-3	2.26605E+1	-1.69366E+1
7.29932E-1	3.67529E-3	2.26870E+1	-1.67272E+1
7.19936E-1	3.67291E-3	2.26723E+1	-1.64875E+1
7.09934E-1	3.65988E-3	2.25919E+1	-1.62007E+1
6.99931E-1	3.66374E-3	2.26157E+1	-1.59893E+1
6.89931E-1	3.66782E-3	2.26409E+1	-1.57784E+1
6.79933E-1	3.66336E-3	2.26133E+1	-1.55309E+1
6.69930E-1	3.67025E-3	2.26559E+1	-1.53312E+1
6.59934E-1	3.65989E-3	2.25919E+1	-1.50598E+1
6.49935E-1	3.64903E-3	2.25249E+1	-1.47876E+1
6.39937E-1	3.66761E-3	2.26396E+1	-1.46342E+1
6.29931E-1	3.66394E-3	2.26169E+1	-1.43910E+1
6.19928E-1	3.66226E-3	2.26065E+1	-1.41560E+1
6.09931E-1	3.66398E-3	2.26172E+1	-1.39342E+1
5.99930E-1	3.66047E-3	2.25955E+1	-1.36926E+1
5.89932E-1	3.65075E-3	2.25355E+1	-1.34287E+1
5.79929E-1	3.65738E-3	2.25764E+1	-1.32250E+1
5.69937E-1	3.66085E-3	2.25978E+1	-1.30094E+1
5.59936E-1	3.65177E-3	2.25418E+1	-1.27495E+1
5.49940E-1	3.65870E-3	2.25846E+1	-1.25456E+1
5.39936E-1	3.66009E-3	2.25931E+1	-1.23221E+1
5.29936E-1	3.65312E-3	2.25501E+1	-1.20708E+1
5.19939E-1	3.65924E-3	2.25879E+1	-1.18630E+1
5.09933E-1	3.64537E-3	2.25023E+1	-1.15906E+1
4.99931E-1	3.65014E-3	2.25317E+1	-1.13781E+1
4.89929E-1	3.64981E-3	2.25297E+1	-1.11494E+1
4.79927E-1	3.63968E-3	2.24672E+1	-1.08915E+1
4.69928E-1	3.65488E-3	2.25610E+1	-1.07091E+1
4.59930E-1	3.64496E-3	2.24998E+1	-1.04528E+1
4.49923E-1	3.64294E-3	2.24873E+1	-1.02197E+1
4.39926E-1	3.64579E-3	2.25049E+1	-1.00005E+1
4.29928E-1	3.64441E-3	2.24964E+1	-9.76951E+0
4.19928E-1	3.63699E-3	2.24506E+1	-9.52285E+0
4.09928E-1	3.64226E-3	2.24831E+1	-9.30954E+0
3.99928E-1	3.64384E-3	2.24928E+1	-9.08638E+0
3.89931E-1	3.63626E-3	2.24460E+1	-8.84082E+0
3.79930E-1	3.64154E-3	2.24786E+1	-8.62658E+0
3.69928E-1	3.62549E-3	2.23796E+1	-8.36245E+0
3.59931E-1	3.62517E-3	2.23776E+1	-8.13575E+0
3.49930E-1	3.62808E-3	2.23956E+1	-7.91604E+0
3.39924E-1	3.62100E-3	2.23519E+1	-7.67468E+0
3.29928E-1	3.62877E-3	2.23998E+1	-7.46498E+0
3.19925E-1	3.61935E-3	2.23417E+1	-7.21986E+0
3.09922E-1	3.61895E-3	2.23392E+1	-6.99334E+0
2.99925E-1	3.62172E-3	2.23563E+1	-6.77294E+0
2.89921E-1	3.61171E-3	2.22945E+1	-6.52893E+0
2.79923E-1	3.61192E-3	2.22958E+1	-6.30415E+0
2.69922E-1	3.62028E-3	2.23474E+1	-6.09299E+0
