Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.00997E+0	6.73700E-6	4.15864E-2	-4.24253E-2
9.99976E-1	3.93603E-3	2.42965E+1	-2.45413E+1
9.89978E-1	3.94223E-3	2.43348E+1	-2.43342E+1
9.79979E-1	3.93068E-3	2.42635E+1	-2.40179E+1
9.69979E-1	3.93030E-3	2.42611E+1	-2.37705E+1
9.59977E-1	3.93273E-3	2.42761E+1	-2.35399E+1
9.49978E-1	3.92369E-3	2.42203E+1	-2.32412E+1
9.39975E-1	3.92821E-3	2.42482E+1	-2.30229E+1
9.29972E-1	3.94124E-3	2.43286E+1	-2.28535E+1
9.19973E-1	3.93643E-3	2.42990E+1	-2.25802E+1
9.09977E-1	3.92929E-3	2.42549E+1	-2.22943E+1
8.99979E-1	3.93416E-3	2.42849E+1	-2.20767E+1
8.89978E-1	3.94542E-3	2.43544E+1	-2.18939E+1
8.79982E-1	3.93873E-3	2.43131E+1	-2.16112E+1
8.69947E-1	3.94473E-3	2.43502E+1	-2.13973E+1
8.59945E-1	3.94413E-3	2.43465E+1	-2.11481E+1
8.49947E-1	3.94515E-3	2.43528E+1	-2.09076E+1
8.39946E-1	3.93144E-3	2.42681E+1	-2.05898E+1
8.29944E-1	3.94233E-3	2.43354E+1	-2.04010E+1
8.19941E-1	3.92833E-3	2.42490E+1	-2.00835E+1
8.09942E-1	3.92472E-3	2.42267E+1	-1.98204E+1
7.99941E-1	3.93212E-3	2.42723E+1	-1.96126E+1
7.89941E-1	3.93248E-3	2.42746E+1	-1.93692E+1
7.79932E-1	3.91737E-3	2.41813E+1	-1.90503E+1
7.69933E-1	3.91764E-3	2.41830E+1	-1.88073E+1
7.59934E-1	3.92496E-3	2.42281E+1	-1.85978E+1
7.49936E-1	3.92959E-3	2.42567E+1	-1.83747E+1
7.39933E-1	3.92126E-3	2.42053E+1	-1.80912E+1
7.29933E-1	3.91461E-3	2.41643E+1	-1.78165E+1
7.19936E-1	3.92481E-3	2.42272E+1	-1.76182E+1
7.09939E-1	3.91935E-3	2.41935E+1	-1.73494E+1
6.99938E-1	3.91444E-3	2.41632E+1	-1.70836E+1
6.89937E-1	3.92231E-3	2.42118E+1	-1.68733E+1
6.79937E-1	3.91632E-3	2.41748E+1	-1.66034E+1
6.69932E-1	3.91410E-3	2.41611E+1	-1.63498E+1
6.59935E-1	3.92168E-3	2.42079E+1	-1.61370E+1
6.49935E-1	3.92672E-3	2.42390E+1	-1.59129E+1
6.39937E-1	3.91401E-3	2.41606E+1	-1.56174E+1
6.29932E-1	3.91213E-3	2.41490E+1	-1.53659E+1
6.19931E-1	3.92020E-3	2.41988E+1	-1.51531E+1
6.09936E-1	3.91642E-3	2.41754E+1	-1.48944E+1
5.99933E-1	3.90652E-3	2.41143E+1	-1.46131E+1
5.89932E-1	3.91066E-3	2.41399E+1	-1.43847E+1
5.79932E-1	3.90981E-3	2.41346E+1	-1.41378E+1
5.69935E-1	3.90358E-3	2.40962E+1	-1.38720E+1
5.59935E-1	3.90898E-3	2.41295E+1	-1.36474E+1
5.49936E-1	3.90668E-3	2.41153E+1	-1.33958E+1
5.39936E-1	3.89781E-3	2.40606E+1	-1.31224E+1
5.29934E-1	3.90136E-3	2.40825E+1	-1.28910E+1
5.19933E-1	3.91001E-3	2.41359E+1	-1.26758E+1
5.09935E-1	3.90013E-3	2.40749E+1	-1.24006E+1
4.99935E-1	3.89638E-3	2.40517E+1	-1.21458E+1
4.89934E-1	3.90197E-3	2.40862E+1	-1.19199E+1
4.79931E-1	3.89765E-3	2.40596E+1	-1.16636E+1
4.69934E-1	3.90643E-3	2.41138E+1	-1.14463E+1
4.59939E-1	3.89632E-3	2.40514E+1	-1.11739E+1
4.49933E-1	3.88354E-3	2.39725E+1	-1.08950E+1
4.39937E-1	3.89431E-3	2.40390E+1	-1.06824E+1
4.29936E-1	3.88703E-3	2.39940E+1	-1.04201E+1
4.19940E-1	3.88726E-3	2.39954E+1	-1.01784E+1
4.09941E-1	3.89231E-3	2.40266E+1	-9.94898E+0
3.99941E-1	3.88992E-3	2.40119E+1	-9.70033E+0
3.89941E-1	3.88117E-3	2.39578E+1	-9.43651E+0
3.79936E-1	3.88406E-3	2.39757E+1	-9.20124E+0
3.69939E-1	3.89119E-3	2.40197E+1	-8.97558E+0
3.59940E-1	3.88905E-3	2.40065E+1	-8.72817E+0
3.49948E-1	3.87553E-3	2.39230E+1	-8.45638E+0
3.39938E-1	3.88300E-3	2.39691E+1	-8.23032E+0
3.29937E-1	3.87933E-3	2.39465E+1	-7.98064E+0
3.19935E-1	3.86999E-3	2.38888E+1	-7.72007E+0
3.09933E-1	3.87951E-3	2.39476E+1	-7.49712E+0
2.99936E-1	3.88168E-3	2.39610E+1	-7.25936E+0
2.89930E-1	3.87798E-3	2.39381E+1	-7.01049E+0
2.79935E-1	3.88564E-3	2.39854E+1	-6.78218E+0
2.69935E-1	3.88303E-3	2.39693E+1	-6.53551E+0
2.59936E-1	3.87447E-3	2.39165E+1	-6.27955E+0
2.49938E-1	3.88155E-3	2.39602E+1	-6.04905E+0
2.39938E-1	3.88825E-3	2.40015E+1	-5.81705E+0
2.29934E-1	3.87546E-3	2.39226E+1	-5.55618E+0
2.19936E-1	3.87017E-3	2.38899E+1	-5.30733E+0
2.09933E-1	3.87146E-3	2.38979E+1	-5.06763E+0
1.99926E-1	3.87507E-3	2.39202E+1	-4.83057E+0
1.89927E-1	3.89106E-3	2.40189E+1	-4.60791E+0
1.79926E-1	3.88530E-3	2.39833E+1	-4.35881E+0
1.69928E-1	3.86980E-3	2.38877E+1	-4.10018E+0
1.59921E-1	3.87196E-3	2.39010E+1	-3.86088E+0
1.49924E-1	3.86551E-3	2.38612E+1	-3.61350E+0
1.39924E-1	3.85711E-3	2.38093E+1	-3.36515E+0
1.29922E-1	3.86371E-3	2.38501E+1	-3.12995E+0
1.19929E-1	3.86865E-3	2.38806E+1	-2.89290E+0
1.09927E-1	3.86379E-3	2.38506E+1	-2.64830E+0
9.99269E-2	3.85633E-3	2.38045E+1	-2.40274E+0
8.99267E-2	3.86791E-3	2.38760E+1	-2.16878E+0
7.99258E-2	3.86940E-3	2.38852E+1	-1.92833E+0
6.99294E-2	3.85769E-3	2.38129E+1	-1.68204E+0
5.99296E-2	3.84614E-3	2.37416E+1	-1.43720E+0
4.99206E-2	3.85686E-3	2.38078E+1	-1.20050E+0
3.99218E-2	3.84286E-3	2.37214E+1	-9.56565E-1
2.99215E-2	3.84772E-3	2.37514E+1	-7.17855E-1
1.99227E-2	3.84485E-3	2.37336E+1	-4.77614E-1
9.91845E-3	3.83488E-3	2.36721E+1	-2.37162E-1
-7.82013E-5	3.83214E-3	2.36552E+1	1.86855E-3
-9.95922E-3	3.84171E-3	2.37143E+1	2.38561E-1
-1.99609E-2	3.83391E-3	2.36661E+1	4.77169E-1
-2.99585E-2	3.82009E-3	2.35808E+1	7.13581E-1
