Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.00997E+0	1.77708E-6	1.09696E-2	-1.11909E-2
9.99974E-1	1.75169E-6	1.08129E-2	-1.09218E-2
9.89975E-1	1.73009E-6	1.06796E-2	-1.06793E-2
9.79977E-1	1.70768E-6	1.05412E-2	-1.04345E-2
9.69980E-1	1.68542E-6	1.04038E-2	-1.01934E-2
9.59975E-1	1.66481E-6	1.02766E-2	-9.96493E-3
9.49973E-1	1.64371E-6	1.01464E-2	-9.73613E-3
9.39972E-1	1.62157E-6	1.00097E-2	-9.50387E-3
9.29965E-1	1.60024E-6	9.87802E-3	-9.27901E-3
9.19967E-1	1.57966E-6	9.75099E-3	-9.06120E-3
9.09964E-1	1.55814E-6	9.61815E-3	-8.84057E-3
8.99966E-1	1.53759E-6	9.49130E-3	-8.62813E-3
8.89967E-1	1.51741E-6	9.36673E-3	-8.42028E-3
8.79968E-1	1.49668E-6	9.23877E-3	-8.21194E-3
8.69935E-1	1.47773E-6	9.12179E-3	-8.01552E-3
8.59934E-1	1.45618E-6	8.98877E-3	-7.80782E-3
8.49932E-1	1.43662E-6	8.86802E-3	-7.61335E-3
8.39932E-1	1.41619E-6	8.74191E-3	-7.41678E-3
8.29931E-1	1.39667E-6	8.62142E-3	-7.22746E-3
8.19928E-1	1.37628E-6	8.49556E-3	-7.03610E-3
8.09929E-1	1.35705E-6	8.37685E-3	-6.85319E-3
7.99930E-1	1.33685E-6	8.25216E-3	-6.66783E-3
7.89930E-1	1.31831E-6	8.13772E-3	-6.49316E-3
7.79924E-1	1.29856E-6	8.01580E-3	-6.31487E-3
7.69923E-1	1.27984E-6	7.90025E-3	-6.14402E-3
7.59922E-1	1.26132E-6	7.78593E-3	-5.97646E-3
7.49923E-1	1.24257E-6	7.67019E-3	-5.81015E-3
7.39928E-1	1.22376E-6	7.55407E-3	-5.64593E-3
7.29930E-1	1.20546E-6	7.44111E-3	-5.48635E-3
7.19929E-1	1.18648E-6	7.32395E-3	-5.32598E-3
7.09930E-1	1.16762E-6	7.20753E-3	-5.16853E-3
6.99927E-1	1.14931E-6	7.09451E-3	-5.01579E-3
6.89929E-1	1.13076E-6	6.98000E-3	-4.86435E-3
6.79930E-1	1.11348E-6	6.87333E-3	-4.72059E-3
6.69929E-1	1.09624E-6	6.76691E-3	-4.57914E-3
6.59930E-1	1.07817E-6	6.65537E-3	-4.43644E-3
6.49928E-1	1.06091E-6	6.54883E-3	-4.29926E-3
6.39928E-1	1.04404E-6	6.44469E-3	-4.16580E-3
6.29924E-1	1.02744E-6	6.34222E-3	-4.03547E-3
6.19918E-1	1.01015E-6	6.23549E-3	-3.90454E-3
6.09920E-1	9.93450E-7	6.13241E-3	-3.77806E-3
5.99919E-1	9.76624E-7	6.02854E-3	-3.65317E-3
5.89920E-1	9.58962E-7	5.91952E-3	-3.52732E-3
5.79921E-1	9.41911E-7	5.81427E-3	-3.40587E-3
5.69924E-1	9.25268E-7	5.71153E-3	-3.28802E-3
5.59925E-1	9.08706E-7	5.60930E-3	-3.17251E-3
5.49922E-1	8.91847E-7	5.50523E-3	-3.05803E-3
5.39920E-1	8.75762E-7	5.40594E-3	-2.94826E-3
5.29920E-1	8.59904E-7	5.30805E-3	-2.84125E-3
5.19918E-1	8.43676E-7	5.20788E-3	-2.73502E-3
5.09917E-1	8.28370E-7	5.11340E-3	-2.63374E-3
4.99919E-1	8.11728E-7	5.01067E-3	-2.53023E-3
4.89916E-1	7.95714E-7	4.91181E-3	-2.43068E-3
4.79914E-1	7.79399E-7	4.81110E-3	-2.33224E-3
4.69916E-1	7.63454E-7	4.71268E-3	-2.23693E-3
4.59914E-1	7.47836E-7	4.61627E-3	-2.14453E-3
4.49913E-1	7.32026E-7	4.51868E-3	-2.05355E-3
4.39913E-1	7.16922E-7	4.42544E-3	-1.96648E-3
