Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.00998E+0	1.77441E-6	1.09531E-2	-1.11742E-2
9.99969E-1	3.35519E-3	2.07110E+1	-2.09196E+1
9.89969E-1	3.36545E-3	2.07744E+1	-2.07737E+1
9.79967E-1	3.35567E-3	2.07140E+1	-2.05041E+1
9.69974E-1	3.35680E-3	2.07210E+1	-2.03018E+1
9.59972E-1	3.35674E-3	2.07206E+1	-2.00921E+1
9.49972E-1	3.33861E-3	2.06087E+1	-1.97754E+1
9.39971E-1	3.33808E-3	2.06054E+1	-1.95642E+1
9.29965E-1	3.34232E-3	2.06316E+1	-1.93805E+1
9.19966E-1	3.33013E-3	2.05564E+1	-1.91022E+1
9.09965E-1	3.33097E-3	2.05615E+1	-1.88993E+1
8.99967E-1	3.33566E-3	2.05905E+1	-1.87179E+1
8.89967E-1	3.32830E-3	2.05451E+1	-1.84691E+1
8.79971E-1	3.32879E-3	2.05481E+1	-1.82644E+1
8.69936E-1	3.31371E-3	2.04550E+1	-1.79743E+1
8.59934E-1	3.30971E-3	2.04303E+1	-1.77462E+1
8.49936E-1	3.30539E-3	2.04036E+1	-1.75170E+1
8.39936E-1	3.31291E-3	2.04501E+1	-1.73502E+1
8.29935E-1	3.30429E-3	2.03969E+1	-1.70991E+1
8.19932E-1	3.30545E-3	2.04040E+1	-1.68989E+1
8.09932E-1	3.29754E-3	2.03552E+1	-1.66528E+1
7.99932E-1	3.28785E-3	2.02954E+1	-1.63989E+1
7.89936E-1	3.29226E-3	2.03226E+1	-1.62157E+1
7.79931E-1	3.28171E-3	2.02575E+1	-1.59590E+1
7.69931E-1	3.27423E-3	2.02113E+1	-1.57185E+1
7.59930E-1	3.27742E-3	2.02310E+1	-1.55294E+1
7.49931E-1	3.26641E-3	2.01630E+1	-1.52736E+1
7.39926E-1	3.25907E-3	2.01177E+1	-1.50360E+1
7.29926E-1	3.25524E-3	2.00941E+1	-1.48153E+1
7.19928E-1	3.24952E-3	2.00588E+1	-1.45867E+1
7.09928E-1	3.25128E-3	2.00696E+1	-1.43919E+1
6.99928E-1	3.25271E-3	2.00785E+1	-1.41954E+1
6.89929E-1	3.24522E-3	2.00322E+1	-1.39604E+1
6.79929E-1	3.24218E-3	2.00135E+1	-1.37452E+1
6.69927E-1	3.23612E-3	1.99760E+1	-1.35177E+1
6.59929E-1	3.22675E-3	1.99182E+1	-1.32774E+1
6.49932E-1	3.21632E-3	1.98538E+1	-1.30340E+1
6.39933E-1	3.22040E-3	1.98790E+1	-1.28497E+1
6.29927E-1	3.21450E-3	1.98426E+1	-1.26256E+1
6.19926E-1	3.20508E-3	1.97844E+1	-1.23888E+1
6.09930E-1	3.19834E-3	1.97428E+1	-1.21634E+1
5.99926E-1	3.19882E-3	1.97458E+1	-1.19657E+1
5.89926E-1	3.20466E-3	1.97819E+1	-1.17877E+1
5.79928E-1	3.20482E-3	1.97828E+1	-1.15885E+1
5.69932E-1	3.18647E-3	1.96696E+1	-1.13236E+1
5.59930E-1	3.18544E-3	1.96632E+1	-1.11212E+1
5.49936E-1	3.17808E-3	1.96178E+1	-1.08975E+1
5.39934E-1	3.16741E-3	1.95519E+1	-1.06634E+1
5.29935E-1	3.16007E-3	1.95066E+1	-1.04416E+1
5.19933E-1	3.16100E-3	1.95123E+1	-1.02476E+1
5.09932E-1	3.15297E-3	1.94628E+1	-1.00249E+1
4.99931E-1	3.15537E-3	1.94776E+1	-9.83581E+0
4.89926E-1	3.15518E-3	1.94764E+1	-9.63839E+0
4.79925E-1	3.14313E-3	1.94020E+1	-9.40558E+0
4.69928E-1	3.14228E-3	1.93968E+1	-9.20717E+0
4.59926E-1	3.12932E-3	1.93168E+1	-8.97403E+0
4.49919E-1	3.11904E-3	1.92533E+1	-8.74994E+0
4.39920E-1	3.12218E-3	1.92727E+1	-8.56409E+0
4.29921E-1	3.11831E-3	1.92488E+1	-8.35907E+0
4.19920E-1	3.10983E-3	1.91965E+1	-8.14241E+0
4.09921E-1	3.10722E-3	1.91804E+1	-7.94186E+0
3.99920E-1	3.10276E-3	1.91528E+1	-7.73697E+0
3.89920E-1	3.09110E-3	1.90809E+1	-7.51516E+0
3.79918E-1	3.08880E-3	1.90667E+1	-7.31694E+0
3.69917E-1	3.08633E-3	1.90514E+1	-7.11863E+0
3.59916E-1	3.07405E-3	1.89756E+1	-6.89861E+0
3.49921E-1	3.07650E-3	1.89907E+1	-6.71238E+0
3.39914E-1	3.06514E-3	1.89206E+1	-6.49635E+0
3.29918E-1	3.05889E-3	1.88820E+1	-6.29245E+0
3.19915E-1	3.05552E-3	1.88612E+1	-6.09494E+0
3.09915E-1	3.04230E-3	1.87796E+1	-5.87888E+0
2.99910E-1	3.04675E-3	1.88071E+1	-5.69741E+0
2.89912E-1	3.04474E-3	1.87947E+1	-5.50385E+0
2.79917E-1	3.03544E-3	1.87373E+1	-5.29786E+0
2.69918E-1	3.02355E-3	1.86639E+1	-5.08861E+0
2.59917E-1	3.02013E-3	1.86428E+1	-4.89452E+0
2.49921E-1	3.01296E-3	1.85985E+1	-4.69511E+0
2.39919E-1	3.00307E-3	1.85375E+1	-4.49242E+0
2.29923E-1	3.00657E-3	1.85591E+1	-4.31026E+0
2.19925E-1	2.99251E-3	1.84723E+1	-4.10355E+0
2.09925E-1	2.98502E-3	1.84260E+1	-3.90716E+0
1.99917E-1	2.98645E-3	1.84349E+1	-3.72267E+0
1.89918E-1	2.97245E-3	1.83485E+1	-3.51990E+0
1.79919E-1	2.96846E-3	1.83238E+1	-3.33011E+0
1.69923E-1	2.96649E-3	1.83117E+1	-3.14300E+0
1.59919E-1	2.95081E-3	1.82149E+1	-2.94233E+0
1.49924E-1	2.94478E-3	1.81777E+1	-2.75279E+0
1.39920E-1	2.94519E-3	1.81802E+1	-2.56947E+0
1.29922E-1	2.93780E-3	1.81346E+1	-2.37988E+0
1.19921E-1	2.92901E-3	1.80803E+1	-2.19011E+0
1.09922E-1	2.92190E-3	1.80364E+1	-2.00263E+0
9.99200E-2	2.90563E-3	1.79360E+1	-1.81027E+0
8.99184E-2	2.89857E-3	1.78924E+1	-1.62511E+0
7.99201E-2	2.89867E-3	1.78930E+1	-1.44446E+0
6.99227E-2	2.88580E-3	1.78136E+1	-1.25816E+0
5.99227E-2	2.88882E-3	1.78322E+1	-1.07935E+0
4.99089E-2	2.87016E-3	1.77170E+1	-8.93170E-1
3.99079E-2	2.86700E-3	1.76975E+1	-7.13405E-1
2.99084E-2	2.86141E-3	1.76630E+1	-5.33609E-1
1.99127E-2	2.85046E-3	1.75954E+1	-3.53912E-1
9.90677E-3	2.83416E-3	1.74948E+1	-1.75068E-1
-9.17912E-5	2.83372E-3	1.74921E+1	1.62184E-3
-9.96757E-3	2.83077E-3	1.74739E+1	1.75932E-1
-1.99730E-2	2.81958E-3	1.74048E+1	3.51138E-1
-2.99714E-2	2.80626E-3	1.73226E+1	5.24427E-1
-3.99749E-2	2.80181E-3	1.72951E+1	6.98354E-1
-4.99725E-2	2.79029E-3	1.72240E+1	8.69421E-1
-5.99804E-2	2.78837E-3	1.72122E+1	1.04282E+0
-6.99768E-2	2.77897E-3	1.71541E+1	1.21252E+0
