Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.00997E+0	1.70915E-7	1.05503E-3	-1.07631E-3
9.99969E-1	8.47038E-4	5.22863E+0	-5.28128E+0
9.89969E-1	8.41882E-4	5.19680E+0	-5.19664E+0
9.79970E-1	8.37236E-4	5.16812E+0	-5.11576E+0
9.69972E-1	8.34407E-4	5.15066E+0	-5.04646E+0
9.59966E-1	8.32466E-4	5.13868E+0	-4.98278E+0
9.49966E-1	8.28589E-4	5.11475E+0	-4.90791E+0
9.39967E-1	8.25394E-4	5.09502E+0	-4.83753E+0
9.29965E-1	8.23438E-4	5.08295E+0	-4.77471E+0
9.19965E-1	8.18469E-4	5.05228E+0	-4.69487E+0
9.09964E-1	8.17306E-4	5.04510E+0	-4.63723E+0
8.99966E-1	8.13066E-4	5.01893E+0	-4.56249E+0
8.89965E-1	8.10356E-4	5.00220E+0	-4.49675E+0
8.79967E-1	8.08284E-4	4.98941E+0	-4.43486E+0
8.69933E-1	8.03718E-4	4.96122E+0	-4.35953E+0
8.59933E-1	8.01056E-4	4.94479E+0	-4.29514E+0
8.49937E-1	7.96815E-4	4.91861E+0	-4.22274E+0
8.39931E-1	7.92569E-4	4.89240E+0	-4.15079E+0
8.29932E-1	7.90342E-4	4.87865E+0	-4.08985E+0
8.19927E-1	7.89096E-4	4.87096E+0	-4.03418E+0
8.09931E-1	7.85139E-4	4.84654E+0	-3.96501E+0
7.99930E-1	7.81564E-4	4.82447E+0	-3.89822E+0
7.89933E-1	7.78891E-4	4.80797E+0	-3.83634E+0
7.79926E-1	7.74056E-4	4.77812E+0	-3.76422E+0
7.69926E-1	7.71243E-4	4.76076E+0	-3.70246E+0
7.59925E-1	7.69919E-4	4.75259E+0	-3.64809E+0
7.49924E-1	7.66077E-4	4.72887E+0	-3.58211E+0
7.39925E-1	7.62162E-4	4.70470E+0	-3.51629E+0
7.29921E-1	7.59956E-4	4.69109E+0	-3.45871E+0
7.19920E-1	7.54946E-4	4.66016E+0	-3.38883E+0
7.09923E-1	7.53051E-4	4.64846E+0	-3.33338E+0
6.99923E-1	7.49868E-4	4.62881E+0	-3.27254E+0
6.89927E-1	7.45190E-4	4.59994E+0	-3.20568E+0
6.79924E-1	7.43686E-4	4.59065E+0	-3.15282E+0
6.69919E-1	7.40811E-4	4.57291E+0	-3.09442E+0
6.59919E-1	7.36764E-4	4.54793E+0	-3.03158E+0
6.49925E-1	7.35290E-4	4.53883E+0	-2.97969E+0
6.39922E-1	7.31776E-4	4.51714E+0	-2.91981E+0
6.29915E-1	7.28327E-4	4.49585E+0	-2.86061E+0
6.19915E-1	7.26768E-4	4.48622E+0	-2.80917E+0
6.09911E-1	7.22939E-4	4.46259E+0	-2.74927E+0
5.99908E-1	7.18674E-4	4.43626E+0	-2.68823E+0
5.89917E-1	7.16477E-4	4.42270E+0	-2.63538E+0
5.79915E-1	7.12090E-4	4.39562E+0	-2.57483E+0
5.69918E-1	7.08907E-4	4.37597E+0	-2.51913E+0
5.59917E-1	7.06515E-4	4.36120E+0	-2.46658E+0
5.49918E-1	7.01548E-4	4.33054E+0	-2.40550E+0
5.39917E-1	6.99536E-4	4.31812E+0	-2.35498E+0
