Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.00997E+0	-6.22392E-4	-3.84193E+0	3.91942E+0
9.99982E-1	1.51933E-7	9.37858E-4	-9.47314E-4
9.89982E-1	1.51938E-7	9.37889E-4	-9.37872E-4
9.79983E-1	1.51152E-7	9.33037E-4	-9.23596E-4
9.69985E-1	1.50660E-7	9.30000E-4	-9.11198E-4
9.59982E-1	1.50036E-7	9.26148E-4	-8.98066E-4
9.49981E-1	1.49587E-7	9.23377E-4	-8.86051E-4
9.39981E-1	1.48534E-7	9.16877E-4	-8.70552E-4
9.29977E-1	1.48047E-7	9.13870E-4	-8.58463E-4
9.19978E-1	1.47259E-7	9.09006E-4	-8.44713E-4
9.09977E-1	1.47145E-7	9.08302E-4	-8.34883E-4
8.99975E-1	1.46436E-7	9.03926E-4	-8.21728E-4
8.89976E-1	1.46634E-7	9.05148E-4	-8.13697E-4
8.79982E-1	1.46076E-7	9.01704E-4	-8.01498E-4
8.69951E-1	1.44846E-7	8.94111E-4	-7.85690E-4
8.59953E-1	1.44241E-7	8.90377E-4	-7.73416E-4
8.49950E-1	1.44280E-7	8.90617E-4	-7.64626E-4
8.39947E-1	1.43203E-7	8.83969E-4	-7.49987E-4
8.29950E-1	1.42427E-7	8.79179E-4	-7.37045E-4
8.19945E-1	1.41744E-7	8.74963E-4	-7.24668E-4
8.09947E-1	1.41073E-7	8.70821E-4	-7.12443E-4
7.99947E-1	1.40325E-7	8.66204E-4	-6.99916E-4
7.89941E-1	1.39868E-7	8.63383E-4	-6.88911E-4
7.79932E-1	1.39129E-7	8.58821E-4	-6.76588E-4
7.69933E-1	1.38831E-7	8.56981E-4	-6.66483E-4
7.59934E-1	1.37736E-7	8.50222E-4	-6.52639E-4
7.49930E-1	1.37434E-7	8.48358E-4	-6.42635E-4
7.39928E-1	1.36606E-7	8.43247E-4	-6.30244E-4
7.29932E-1	1.36288E-7	8.41284E-4	-6.20283E-4
7.19931E-1	1.35294E-7	8.35148E-4	-6.07322E-4
7.09933E-1	1.34239E-7	8.28636E-4	-5.94218E-4
6.99936E-1	1.33904E-7	8.26568E-4	-5.84389E-4
