Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.00997E+0	3.96195E-7	2.44565E-3	-2.49498E-3
9.99967E-1	3.89597E-7	2.40492E-3	-2.42913E-3
9.89970E-1	3.83613E-7	2.36798E-3	-2.36791E-3
9.79970E-1	3.76735E-7	2.32552E-3	-2.30196E-3
9.69975E-1	3.69130E-7	2.27858E-3	-2.23249E-3
9.59967E-1	3.65088E-7	2.25363E-3	-2.18526E-3
9.49973E-1	3.58566E-7	2.21337E-3	-2.12388E-3
9.39970E-1	3.50732E-7	2.16501E-3	-2.05560E-3
9.29962E-1	3.46658E-7	2.13986E-3	-2.01009E-3
9.19964E-1	3.39710E-7	2.09698E-3	-1.94863E-3
9.09963E-1	3.34403E-7	2.06422E-3	-1.89733E-3
8.99966E-1	3.29616E-7	2.03467E-3	-1.84963E-3
8.89965E-1	3.26135E-7	2.01318E-3	-1.80976E-3
8.79965E-1	3.21844E-7	1.98669E-3	-1.76588E-3
8.69930E-1	3.16864E-7	1.95595E-3	-1.71873E-3
8.59929E-1	3.12281E-7	1.92766E-3	-1.67440E-3
8.49929E-1	3.06270E-7	1.89056E-3	-1.62307E-3
8.39928E-1	3.01851E-7	1.86328E-3	-1.58083E-3
8.29932E-1	2.96000E-7	1.82716E-3	-1.53174E-3
8.19927E-1	2.91665E-7	1.80040E-3	-1.49111E-3
8.09931E-1	2.86961E-7	1.77136E-3	-1.44917E-3
7.99935E-1	2.79416E-7	1.72479E-3	-1.39366E-3
7.89932E-1	2.76544E-7	1.70706E-3	-1.36208E-3
7.79922E-1	2.72766E-7	1.68374E-3	-1.32645E-3
7.69925E-1	2.65906E-7	1.64140E-3	-1.27652E-3
7.59929E-1	2.61105E-7	1.61176E-3	-1.23719E-3
7.49931E-1	2.57248E-7	1.58795E-3	-1.20288E-3
7.39926E-1	2.54142E-7	1.56878E-3	-1.17250E-3
7.29931E-1	2.48690E-7	1.53512E-3	-1.13185E-3
7.19934E-1	2.44525E-7	1.50941E-3	-1.09765E-3
7.09934E-1	2.40056E-7	1.48183E-3	-1.06263E-3
6.99932E-1	2.37701E-7	1.46729E-3	-1.03738E-3
6.89930E-1	2.33829E-7	1.44339E-3	-1.00590E-3
6.79932E-1	2.29902E-7	1.41915E-3	-9.74671E-4
6.69929E-1	2.24988E-7	1.38881E-3	-9.39805E-4
6.59930E-1	2.19532E-7	1.35514E-3	-9.03328E-4
6.49934E-1	2.16954E-7	1.33922E-3	-8.79198E-4
