Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.00997E+0	3.95869E-7	2.44364E-3	-2.49293E-3
9.99978E-1	1.39833E-3	8.63167E+0	-8.71866E+0
9.89979E-1	1.39544E-3	8.61383E+0	-8.61364E+0
9.79981E-1	1.39302E-3	8.59889E+0	-8.51187E+0
9.69980E-1	1.38676E-3	8.56025E+0	-8.38714E+0
9.59976E-1	1.38324E-3	8.53852E+0	-8.27957E+0
9.49979E-1	1.38316E-3	8.53802E+0	-8.19287E+0
9.39977E-1	1.37774E-3	8.50457E+0	-8.07485E+0
9.29969E-1	1.37581E-3	8.49265E+0	-7.97768E+0
9.19971E-1	1.37234E-3	8.47123E+0	-7.87201E+0
9.09974E-1	1.36533E-3	8.42796E+0	-7.74669E+0
8.99978E-1	1.35984E-3	8.39407E+0	-7.63079E+0
8.89975E-1	1.35915E-3	8.38981E+0	-7.54215E+0
8.79972E-1	1.35277E-3	8.35043E+0	-7.42237E+0
8.69937E-1	1.35048E-3	8.33630E+0	-7.32531E+0
8.59937E-1	1.34866E-3	8.32506E+0	-7.23134E+0
8.49936E-1	1.34131E-3	8.27969E+0	-7.10829E+0
8.39939E-1	1.33836E-3	8.26148E+0	-7.00923E+0
8.29937E-1	1.33516E-3	8.24173E+0	-6.90921E+0
8.19936E-1	1.33097E-3	8.21586E+0	-6.80453E+0
8.09938E-1	1.32728E-3	8.19309E+0	-6.70292E+0
7.99934E-1	1.31978E-3	8.14679E+0	-6.58272E+0
7.89936E-1	1.31750E-3	8.13272E+0	-6.48922E+0
7.79928E-1	1.31364E-3	8.10889E+0	-6.38823E+0
7.69928E-1	1.30627E-3	8.06340E+0	-6.27094E+0
7.59930E-1	1.30528E-3	8.05728E+0	-6.18482E+0
7.49932E-1	1.29977E-3	8.02327E+0	-6.07768E+0
7.39924E-1	1.29534E-3	7.99593E+0	-5.97614E+0
7.29927E-1	1.29477E-3	7.99241E+0	-5.89280E+0
7.19925E-1	1.28736E-3	7.94667E+0	-5.77879E+0
7.09924E-1	1.28301E-3	7.91981E+0	-5.67926E+0
6.99926E-1	1.28220E-3	7.91481E+0	-5.59574E+0
6.89929E-1	1.27464E-3	7.86815E+0	-5.48330E+0
6.79931E-1	1.27104E-3	7.84593E+0	-5.38857E+0
