Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.00998E+0	3.22250E-7	1.98920E-3	-2.02934E-3
9.99977E-1	3.15288E-7	1.94622E-3	-1.96584E-3
9.89978E-1	3.11507E-7	1.92288E-3	-1.92284E-3
9.79978E-1	3.05611E-7	1.88649E-3	-1.86739E-3
9.69982E-1	2.99532E-7	1.84896E-3	-1.81158E-3
9.59976E-1	2.94088E-7	1.81536E-3	-1.76030E-3
9.49977E-1	2.89603E-7	1.78767E-3	-1.71540E-3
9.39977E-1	2.86206E-7	1.76670E-3	-1.67744E-3
9.29968E-1	2.80599E-7	1.73209E-3	-1.62706E-3
9.19969E-1	2.76387E-7	1.70609E-3	-1.58541E-3
9.09973E-1	2.70904E-7	1.67225E-3	-1.53707E-3
8.99973E-1	2.65900E-7	1.64136E-3	-1.49210E-3
8.89971E-1	2.61916E-7	1.61677E-3	-1.45341E-3
8.79974E-1	2.57311E-7	1.58834E-3	-1.41182E-3
8.69939E-1	2.51463E-7	1.55224E-3	-1.36399E-3
8.59944E-1	2.44938E-7	1.51196E-3	-1.31334E-3
8.49943E-1	2.40079E-7	1.48197E-3	-1.27231E-3
8.39941E-1	2.34494E-7	1.44749E-3	-1.22809E-3
8.29942E-1	2.30053E-7	1.42008E-3	-1.19049E-3
8.19936E-1	2.26300E-7	1.39691E-3	-1.15695E-3
8.09937E-1	2.21538E-7	1.36752E-3	-1.11879E-3
7.99936E-1	2.18359E-7	1.34790E-3	-1.08912E-3
7.89937E-1	2.14582E-7	1.32458E-3	-1.05690E-3
7.79928E-1	2.09758E-7	1.29480E-3	-1.02005E-3
7.69927E-1	2.06129E-7	1.27240E-3	-9.89552E-4
7.59927E-1	2.06477E-7	1.27455E-3	-9.78348E-4
7.49931E-1	2.02093E-7	1.24749E-3	-9.44979E-4
7.39929E-1	1.96065E-7	1.21028E-3	-9.04565E-4
7.29930E-1	1.94729E-7	1.20203E-3	-8.86261E-4
7.19930E-1	1.89438E-7	1.16937E-3	-8.50368E-4
7.09930E-1	1.85551E-7	1.14538E-3	-8.21351E-4
6.99931E-1	1.81877E-7	1.12270E-3	-7.93748E-4
6.89930E-1	1.78954E-7	1.10465E-3	-7.69832E-4
6.79930E-1	1.74346E-7	1.07621E-3	-7.39139E-4
6.69929E-1	1.71488E-7	1.05857E-3	-7.16329E-4
6.59928E-1	1.70922E-7	1.05507E-3	-7.03306E-4
6.49929E-1	1.64757E-7	1.01702E-3	-6.67666E-4
6.39929E-1	1.60875E-7	9.93056E-4	-6.41904E-4
6.29923E-1	1.58577E-7	9.78870E-4	-6.22841E-4
6.19920E-1	1.54982E-7	9.56679E-4	-5.99055E-4
6.09918E-1	1.52612E-7	9.42049E-4	-5.80377E-4
5.99922E-1	1.48966E-7	9.19543E-4	-5.57226E-4
5.89921E-1	1.45729E-7	8.99562E-4	-5.36031E-4
5.79920E-1	1.42226E-7	8.77938E-4	-5.14277E-4
5.69923E-1	1.39745E-7	8.62623E-4	-4.96595E-4
5.59923E-1	1.35880E-7	8.38765E-4	-4.74388E-4
5.49923E-1	1.33180E-7	8.22099E-4	-4.56658E-4
5.39920E-1	1.29760E-7	8.00988E-4	-4.36838E-4
5.29921E-1	1.26919E-7	7.83451E-4	-4.19361E-4
5.19918E-1	1.25064E-7	7.72000E-4	-4.05431E-4
5.09920E-1	1.22291E-7	7.54883E-4	-3.88818E-4
4.99917E-1	1.19182E-7	7.35691E-4	-3.71500E-4
4.89915E-1	1.16168E-7	7.17086E-4	-3.54860E-4
4.79915E-1	1.13580E-7	7.01111E-4	-3.39872E-4
4.69914E-1	1.10958E-7	6.84926E-4	-3.25107E-4
4.59912E-1	1.08580E-7	6.70247E-4	-3.11368E-4
4.49910E-1	1.05808E-7	6.53136E-4	-2.96821E-4
4.39912E-1	1.03408E-7	6.38321E-4	-2.83641E-4
4.29916E-1	1.00869E-7	6.22648E-4	-2.70390E-4
4.19907E-1	9.87834E-8	6.09774E-4	-2.58635E-4
4.09912E-1	9.59514E-8	5.92293E-4	-2.45240E-4
3.99911E-1	9.36842E-8	5.78298E-4	-2.33604E-4
3.89913E-1	9.11953E-8	5.62934E-4	-2.21712E-4
3.79909E-1	8.92911E-8	5.51180E-4	-2.11513E-4
3.69911E-1	8.67631E-8	5.35575E-4	-2.00116E-4
3.59911E-1	8.47226E-8	5.22979E-4	-1.90127E-4
3.49910E-1	8.28982E-8	5.11717E-4	-1.80864E-4
3.39904E-1	8.07382E-8	4.98384E-4	-1.71114E-4
3.29906E-1	7.82051E-8	4.82748E-4	-1.60870E-4
3.19909E-1	7.61272E-8	4.69921E-4	-1.51850E-4
3.09908E-1	7.42470E-8	4.58315E-4	-1.43470E-4
2.99910E-1	7.23962E-8	4.46890E-4	-1.35381E-4
2.89912E-1	7.03918E-8	4.34517E-4	-1.27244E-4
2.79910E-1	6.83671E-8	4.22019E-4	-1.19321E-4
2.69913E-1	6.66732E-8	4.11563E-4	-1.12208E-4
2.59914E-1	6.47135E-8	3.99466E-4	-1.04876E-4
2.49915E-1	6.29736E-8	3.88726E-4	-9.81297E-5
2.39918E-1	6.13087E-8	3.78449E-4	-9.17138E-5
2.29913E-1	5.94577E-8	3.67023E-4	-8.52357E-5
2.19916E-1	5.80081E-8	3.58075E-4	-7.95418E-5
2.09913E-1	5.57390E-8	3.44068E-4	-7.29539E-5
1.99908E-1	5.44706E-8	3.36238E-4	-6.78957E-5
1.89914E-1	5.30467E-8	3.27449E-4	-6.28153E-5
1.79915E-1	5.14519E-8	3.17604E-4	-5.77190E-5
1.69915E-1	4.99902E-8	3.08581E-4	-5.29622E-5
1.59913E-1	4.83110E-8	2.98216E-4	-4.81703E-5
1.49911E-1	4.69754E-8	2.89972E-4	-4.39090E-5
1.39912E-1	4.58040E-8	2.82741E-4	-3.99584E-5
1.29911E-1	4.46362E-8	2.75532E-4	-3.61562E-5
1.19911E-1	4.32602E-8	2.67038E-4	-3.23443E-5
1.09915E-1	4.20758E-8	2.59727E-4	-2.88363E-5
9.99122E-2	4.09021E-8	2.52482E-4	-2.54809E-5
8.99117E-2	3.97949E-8	2.45648E-4	-2.23097E-5
7.99122E-2	3.86516E-8	2.38590E-4	-1.92589E-5
6.99162E-2	3.75911E-8	2.32044E-4	-1.63875E-5
5.99182E-2	3.66024E-8	2.25941E-4	-1.36747E-5
4.99105E-2	3.55363E-8	2.19360E-4	-1.10590E-5
3.99098E-2	3.45144E-8	2.13052E-4	-8.58874E-6
2.99113E-2	3.35644E-8	2.07188E-4	-6.25985E-6
1.99180E-2	3.26190E-8	2.01352E-4	-4.05104E-6
9.91607E-3	3.16195E-8	1.95182E-4	-1.95499E-6
-8.41618E-5	3.06765E-8	1.89361E-4	1.60980E-8
-9.94706E-3	2.97677E-8	1.83751E-4	1.84625E-6
-1.99506E-2	2.88721E-8	1.78223E-4	3.59157E-6
-2.99468E-2	2.77704E-8	1.71422E-4	5.18540E-6
-3.99444E-2	2.68271E-8	1.65599E-4	6.68158E-6
-4.99461E-2	2.58609E-8	1.59635E-4	8.05369E-6
-5.99535E-2	2.48468E-8	1.53375E-4	9.28827E-6
-6.99544E-2	2.36725E-8	1.46127E-4	1.03254E-5
-7.99510E-2	2.26869E-8	1.40043E-4	1.13096E-5
-8.99510E-2	2.16230E-8	1.33475E-4	1.21275E-5
-9.99553E-2	2.03792E-8	1.25798E-4	1.27011E-5
-1.09954E-1	1.90732E-8	1.17736E-4	1.30763E-5
-1.19954E-1	1.79886E-8	1.11041E-4	1.34543E-5
-1.29956E-1	1.67615E-8	1.03466E-4	1.35819E-5
