Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.00998E+0	3.12542E-7	1.92927E-3	-1.96821E-3
9.99972E-1	5.63185E-4	3.47645E+0	-3.51147E+0
9.89975E-1	5.62655E-4	3.47318E+0	-3.47309E+0
9.79974E-1	5.59447E-4	3.45338E+0	-3.41840E+0
9.69983E-1	5.60287E-4	3.45856E+0	-3.38863E+0
9.59975E-1	5.58009E-4	3.44450E+0	-3.34003E+0
9.49976E-1	5.56483E-4	3.43508E+0	-3.29621E+0
9.39975E-1	5.53679E-4	3.41777E+0	-3.24507E+0
9.29967E-1	5.50591E-4	3.39871E+0	-3.19261E+0
9.19976E-1	5.49096E-4	3.38948E+0	-3.14974E+0
9.09976E-1	5.48545E-4	3.38608E+0	-3.11238E+0
8.99976E-1	5.45547E-4	3.36757E+0	-3.06135E+0
8.89975E-1	5.44363E-4	3.36027E+0	-3.02076E+0
8.79978E-1	5.41381E-4	3.34186E+0	-2.97047E+0
8.69942E-1	5.39848E-4	3.33240E+0	-2.92827E+0
8.59941E-1	5.38257E-4	3.32257E+0	-2.88608E+0
8.49941E-1	5.35298E-4	3.30431E+0	-2.83684E+0
8.39941E-1	5.32626E-4	3.28781E+0	-2.78947E+0
8.29937E-1	5.31890E-4	3.28327E+0	-2.75243E+0
8.19930E-1	5.28562E-4	3.26273E+0	-2.70223E+0
8.09933E-1	5.27269E-4	3.25475E+0	-2.66275E+0
7.99931E-1	5.25856E-4	3.24602E+0	-2.62282E+0
7.89931E-1	5.23553E-4	3.23181E+0	-2.57869E+0
7.79922E-1	5.22007E-4	3.22227E+0	-2.53850E+0
7.69926E-1	5.20920E-4	3.21556E+0	-2.50075E+0
7.59926E-1	5.17283E-4	3.19310E+0	-2.45103E+0
7.49929E-1	5.16771E-4	3.18994E+0	-2.41640E+0
7.39924E-1	5.14074E-4	3.17330E+0	-2.37172E+0
7.29927E-1	5.13005E-4	3.16670E+0	-2.33481E+0
7.19923E-1	5.10345E-4	3.15028E+0	-2.29087E+0
7.09924E-1	5.08751E-4	3.14044E+0	-2.25199E+0
6.99927E-1	5.05675E-4	3.12145E+0	-2.20686E+0
6.89929E-1	5.03027E-4	3.10510E+0	-2.16394E+0
6.79929E-1	5.02118E-4	3.09949E+0	-2.12872E+0
6.69921E-1	4.99661E-4	3.08433E+0	-2.08713E+0
6.59924E-1	4.96802E-4	3.06668E+0	-2.04422E+0
6.49926E-1	4.96568E-4	3.06523E+0	-2.01230E+0
6.39923E-1	4.93947E-4	3.04906E+0	-1.97087E+0
6.29919E-1	4.92761E-4	3.04173E+0	-1.93540E+0
6.19915E-1	4.89713E-4	3.02292E+0	-1.89288E+0
6.09918E-1	4.87472E-4	3.00909E+0	-1.85383E+0
5.99917E-1	4.85660E-4	2.99790E+0	-1.81666E+0
5.89920E-1	4.83342E-4	2.98359E+0	-1.77786E+0
5.79921E-1	4.82333E-4	2.97736E+0	-1.74408E+0
5.69924E-1	4.79502E-4	2.95989E+0	-1.70395E+0
5.59924E-1	4.77908E-4	2.95005E+0	-1.66849E+0
5.49927E-1	4.76109E-4	2.93894E+0	-1.63253E+0
5.39925E-1	4.73209E-4	2.92104E+0	-1.59308E+0
5.29929E-1	4.71744E-4	2.91200E+0	-1.55874E+0
5.19922E-1	4.69746E-4	2.89967E+0	-1.52283E+0
5.09921E-1	4.66669E-4	2.88067E+0	-1.48375E+0
4.99922E-1	4.65859E-4	2.87567E+0	-1.45213E+0
4.89918E-1	4.64399E-4	2.86666E+0	-1.41861E+0
4.79919E-1	4.61799E-4	2.85061E+0	-1.38188E+0
4.69918E-1	4.60762E-4	2.84421E+0	-1.35005E+0
4.59922E-1	4.57968E-4	2.82696E+0	-1.31332E+0
4.49913E-1	4.55951E-4	2.81451E+0	-1.27908E+0
4.39915E-1	4.52577E-4	2.79369E+0	-1.24140E+0
4.29914E-1	4.50463E-4	2.78064E+0	-1.20751E+0
4.19919E-1	4.49046E-4	2.77189E+0	-1.17573E+0
4.09920E-1	4.46915E-4	2.75873E+0	-1.14228E+0
3.99918E-1	4.44312E-4	2.74267E+0	-1.10792E+0
3.89922E-1	4.42240E-4	2.72988E+0	-1.07519E+0
3.79917E-1	4.41324E-4	2.72422E+0	-1.04543E+0
3.69918E-1	4.37345E-4	2.69966E+0	-1.00874E+0
3.59918E-1	4.35555E-4	2.68861E+0	-9.77454E-1
3.49923E-1	4.34320E-4	2.68099E+0	-9.47615E-1
3.39914E-1	4.31515E-4	2.66367E+0	-9.14565E-1
3.29915E-1	4.30331E-4	2.65636E+0	-8.85227E-1
3.19917E-1	4.27256E-4	2.63738E+0	-8.52266E-1
3.09914E-1	4.26336E-4	2.63170E+0	-8.23840E-1
2.99917E-1	4.22471E-4	2.60785E+0	-7.90038E-1
2.89916E-1	4.19841E-4	2.59161E+0	-7.58939E-1
2.79917E-1	4.18977E-4	2.58628E+0	-7.31256E-1
2.69920E-1	4.16113E-4	2.56860E+0	-7.00319E-1
2.59921E-1	4.14352E-4	2.55773E+0	-6.71523E-1
2.49923E-1	4.12780E-4	2.54802E+0	-6.43242E-1
2.39923E-1	4.09451E-4	2.52748E+0	-6.12525E-1
2.29913E-1	4.08203E-4	2.51977E+0	-5.85180E-1
2.19917E-1	4.05320E-4	2.50198E+0	-5.55785E-1
