Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.00996E+0	-9.36985E-5	-5.78386E-1	5.90047E-1
9.99966E-1	3.98903E-3	2.46236E+1	-2.48715E+1
9.89967E-1	3.98667E-3	2.46091E+1	-2.46083E+1
9.79968E-1	3.99186E-3	2.46411E+1	-2.43914E+1
9.69969E-1	3.98927E-3	2.46251E+1	-2.41269E+1
9.59966E-1	3.97193E-3	2.45181E+1	-2.37743E+1
9.49967E-1	3.96264E-3	2.44607E+1	-2.34716E+1
9.39966E-1	3.96341E-3	2.44655E+1	-2.32290E+1
9.29960E-1	3.95819E-3	2.44333E+1	-2.29515E+1
9.19962E-1	3.95097E-3	2.43887E+1	-2.26633E+1
9.09964E-1	3.95307E-3	2.44017E+1	-2.24289E+1
8.99964E-1	3.94780E-3	2.43691E+1	-2.21529E+1
8.89964E-1	3.93273E-3	2.42761E+1	-2.18231E+1
8.79962E-1	3.92552E-3	2.42316E+1	-2.15383E+1
8.69931E-1	3.91846E-3	2.41880E+1	-2.12545E+1
8.59931E-1	3.91200E-3	2.41481E+1	-2.09755E+1
8.49932E-1	3.90521E-3	2.41062E+1	-2.06956E+1
8.39933E-1	3.89713E-3	2.40564E+1	-2.04098E+1
8.29933E-1	3.90044E-3	2.40768E+1	-2.01840E+1
8.19928E-1	3.89140E-3	2.40210E+1	-1.98944E+1
8.09929E-1	3.87621E-3	2.39272E+1	-1.95751E+1
7.99928E-1	3.86245E-3	2.38423E+1	-1.92648E+1
7.89930E-1	3.86916E-3	2.38837E+1	-1.90570E+1
7.79917E-1	3.87183E-3	2.39002E+1	-1.88284E+1
7.69919E-1	3.86109E-3	2.38339E+1	-1.85355E+1
7.59917E-1	3.85364E-3	2.37879E+1	-1.82594E+1
7.49917E-1	3.84821E-3	2.37544E+1	-1.79938E+1
7.39916E-1	3.83931E-3	2.36994E+1	-1.77127E+1
7.29912E-1	3.81816E-3	2.35689E+1	-1.73770E+1
7.19919E-1	3.81482E-3	2.35483E+1	-1.71241E+1
7.09917E-1	3.81579E-3	2.35543E+1	-1.68905E+1
6.99915E-1	3.80148E-3	2.34659E+1	-1.65901E+1
6.89914E-1	3.79019E-3	2.33962E+1	-1.63044E+1
6.79920E-1	3.79395E-3	2.34194E+1	-1.60842E+1
6.69917E-1	3.78968E-3	2.33931E+1	-1.58297E+1
6.59918E-1	3.77451E-3	2.32994E+1	-1.55310E+1
6.49920E-1	3.76988E-3	2.32709E+1	-1.52770E+1
6.39921E-1	3.76456E-3	2.32380E+1	-1.50207E+1
6.29914E-1	3.75360E-3	2.31704E+1	-1.47428E+1
6.19912E-1	3.74027E-3	2.30881E+1	-1.44572E+1
6.09908E-1	3.73222E-3	2.30384E+1	-1.41932E+1
5.99902E-1	3.73018E-3	2.30258E+1	-1.39528E+1
5.89906E-1	3.72027E-3	2.29646E+1	-1.36838E+1
5.79906E-1	3.71268E-3	2.29178E+1	-1.34244E+1
5.69909E-1	3.71172E-3	2.29119E+1	-1.31896E+1
5.59906E-1	3.70513E-3	2.28712E+1	-1.29351E+1
5.49907E-1	3.68905E-3	2.27719E+1	-1.26489E+1
5.39906E-1	3.68345E-3	2.27373E+1	-1.24000E+1
5.29908E-1	3.67919E-3	2.27110E+1	-1.21563E+1
5.19904E-1	3.66760E-3	2.26395E+1	-1.18893E+1
5.09905E-1	3.64744E-3	2.25151E+1	-1.15965E+1
4.99901E-1	3.64232E-3	2.24835E+1	-1.13530E+1
4.89899E-1	3.63834E-3	2.24589E+1	-1.11137E+1
4.79899E-1	3.62777E-3	2.23936E+1	-1.08552E+1
4.69898E-1	3.61163E-3	2.22940E+1	-1.05817E+1
4.59899E-1	3.60910E-3	2.22784E+1	-1.03493E+1
4.49895E-1	3.60223E-3	2.22360E+1	-1.01049E+1
4.39898E-1	3.58402E-3	2.21236E+1	-9.83042E+0
4.29897E-1	3.57317E-3	2.20566E+1	-9.57785E+0
4.19899E-1	3.57079E-3	2.20419E+1	-9.34887E+0
4.09900E-1	3.56493E-3	2.20057E+1	-9.11127E+0
3.99905E-1	3.55719E-3	2.19580E+1	-8.86980E+0
3.89907E-1	3.55077E-3	2.19183E+1	-8.63244E+0
3.79906E-1	3.54286E-3	2.18695E+1	-8.39228E+0
3.69900E-1	3.52340E-3	2.17494E+1	-8.12636E+0
3.59900E-1	3.51154E-3	2.16762E+1	-7.88006E+0
3.49897E-1	3.50979E-3	2.16654E+1	-7.65722E+0
3.39893E-1	3.49393E-3	2.15675E+1	-7.40468E+0
3.29896E-1	3.47515E-3	2.14515E+1	-7.14826E+0
3.19892E-1	3.47006E-3	2.14201E+1	-6.92134E+0
3.09892E-1	3.46350E-3	2.13796E+1	-6.69230E+0
2.99896E-1	3.44492E-3	2.12649E+1	-6.44169E+0
2.89893E-1	3.43867E-3	2.12264E+1	-6.21553E+0
2.79899E-1	3.43122E-3	2.11804E+1	-5.98825E+0
2.69897E-1	3.42842E-3	2.11631E+1	-5.76955E+0
2.59897E-1	3.41163E-3	2.10594E+1	-5.52857E+0
2.49895E-1	3.39986E-3	2.09868E+1	-5.29747E+0
2.39899E-1	3.38762E-3	2.09112E+1	-5.06726E+0
2.29894E-1	3.36518E-3	2.07727E+1	-4.82376E+0
2.19896E-1	3.36135E-3	2.07491E+1	-4.60873E+0
2.09896E-1	3.34804E-3	2.06669E+1	-4.38172E+0
1.99892E-1	3.32940E-3	2.05519E+1	-4.14965E+0
1.89892E-1	3.32604E-3	2.05311E+1	-3.93807E+0
1.79891E-1	3.32435E-3	2.05207E+1	-3.72877E+0
1.69893E-1	3.31359E-3	2.04543E+1	-3.51014E+0
1.59894E-1	3.29892E-3	2.03637E+1	-3.28892E+0
1.49894E-1	3.28588E-3	2.02832E+1	-3.07104E+0
1.39893E-1	3.28273E-3	2.02638E+1	-2.86339E+0
1.29890E-1	3.27067E-3	2.01893E+1	-2.64888E+0
1.19892E-1	3.25448E-3	2.00894E+1	-2.43289E+0
1.09893E-1	3.24453E-3	2.00280E+1	-2.22316E+0
9.98931E-2	3.23206E-3	1.99510E+1	-2.01310E+0
8.98895E-2	3.21296E-3	1.98331E+1	-1.80079E+0
7.98895E-2	3.20405E-3	1.97781E+1	-1.59602E+0
6.98905E-2	3.19881E-3	1.97457E+1	-1.39398E+0
5.98931E-2	3.17976E-3	1.96281E+1	-1.18747E+0
4.98824E-2	3.16453E-3	1.95341E+1	-9.84252E-1
3.98836E-2	3.15621E-3	1.94828E+1	-7.84892E-1
2.98841E-2	3.14197E-3	1.93949E+1	-5.85453E-1
1.98798E-2	3.12186E-3	1.92707E+1	-3.86968E-1
9.87792E-3	3.11862E-3	1.92507E+1	-1.92078E-1
-1.21355E-4	3.10829E-3	1.91870E+1	2.35195E-3
-9.89151E-3	3.08955E-3	1.90713E+1	1.90549E-1
-1.98960E-2	3.07360E-3	1.89728E+1	3.81297E-1
-2.98963E-2	3.06895E-3	1.89441E+1	5.72080E-1
-3.98958E-2	3.05772E-3	1.88748E+1	7.60632E-1
-4.98943E-2	3.03700E-3	1.87469E+1	9.44812E-1
