Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.00997E+0	3.71462E-5	2.29298E-1	-2.33923E-1
9.99974E-1	3.73960E-5	2.30840E-1	-2.33165E-1
9.89975E-1	3.68374E-5	2.27391E-1	-2.27386E-1
9.79973E-1	3.62758E-5	2.23925E-1	-2.21657E-1
9.69974E-1	3.56864E-5	2.20286E-1	-2.15830E-1
9.59969E-1	3.51368E-5	2.16894E-1	-2.10314E-1
9.49970E-1	3.46027E-5	2.13597E-1	-2.04960E-1
9.39970E-1	3.40111E-5	2.09945E-1	-1.99335E-1
9.29963E-1	3.35088E-5	2.06844E-1	-1.94301E-1
9.19961E-1	3.29820E-5	2.03593E-1	-1.89189E-1
9.09961E-1	3.24394E-5	2.00243E-1	-1.84054E-1
8.99966E-1	3.19101E-5	1.96976E-1	-1.79062E-1
8.89965E-1	3.13837E-5	1.93727E-1	-1.74151E-1
8.79966E-1	3.08266E-5	1.90288E-1	-1.69138E-1
8.69929E-1	3.02936E-5	1.86998E-1	-1.64318E-1
8.59932E-1	2.97856E-5	1.83862E-1	-1.59706E-1
8.49930E-1	2.92620E-5	1.80630E-1	-1.55073E-1
8.39929E-1	2.87232E-5	1.77304E-1	-1.50427E-1
8.29931E-1	2.82051E-5	1.74106E-1	-1.45955E-1
8.19925E-1	2.76626E-5	1.70757E-1	-1.41422E-1
8.09925E-1	2.71826E-5	1.67794E-1	-1.37273E-1
7.99927E-1	2.66936E-5	1.64775E-1	-1.33140E-1
7.89926E-1	2.61991E-5	1.61723E-1	-1.29039E-1
7.79920E-1	2.57150E-5	1.58735E-1	-1.25051E-1
7.69919E-1	2.52322E-5	1.55754E-1	-1.21130E-1
7.59918E-1	2.47620E-5	1.52852E-1	-1.17328E-1
7.49920E-1	2.42989E-5	1.49993E-1	-1.13619E-1
7.39915E-1	2.38476E-5	1.47207E-1	-1.10021E-1
7.29919E-1	2.33843E-5	1.44348E-1	-1.06426E-1
7.19919E-1	2.29070E-5	1.41401E-1	-1.02826E-1
7.09920E-1	2.24308E-5	1.38462E-1	-9.92896E-2
6.99919E-1	2.19895E-5	1.35738E-1	-9.59650E-2
6.89921E-1	2.15777E-5	1.33196E-1	-9.28227E-2
6.79921E-1	2.11140E-5	1.30333E-1	-8.95115E-2
