Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.00997E+0	1.89341E-5	1.16877E-1	-1.19235E-1
9.99966E-1	1.97186E-5	1.21720E-1	-1.22945E-1
9.89970E-1	1.94148E-5	1.19844E-1	-1.19841E-1
9.79967E-1	1.91009E-5	1.17907E-1	-1.16712E-1
9.69969E-1	1.88057E-5	1.16085E-1	-1.13736E-1
9.59966E-1	1.84888E-5	1.14128E-1	-1.10666E-1
9.49968E-1	1.82129E-5	1.12425E-1	-1.07879E-1
9.39969E-1	1.79313E-5	1.10687E-1	-1.05093E-1
9.29962E-1	1.76301E-5	1.08828E-1	-1.02228E-1
9.19962E-1	1.73561E-5	1.07136E-1	-9.95570E-2
9.09965E-1	1.70745E-5	1.05398E-1	-9.68774E-2
8.99973E-1	1.67865E-5	1.03620E-1	-9.41975E-2
8.89967E-1	1.65031E-5	1.01871E-1	-9.15776E-2
8.79972E-1	1.62463E-5	1.00286E-1	-8.91401E-2
8.69934E-1	1.59728E-5	9.85975E-2	-8.66397E-2
8.59937E-1	1.57066E-5	9.69543E-2	-8.42168E-2
8.49934E-1	1.54559E-5	9.54068E-2	-8.19086E-2
8.39934E-1	1.51847E-5	9.37327E-2	-7.95245E-2
8.29937E-1	1.49307E-5	9.21648E-2	-7.72636E-2
8.19935E-1	1.46728E-5	9.05728E-2	-7.50140E-2
8.09937E-1	1.44732E-5	8.93407E-2	-7.30913E-2
7.99938E-1	1.43622E-5	8.86556E-2	-7.16353E-2
7.89941E-1	1.43495E-5	8.85772E-2	-7.06775E-2
7.79932E-1	1.43476E-5	8.85654E-2	-6.97727E-2
7.69932E-1	1.43489E-5	8.85735E-2	-6.88844E-2
7.59929E-1	1.43318E-5	8.84679E-2	-6.79084E-2
7.49934E-1	1.40524E-5	8.67432E-2	-6.57088E-2
7.39930E-1	1.36117E-5	8.40228E-2	-6.27990E-2
7.29934E-1	1.32351E-5	8.16981E-2	-6.02366E-2
7.19934E-1	1.28394E-5	7.92556E-2	-5.76351E-2
7.09937E-1	1.24760E-5	7.70123E-2	-5.52262E-2
