Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.00998E+0	1.97014E-5	1.21614E-1	-1.24068E-1
9.99988E-1	2.27262E-3	1.40285E+1	-1.41701E+1
9.89988E-1	2.26394E-3	1.39749E+1	-1.39748E+1
9.79986E-1	2.25638E-3	1.39283E+1	-1.37874E+1
9.69986E-1	2.26092E-3	1.39563E+1	-1.36742E+1
9.59983E-1	2.25700E-3	1.39321E+1	-1.35097E+1
9.49980E-1	2.24667E-3	1.38683E+1	-1.33077E+1
9.39980E-1	2.24822E-3	1.38779E+1	-1.31767E+1
9.29972E-1	2.24105E-3	1.38336E+1	-1.29948E+1
9.19972E-1	2.24298E-3	1.38456E+1	-1.28662E+1
9.09971E-1	2.24448E-3	1.38548E+1	-1.27348E+1
8.99974E-1	2.23907E-3	1.38214E+1	-1.25646E+1
8.89975E-1	2.24077E-3	1.38319E+1	-1.24344E+1
8.79981E-1	2.23137E-3	1.37739E+1	-1.22432E+1
8.69945E-1	2.23514E-3	1.37972E+1	-1.21240E+1
8.59943E-1	2.23402E-3	1.37902E+1	-1.19786E+1
8.49943E-1	2.23309E-3	1.37845E+1	-1.18344E+1
8.39941E-1	2.23251E-3	1.37809E+1	-1.16921E+1
8.29942E-1	2.23330E-3	1.37858E+1	-1.15570E+1
8.19935E-1	2.22661E-3	1.37445E+1	-1.13834E+1
8.09939E-1	2.22444E-3	1.37311E+1	-1.12337E+1
7.99937E-1	2.22806E-3	1.37535E+1	-1.11130E+1
7.89940E-1	2.22786E-3	1.37522E+1	-1.09732E+1
7.79927E-1	2.22605E-3	1.37410E+1	-1.08253E+1
7.69930E-1	2.22806E-3	1.37535E+1	-1.06962E+1
7.59928E-1	2.22569E-3	1.37388E+1	-1.05460E+1
7.49932E-1	2.22242E-3	1.37186E+1	-1.03920E+1
7.39929E-1	2.22801E-3	1.37531E+1	-1.02791E+1
7.29931E-1	2.22443E-3	1.37310E+1	-1.01240E+1
7.19930E-1	2.22297E-3	1.37220E+1	-9.97869E+0
7.09931E-1	2.22121E-3	1.37112E+1	-9.83231E+0
6.99932E-1	2.21358E-3	1.36641E+1	-9.66053E+0
6.89933E-1	2.21669E-3	1.36833E+1	-9.53590E+0
6.79933E-1	2.21268E-3	1.36585E+1	-9.38068E+0
6.69930E-1	2.21363E-3	1.36644E+1	-9.24665E+0
