Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.00997E+0	7.75336E-7	4.78602E-3	-4.88257E-3
9.99972E-1	7.53991E-7	4.65427E-3	-4.70115E-3
9.89971E-1	7.44526E-7	4.59584E-3	-4.59570E-3
9.79974E-1	7.34944E-7	4.53669E-3	-4.49075E-3
9.69976E-1	7.24094E-7	4.46972E-3	-4.37931E-3
9.59973E-1	7.14199E-7	4.40864E-3	-4.27492E-3
9.49978E-1	7.00597E-7	4.32467E-3	-4.14984E-3
9.39977E-1	6.87482E-7	4.24372E-3	-4.02929E-3
9.29970E-1	6.75578E-7	4.17023E-3	-3.91737E-3
9.19974E-1	6.65467E-7	4.10782E-3	-3.81726E-3
9.09973E-1	6.53444E-7	4.03360E-3	-3.70755E-3
8.99973E-1	6.45061E-7	3.98186E-3	-3.61976E-3
8.89972E-1	6.32285E-7	3.90299E-3	-3.50864E-3
8.79973E-1	6.22636E-7	3.84343E-3	-3.41628E-3
8.69938E-1	6.16326E-7	3.80448E-3	-3.34309E-3
8.59935E-1	6.04129E-7	3.72919E-3	-3.23925E-3
8.49935E-1	5.96357E-7	3.68122E-3	-3.16040E-3
8.39936E-1	5.87680E-7	3.62765E-3	-3.07778E-3
8.29933E-1	5.78627E-7	3.57177E-3	-2.99427E-3
8.19930E-1	5.65627E-7	3.49152E-3	-2.89172E-3
8.09933E-1	5.57739E-7	3.44283E-3	-2.81663E-3
7.99932E-1	5.45056E-7	3.36454E-3	-2.71859E-3
7.89937E-1	5.34777E-7	3.30109E-3	-2.63400E-3
7.79926E-1	5.24309E-7	3.23648E-3	-2.54971E-3
7.69928E-1	5.17353E-7	3.19354E-3	-2.48363E-3
7.59926E-1	5.07251E-7	3.13118E-3	-2.40350E-3
7.49928E-1	4.98492E-7	3.07711E-3	-2.33092E-3
7.39925E-1	4.89517E-7	3.02171E-3	-2.25842E-3
7.29927E-1	4.79264E-7	2.95842E-3	-2.18124E-3
7.19924E-1	4.70185E-7	2.90238E-3	-2.11060E-3
7.09927E-1	4.63172E-7	2.85909E-3	-2.05025E-3
