Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.00997E+0	7.67596E-7	4.73825E-3	-4.83383E-3
9.99984E-1	5.90885E-4	3.64744E+0	-3.68422E+0
9.89985E-1	5.89523E-4	3.63903E+0	-3.63898E+0
9.79983E-1	5.85929E-4	3.61685E+0	-3.58025E+0
9.69987E-1	5.83099E-4	3.59938E+0	-3.52661E+0
9.59983E-1	5.83766E-4	3.60349E+0	-3.49424E+0
9.49983E-1	5.81830E-4	3.59154E+0	-3.44637E+0
9.39986E-1	5.79167E-4	3.57510E+0	-3.39449E+0
9.29976E-1	5.77057E-4	3.56208E+0	-3.34611E+0
9.19980E-1	5.74775E-4	3.54799E+0	-3.29705E+0
9.09978E-1	5.72161E-4	3.53186E+0	-3.24638E+0
8.99977E-1	5.71510E-4	3.52784E+0	-3.20704E+0
8.89977E-1	5.68004E-4	3.50620E+0	-3.15195E+0
8.79978E-1	5.67960E-4	3.50593E+0	-3.11630E+0
8.69941E-1	5.64867E-4	3.48683E+0	-3.06398E+0
8.59944E-1	5.63592E-4	3.47896E+0	-3.02193E+0
8.49944E-1	5.59730E-4	3.45512E+0	-2.96632E+0
8.39945E-1	5.58366E-4	3.44670E+0	-2.92428E+0
8.29948E-1	5.56459E-4	3.43493E+0	-2.87961E+0
8.19942E-1	5.54123E-4	3.42051E+0	-2.83295E+0
8.09949E-1	5.53131E-4	3.41439E+0	-2.79342E+0
7.99949E-1	5.52251E-4	3.40896E+0	-2.75454E+0
7.89951E-1	5.48355E-4	3.38491E+0	-2.70092E+0
7.79944E-1	5.46925E-4	3.37608E+0	-2.65975E+0
7.69942E-1	5.42844E-4	3.35089E+0	-2.60605E+0
7.59945E-1	5.42134E-4	3.34651E+0	-2.56885E+0
7.49945E-1	5.39969E-4	3.33314E+0	-2.52492E+0
7.39941E-1	5.38710E-4	3.32537E+0	-2.48543E+0
7.29938E-1	5.36346E-4	3.31078E+0	-2.44107E+0
7.19939E-1	5.33716E-4	3.29454E+0	-2.39583E+0
7.09940E-1	5.32384E-4	3.28632E+0	-2.35666E+0
6.99941E-1	5.30152E-4	3.27254E+0	-2.31372E+0
6.89939E-1	5.27949E-4	3.25894E+0	-2.27118E+0
6.79941E-1	5.26512E-4	3.25007E+0	-2.23218E+0
6.69939E-1	5.24679E-4	3.23876E+0	-2.19169E+0
6.59939E-1	5.22006E-4	3.22226E+0	-2.14797E+0
6.49940E-1	5.20427E-4	3.21251E+0	-2.10903E+0
6.39943E-1	5.17551E-4	3.19476E+0	-2.06511E+0
6.29939E-1	5.16357E-4	3.18739E+0	-2.02814E+0
6.19935E-1	5.13405E-4	3.16917E+0	-1.98452E+0
6.09937E-1	5.12890E-4	3.16599E+0	-1.95056E+0
5.99936E-1	5.10207E-4	3.14943E+0	-1.90854E+0
5.89935E-1	5.08054E-4	3.13614E+0	-1.86880E+0
5.79937E-1	5.06654E-4	3.12749E+0	-1.83207E+0
5.69940E-1	5.04164E-4	3.11212E+0	-1.79164E+0
5.59939E-1	5.01154E-4	3.09354E+0	-1.74969E+0
5.49939E-1	5.00569E-4	3.08993E+0	-1.71644E+0
5.39940E-1	4.97295E-4	3.06972E+0	-1.67421E+0
5.29941E-1	4.95673E-4	3.05971E+0	-1.63784E+0
5.19936E-1	4.92743E-4	3.04162E+0	-1.59742E+0
5.09937E-1	4.90610E-4	3.02846E+0	-1.55992E+0
4.99939E-1	4.89630E-4	3.02241E+0	-1.52628E+0
4.89932E-1	4.86426E-4	3.00263E+0	-1.48594E+0
4.79931E-1	4.85471E-4	2.99673E+0	-1.45275E+0
4.69935E-1	4.82814E-4	2.98033E+0	-1.41471E+0
4.59936E-1	4.81282E-4	2.97088E+0	-1.38022E+0
4.49931E-1	4.77463E-4	2.94730E+0	-1.33948E+0
4.39933E-1	4.76531E-4	2.94155E+0	-1.30716E+0
4.29933E-1	4.74023E-4	2.92607E+0	-1.27072E+0
4.19934E-1	4.71038E-4	2.90764E+0	-1.23335E+0
4.09935E-1	4.70054E-4	2.90157E+0	-1.20147E+0
3.99936E-1	4.68411E-4	2.89143E+0	-1.16807E+0
3.89938E-1	4.64419E-4	2.86678E+0	-1.12916E+0
3.79933E-1	4.63423E-4	2.86064E+0	-1.09783E+0
3.69937E-1	4.61281E-4	2.84741E+0	-1.06400E+0
3.59937E-1	4.59648E-4	2.83733E+0	-1.03158E+0
3.49936E-1	4.58030E-4	2.82735E+0	-9.99384E-1
3.39930E-1	4.54425E-4	2.80509E+0	-9.63167E-1
3.29931E-1	4.52274E-4	2.79181E+0	-9.30410E-1
3.19931E-1	4.48420E-4	2.76802E+0	-8.94522E-1
3.09930E-1	4.46655E-4	2.75713E+0	-8.63149E-1
2.99929E-1	4.45625E-4	2.75077E+0	-8.33370E-1
2.89923E-1	4.43846E-4	2.73979E+0	-8.02352E-1
