Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.00997E+0	1.63326E-5	1.00819E-1	-1.02852E-1
9.99970E-1	1.60969E-5	9.93636E-2	-1.00364E-1
9.89975E-1	1.58769E-5	9.80056E-2	-9.80031E-2
9.79977E-1	1.56470E-5	9.65864E-2	-9.56086E-2
9.69980E-1	1.54244E-5	9.52123E-2	-9.32869E-2
9.59974E-1	1.51800E-5	9.37037E-2	-9.08617E-2
9.49979E-1	1.49746E-5	9.24358E-2	-8.86991E-2
9.39980E-1	1.47403E-5	9.09895E-2	-8.63922E-2
9.29975E-1	1.45231E-5	8.96488E-2	-8.42132E-2
9.19975E-1	1.43085E-5	8.83241E-2	-8.20767E-2
9.09975E-1	1.40805E-5	8.69167E-2	-7.98909E-2
8.99972E-1	1.38605E-5	8.55586E-2	-7.77782E-2
8.89969E-1	1.36499E-5	8.42586E-2	-7.57450E-2
8.79970E-1	1.34340E-5	8.29259E-2	-7.37094E-2
8.69938E-1	1.32223E-5	8.16191E-2	-7.17208E-2
8.59942E-1	1.30140E-5	8.03333E-2	-6.97798E-2
8.49940E-1	1.27966E-5	7.89914E-2	-6.78161E-2
8.39942E-1	1.25968E-5	7.77580E-2	-6.59720E-2
8.29942E-1	1.23912E-5	7.64889E-2	-6.41226E-2
8.19938E-1	1.21835E-5	7.52068E-2	-6.22878E-2
8.09939E-1	1.19842E-5	7.39765E-2	-6.05217E-2
7.99939E-1	1.17763E-5	7.26932E-2	-5.87375E-2
7.89939E-1	1.15448E-5	7.12642E-2	-5.68630E-2
7.79929E-1	1.13547E-5	7.00907E-2	-5.52180E-2
7.69928E-1	1.11492E-5	6.88222E-2	-5.35234E-2
7.59929E-1	1.09663E-5	6.76932E-2	-5.19616E-2
7.49929E-1	1.07625E-5	6.64352E-2	-5.03249E-2
7.39926E-1	1.05789E-5	6.53019E-2	-4.88066E-2
7.29929E-1	1.03774E-5	6.40580E-2	-4.72301E-2
7.19929E-1	1.01886E-5	6.28926E-2	-4.57356E-2
7.09924E-1	9.98782E-6	6.16532E-2	-4.42112E-2
6.99925E-1	9.79840E-6	6.04840E-2	-4.27618E-2
6.89928E-1	9.61674E-6	5.93626E-2	-4.13696E-2
6.79928E-1	9.42727E-6	5.81930E-2	-3.99667E-2
6.69926E-1	9.24252E-6	5.70526E-2	-3.86071E-2
6.59926E-1	9.05121E-6	5.58717E-2	-3.72436E-2
6.49927E-1	8.87139E-6	5.47617E-2	-3.59506E-2
6.39928E-1	8.68838E-6	5.36320E-2	-3.46673E-2
6.29922E-1	8.50578E-6	5.25048E-2	-3.34080E-2
6.19917E-1	8.32772E-6	5.14057E-2	-3.21891E-2
6.09916E-1	8.15317E-6	5.03282E-2	-3.10060E-2
5.99910E-1	7.98545E-6	4.92929E-2	-2.98700E-2
5.89915E-1	7.80725E-6	4.81929E-2	-2.87169E-2
5.79912E-1	7.64615E-6	4.71985E-2	-2.76474E-2
5.69916E-1	7.47224E-6	4.61249E-2	-2.65529E-2
5.59916E-1	7.29743E-6	4.50459E-2	-2.54767E-2
5.49916E-1	7.13687E-6	4.40548E-2	-2.44711E-2
5.39916E-1	6.97668E-6	4.30659E-2	-2.34869E-2
5.29918E-1	6.80769E-6	4.20228E-2	-2.24936E-2
5.19914E-1	6.63818E-6	4.09764E-2	-2.15194E-2
5.09913E-1	6.46975E-6	3.99367E-2	-2.05700E-2
4.99912E-1	6.31240E-6	3.89654E-2	-1.96760E-2
4.89908E-1	6.15679E-6	3.80049E-2	-1.88070E-2
4.79909E-1	5.99195E-6	3.69873E-2	-1.79299E-2
4.69910E-1	5.84211E-6	3.60624E-2	-1.71173E-2
4.59910E-1	5.68186E-6	3.50732E-2	-1.62935E-2
4.49907E-1	5.52947E-6	3.41325E-2	-1.55116E-2
4.39912E-1	5.37364E-6	3.31706E-2	-1.47395E-2
4.29912E-1	5.21917E-6	3.22171E-2	-1.39904E-2
4.19912E-1	5.07627E-6	3.13350E-2	-1.32909E-2
4.09910E-1	4.91960E-6	3.03679E-2	-1.25738E-2
3.99909E-1	4.77133E-6	2.94527E-2	-1.18974E-2
3.89911E-1	4.62435E-6	2.85454E-2	-1.12426E-2
3.79908E-1	4.48144E-6	2.76632E-2	-1.06156E-2
3.69912E-1	4.33604E-6	2.67657E-2	-1.00010E-2
3.59912E-1	4.19804E-6	2.59138E-2	-9.42091E-3
3.49918E-1	4.05281E-6	2.50173E-2	-8.84244E-3
3.39910E-1	3.91390E-6	2.41599E-2	-8.29513E-3
3.29915E-1	3.77562E-6	2.33063E-2	-7.76676E-3
3.19915E-1	3.64148E-6	2.24783E-2	-7.26377E-3
3.09913E-1	3.50290E-6	2.16228E-2	-6.76889E-3
2.99913E-1	3.37308E-6	2.08215E-2	-6.30771E-3
2.89907E-1	3.24243E-6	2.00150E-2	-5.86110E-3
2.79915E-1	3.10766E-6	1.91831E-2	-5.42387E-3
2.69915E-1	2.97994E-6	1.83947E-2	-5.01515E-3
2.59915E-1	2.85199E-6	1.76049E-2	-4.62199E-3
2.49915E-1	2.73095E-6	1.68577E-2	-4.25555E-3
2.39919E-1	2.60520E-6	1.60815E-2	-3.89723E-3
2.29913E-1	2.48313E-6	1.53280E-2	-3.55969E-3
2.19914E-1	2.36015E-6	1.45688E-2	-3.23625E-3
2.09914E-1	2.24109E-6	1.38339E-2	-2.93326E-3
1.99907E-1	2.11971E-6	1.30846E-2	-2.64213E-3
1.89911E-1	2.00945E-6	1.24040E-2	-2.37945E-3
1.79913E-1	1.89409E-6	1.16919E-2	-2.12477E-3
1.69915E-1	1.78309E-6	1.10067E-2	-1.88910E-3
1.59912E-1	1.67462E-6	1.03372E-2	-1.66973E-3
1.49914E-1	1.56200E-6	9.64198E-3	-1.46007E-3
1.39912E-1	1.45560E-6	8.98519E-3	-1.26983E-3
1.29912E-1	1.34823E-6	8.32241E-3	-1.09210E-3
1.19914E-1	1.24211E-6	7.66735E-3	-9.28709E-4
1.09912E-1	1.13812E-6	7.02543E-3	-7.79979E-4
9.99126E-2	1.03661E-6	6.39883E-3	-6.45781E-4
