Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.01000E+0	3.41206E-6	2.10621E-2	-2.14876E-2
9.99995E-1	3.51435E-3	2.16935E+1	-2.19125E+1
9.89995E-1	3.52146E-3	2.17374E+1	-2.17373E+1
9.79992E-1	3.50945E-3	2.16633E+1	-2.14443E+1
9.69997E-1	3.50999E-3	2.16666E+1	-2.12288E+1
9.59993E-1	3.50191E-3	2.16167E+1	-2.09615E+1
9.49995E-1	3.50370E-3	2.16278E+1	-2.07538E+1
9.39995E-1	3.50401E-3	2.16297E+1	-2.05372E+1
9.29988E-1	3.49968E-3	2.16030E+1	-2.02934E+1
9.19989E-1	3.51018E-3	2.16678E+1	-2.01355E+1
9.09991E-1	3.49865E-3	2.15966E+1	-1.98512E+1
8.99993E-1	3.50511E-3	2.16365E+1	-1.96694E+1
8.89989E-1	3.50613E-3	2.16428E+1	-1.94564E+1
8.79992E-1	3.49409E-3	2.15685E+1	-1.91718E+1
8.69959E-1	3.50089E-3	2.16104E+1	-1.89901E+1
8.59959E-1	3.50234E-3	2.16194E+1	-1.87796E+1
8.49958E-1	3.49230E-3	2.15574E+1	-1.85080E+1
8.39958E-1	3.49790E-3	2.15920E+1	-1.83195E+1
8.29958E-1	3.50152E-3	2.16143E+1	-1.81202E+1
8.19954E-1	3.49153E-3	2.15527E+1	-1.78507E+1
8.09953E-1	3.49828E-3	2.15943E+1	-1.76671E+1
7.99957E-1	3.48373E-3	2.15045E+1	-1.73764E+1
7.89957E-1	3.49057E-3	2.15467E+1	-1.71929E+1
7.79946E-1	3.48922E-3	2.15384E+1	-1.69685E+1
7.69944E-1	3.49138E-3	2.15517E+1	-1.67612E+1
7.59942E-1	3.49491E-3	2.15735E+1	-1.65602E+1
7.49947E-1	3.48852E-3	2.15341E+1	-1.63125E+1
7.39942E-1	3.49062E-3	2.15470E+1	-1.61046E+1
7.29942E-1	3.47601E-3	2.14569E+1	-1.58205E+1
7.19950E-1	3.48562E-3	2.15162E+1	-1.56470E+1
7.09949E-1	3.48344E-3	2.15027E+1	-1.54200E+1
6.99950E-1	3.49331E-3	2.15636E+1	-1.52459E+1
6.89953E-1	3.49045E-3	2.15460E+1	-1.50159E+1
6.79956E-1	3.48647E-3	2.15214E+1	-1.47814E+1
6.69950E-1	3.47935E-3	2.14775E+1	-1.45342E+1
6.59950E-1	3.47419E-3	2.14456E+1	-1.42960E+1
6.49953E-1	3.47706E-3	2.14633E+1	-1.40911E+1
6.39952E-1	3.46699E-3	2.14012E+1	-1.38341E+1
6.29948E-1	3.48141E-3	2.14902E+1	-1.36744E+1
6.19946E-1	3.48163E-3	2.14915E+1	-1.34582E+1
6.09948E-1	3.47200E-3	2.14321E+1	-1.32045E+1
5.99945E-1	3.47573E-3	2.14551E+1	-1.30019E+1
5.89947E-1	3.47482E-3	2.14495E+1	-1.27819E+1
5.79946E-1	3.48484E-3	2.15114E+1	-1.26014E+1
5.69951E-1	3.47728E-3	2.14647E+1	-1.23574E+1
5.59949E-1	3.47576E-3	2.14553E+1	-1.21352E+1
5.49950E-1	3.47000E-3	2.14198E+1	-1.18988E+1
5.39947E-1	3.46586E-3	2.13942E+1	-1.16684E+1
5.29948E-1	3.46818E-3	2.14085E+1	-1.14600E+1
5.19945E-1	3.45421E-3	2.13223E+1	-1.11984E+1
5.09946E-1	3.46695E-3	2.14009E+1	-1.10236E+1
