Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.01000E+0	3.91889E-4	2.41907E+0	-2.49312E+0
1.00000E+0	3.83130E-4	2.36500E+0	-2.41327E+0
9.90003E-1	3.75553E-4	2.31823E+0	-2.34189E+0
9.80005E-1	3.68070E-4	2.27204E+0	-2.27205E+0
9.70006E-1	3.60680E-4	2.22642E+0	-2.20371E+0
9.60004E-1	3.53391E-4	2.18143E+0	-2.13692E+0
9.50005E-1	3.46190E-4	2.13698E+0	-2.07157E+0
9.40008E-1	3.39079E-4	2.09308E+0	-2.00767E+0
9.29995E-1	3.32052E-4	2.04970E+0	-1.94512E+0
9.19997E-1	3.25119E-4	2.00691E+0	-1.88403E+0
9.09998E-1	3.18275E-4	1.96466E+0	-1.82432E+0
9.00001E-1	3.11523E-4	1.92298E+0	-1.76601E+0
8.90000E-1	3.04846E-4	1.88177E+0	-1.70895E+0
8.80004E-1	2.98261E-4	1.84112E+0	-1.65326E+0
8.69970E-1	2.91733E-4	1.80082E+0	-1.59863E+0
8.59971E-1	2.85337E-4	1.76134E+0	-1.54561E+0
8.49970E-1	2.79014E-4	1.72231E+0	-1.49379E+0
8.39969E-1	2.72768E-4	1.68375E+0	-1.44316E+0
8.29969E-1	2.66611E-4	1.64575E+0	-1.39379E+0
8.19966E-1	2.60533E-4	1.60823E+0	-1.34560E+0
8.09965E-1	2.54543E-4	1.57125E+0	-1.29863E+0
7.99964E-1	2.48629E-4	1.53475E+0	-1.25280E+0
7.89964E-1	2.42798E-4	1.49875E+0	-1.20812E+0
7.79958E-1	2.37039E-4	1.46320E+0	-1.16453E+0
7.69957E-1	2.31382E-4	1.42828E+0	-1.12216E+0
7.59957E-1	2.25798E-4	1.39381E+0	-1.08086E+0
7.49959E-1	2.20298E-4	1.35986E+0	-1.04066E+0
7.39954E-1	2.14871E-4	1.32636E+0	-1.00148E+0
7.29953E-1	2.09525E-4	1.29336E+0	-9.63362E-1
7.19954E-1	2.04262E-4	1.26088E+0	-9.26299E-1
7.09960E-1	1.99075E-4	1.22886E+0	-8.90245E-1
6.99960E-1	1.93970E-4	1.19735E+0	-8.55198E-1
6.89962E-1	1.88935E-4	1.16627E+0	-8.21101E-1
6.79959E-1	1.83974E-4	1.13564E+0	-7.87949E-1
6.69953E-1	1.79091E-4	1.10550E+0	-7.55748E-1
6.59953E-1	1.74287E-4	1.07585E+0	-7.24498E-1
6.49954E-1	1.69555E-4	1.04664E+0	-6.94148E-1
6.39957E-1	1.64906E-4	1.01794E+0	-6.64731E-1
6.29950E-1	1.60319E-4	9.89623E-1	-6.36136E-1
6.19951E-1	1.55817E-4	9.61833E-1	-6.08459E-1
6.09951E-1	1.51383E-4	9.34463E-1	-5.81609E-1
5.99952E-1	1.47024E-4	9.07556E-1	-5.55602E-1
5.89952E-1	1.42741E-4	8.81117E-1	-5.30425E-1
5.79951E-1	1.38523E-4	8.55080E-1	-5.06025E-1
5.69955E-1	1.34384E-4	8.29531E-1	-4.82444E-1
5.59955E-1	1.30309E-4	8.04377E-1	-4.59607E-1
5.49956E-1	1.26309E-4	7.79685E-1	-4.37543E-1
5.39957E-1	1.22384E-4	7.55457E-1	-4.16239E-1
5.29956E-1	1.18524E-4	7.31630E-1	-3.95644E-1
5.19948E-1	1.14733E-4	7.08228E-1	-3.75757E-1
5.09951E-1	1.11013E-4	6.85265E-1	-3.56583E-1
4.99951E-1	1.07361E-4	6.62722E-1	-3.38090E-1
4.89946E-1	1.03776E-4	6.40593E-1	-3.20261E-1
4.79949E-1	1.00261E-4	6.18895E-1	-3.03100E-1
4.69943E-1	9.68275E-5	5.97701E-1	-2.86618E-1
4.59945E-1	9.34333E-5	5.76749E-1	-2.70686E-1
4.49943E-1	9.01150E-5	5.56265E-1	-2.55396E-1
4.39946E-1	8.68653E-5	5.36206E-1	-2.40716E-1
4.29946E-1	8.36816E-5	5.16553E-1	-2.26622E-1
4.19948E-1	8.05612E-5	4.97291E-1	-2.13098E-1
4.09949E-1	7.75069E-5	4.78438E-1	-2.00138E-1
3.99950E-1	7.45160E-5	4.59975E-1	-1.87722E-1
3.89954E-1	7.15906E-5	4.41917E-1	-1.75844E-1
3.79950E-1	6.87234E-5	4.24219E-1	-1.64471E-1
3.69949E-1	6.59202E-5	4.06915E-1	-1.53610E-1
