Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.01000E+0	1.21386E-2	7.49296E+1	-7.72234E+1
1.00001E+0	1.46703E-2	9.05574E+1	-9.24064E+1
9.90012E-1	1.45241E-2	8.96549E+1	-9.05709E+1
9.80011E-1	1.43741E-2	8.87290E+1	-8.87300E+1
9.70013E-1	1.42295E-2	8.78364E+1	-8.69413E+1
9.60011E-1	1.40859E-2	8.69500E+1	-8.51765E+1
9.50011E-1	1.39413E-2	8.60574E+1	-8.34240E+1
9.40009E-1	1.37933E-2	8.51438E+1	-8.16694E+1
9.30001E-1	1.36479E-2	8.42463E+1	-7.99481E+1
9.20004E-1	1.35013E-2	8.33414E+1	-7.82392E+1
9.10002E-1	1.33541E-2	8.24327E+1	-7.65448E+1
9.00001E-1	1.32084E-2	8.15333E+1	-7.48776E+1
8.89998E-1	1.30687E-2	8.06710E+1	-7.32623E+1
8.80001E-1	1.29256E-2	7.97877E+1	-7.16461E+1
8.69965E-1	1.27785E-2	7.88796E+1	-7.00230E+1
8.59970E-1	1.26401E-2	7.80253E+1	-6.84688E+1
8.49970E-1	1.24989E-2	7.71537E+1	-6.69167E+1
8.39970E-1	1.23563E-2	7.62735E+1	-6.53749E+1
8.29970E-1	1.22117E-2	7.53809E+1	-6.38407E+1
8.19968E-1	1.20722E-2	7.45198E+1	-6.23508E+1
8.09973E-1	1.19309E-2	7.36475E+1	-6.08699E+1
7.99972E-1	1.17879E-2	7.27648E+1	-5.93978E+1
7.89975E-1	1.16449E-2	7.18821E+1	-5.79439E+1
7.79966E-1	1.15064E-2	7.10272E+1	-5.65294E+1
7.69971E-1	1.13640E-2	7.01481E+1	-5.51143E+1
7.59971E-1	1.12288E-2	6.93136E+1	-5.37513E+1
7.49972E-1	1.10933E-2	6.84772E+1	-5.24040E+1
7.39965E-1	1.09525E-2	6.76080E+1	-5.10485E+1
7.29966E-1	1.08115E-2	6.67377E+1	-4.97104E+1
7.19966E-1	1.06746E-2	6.58926E+1	-4.84086E+1
7.09968E-1	1.05412E-2	6.50691E+1	-4.71398E+1
6.99967E-1	1.04088E-2	6.42519E+1	-4.58920E+1
6.89966E-1	1.02662E-2	6.33716E+1	-4.46166E+1
6.79961E-1	1.01272E-2	6.25136E+1	-4.33743E+1
6.69955E-1	9.99471E-3	6.16957E+1	-4.21769E+1
6.59960E-1	9.86237E-3	6.08788E+1	-4.09975E+1
6.49960E-1	9.72724E-3	6.00447E+1	-3.98231E+1
6.39958E-1	9.58877E-3	5.91899E+1	-3.86521E+1
6.29953E-1	9.45332E-3	5.83538E+1	-3.75104E+1
6.19955E-1	9.32280E-3	5.75481E+1	-3.64054E+1
6.09956E-1	9.19054E-3	5.67317E+1	-3.53101E+1
5.99953E-1	9.05573E-3	5.58996E+1	-3.42215E+1
5.89953E-1	8.92056E-3	5.50652E+1	-3.31488E+1
5.79956E-1	8.78919E-3	5.42543E+1	-3.21072E+1
5.69952E-1	8.66177E-3	5.34677E+1	-3.10960E+1
5.59955E-1	8.52685E-3	5.26349E+1	-3.00747E+1
5.49956E-1	8.39335E-3	5.18108E+1	-2.90752E+1
5.39955E-1	8.26473E-3	5.10169E+1	-2.81090E+1
5.29957E-1	8.13657E-3	5.02257E+1	-2.71607E+1
5.19953E-1	8.00512E-3	4.94143E+1	-2.62175E+1
5.09953E-1	7.87357E-3	4.86023E+1	-2.52907E+1
4.99954E-1	7.74390E-3	4.78019E+1	-2.43865E+1
4.89948E-1	7.62108E-3	4.70437E+1	-2.35194E+1
4.79949E-1	7.49404E-3	4.62595E+1	-2.26553E+1
4.69950E-1	7.35953E-3	4.54292E+1	-2.17852E+1
4.59950E-1	7.23259E-3	4.46456E+1	-2.09538E+1
4.49948E-1	7.10556E-3	4.38615E+1	-2.01381E+1
4.39952E-1	6.97725E-3	4.30694E+1	-1.93352E+1
