Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.01001E+0	6.59371E-3	4.07019E+1	-4.19483E+1
1.00001E+0	9.03000E-3	5.57407E+1	-5.68789E+1
9.90014E-1	8.98335E-3	5.54528E+1	-5.60194E+1
9.80014E-1	8.94067E-3	5.51893E+1	-5.51901E+1
9.70017E-1	8.90155E-3	5.49478E+1	-5.43881E+1
9.60009E-1	8.85012E-3	5.46304E+1	-5.35160E+1
9.50012E-1	8.79296E-3	5.42775E+1	-5.26166E+1
9.40011E-1	8.74304E-3	5.39694E+1	-5.17672E+1
9.30002E-1	8.68730E-3	5.36253E+1	-5.08894E+1
9.20002E-1	8.62759E-3	5.32567E+1	-4.99962E+1
9.10006E-1	8.57616E-3	5.29393E+1	-4.91582E+1
9.00006E-1	8.52405E-3	5.26176E+1	-4.83226E+1
8.90003E-1	8.46041E-3	5.22248E+1	-4.74288E+1
8.80006E-1	8.39600E-3	5.18272E+1	-4.65390E+1
8.69968E-1	8.33607E-3	5.14572E+1	-4.56797E+1
8.59970E-1	8.28317E-3	5.11307E+1	-4.48682E+1
8.49972E-1	8.21760E-3	5.07259E+1	-4.39955E+1
8.39974E-1	8.15575E-3	5.03441E+1	-4.31508E+1
8.29970E-1	8.09153E-3	4.99477E+1	-4.23011E+1
8.19965E-1	8.01817E-3	4.94949E+1	-4.14123E+1
8.09968E-1	7.95172E-3	4.90847E+1	-4.05684E+1
7.99970E-1	7.88753E-3	4.86885E+1	-3.97442E+1
7.89970E-1	7.82171E-3	4.82822E+1	-3.89199E+1
7.79962E-1	7.75029E-3	4.78413E+1	-3.80759E+1
7.69962E-1	7.68053E-3	4.74107E+1	-3.72494E+1
7.59965E-1	7.61595E-3	4.70120E+1	-3.64566E+1
7.49965E-1	7.54871E-3	4.65970E+1	-3.56593E+1
7.39957E-1	7.47743E-3	4.61570E+1	-3.48512E+1
7.29957E-1	7.40724E-3	4.57237E+1	-3.40575E+1
7.19958E-1	7.33906E-3	4.53028E+1	-3.32818E+1
7.09960E-1	7.27045E-3	4.48793E+1	-3.25128E+1
6.99963E-1	7.19663E-3	4.44236E+1	-3.17295E+1
6.89960E-1	7.12376E-3	4.39738E+1	-3.09594E+1
6.79960E-1	7.05242E-3	4.35335E+1	-3.02051E+1
6.69955E-1	6.98199E-3	4.30987E+1	-2.94635E+1
6.59957E-1	6.91178E-3	4.26653E+1	-2.87319E+1
6.49954E-1	6.83540E-3	4.21938E+1	-2.79837E+1
6.39967E-1	6.75912E-3	4.17230E+1	-2.72462E+1
6.29960E-1	6.68815E-3	4.12849E+1	-2.65386E+1
6.19961E-1	6.61830E-3	4.08537E+1	-2.58446E+1
6.09960E-1	6.53852E-3	4.03612E+1	-2.51212E+1
5.99962E-1	6.46316E-3	3.98960E+1	-2.44246E+1
5.89962E-1	6.38951E-3	3.94414E+1	-2.37438E+1
5.79954E-1	6.31405E-3	3.89756E+1	-2.30654E+1
5.69957E-1	6.23712E-3	3.85007E+1	-2.23916E+1
5.59957E-1	6.16318E-3	3.80443E+1	-2.17379E+1
5.49958E-1	6.09180E-3	3.76037E+1	-2.11025E+1
5.39958E-1	6.02187E-3	3.71720E+1	-2.04810E+1
5.29961E-1	5.94650E-3	3.67068E+1	-1.98502E+1
5.19953E-1	5.86649E-3	3.62129E+1	-1.92133E+1
5.09954E-1	5.79618E-3	3.57789E+1	-1.86179E+1
4.99958E-1	5.71918E-3	3.53036E+1	-1.80105E+1
4.89951E-1	5.64042E-3	3.48174E+1	-1.74070E+1
4.79950E-1	5.56107E-3	3.43276E+1	-1.68118E+1
4.69954E-1	5.48212E-3	3.38402E+1	-1.62279E+1
4.59959E-1	5.40937E-3	3.33912E+1	-1.56720E+1
4.49953E-1	5.33242E-3	3.29162E+1	-1.51130E+1
4.39960E-1	5.25037E-3	3.24097E+1	-1.45500E+1
4.29959E-1	5.17314E-3	3.19330E+1	-1.40101E+1
4.19960E-1	5.09751E-3	3.14661E+1	-1.34842E+1
4.09963E-1	5.01495E-3	3.09565E+1	-1.29500E+1
3.99960E-1	4.93459E-3	3.04604E+1	-1.24316E+1
3.89961E-1	4.86385E-3	3.00238E+1	-1.19470E+1
3.79957E-1	4.78800E-3	2.95556E+1	-1.14590E+1
3.69954E-1	4.70741E-3	2.90581E+1	-1.09695E+1
3.59956E-1	4.62392E-3	2.85427E+1	-1.04838E+1
3.49958E-1	4.54428E-3	2.80511E+1	-1.00171E+1
3.39950E-1	4.46599E-3	2.75678E+1	-9.56295E+0
3.29954E-1	4.38346E-3	2.70584E+1	-9.11023E+0
3.19949E-1	4.29914E-3	2.65379E+1	-8.66406E+0
3.09949E-1	4.21326E-3	2.60078E+1	-8.22560E+0
2.99947E-1	4.13431E-3	2.55204E+1	-7.81100E+0
2.89952E-1	4.04787E-3	2.49869E+1	-7.39284E+0
2.79952E-1	3.96309E-3	2.44635E+1	-6.98838E+0
2.69955E-1	3.87787E-3	2.39375E+1	-6.59392E+0
2.59956E-1	3.79090E-3	2.34006E+1	-6.20728E+0
2.49956E-1	3.70164E-3	2.28496E+1	-5.82796E+0
2.39959E-1	3.61297E-3	2.23023E+1	-5.46085E+0
2.29956E-1	3.52391E-3	2.17525E+1	-5.10421E+0
2.19956E-1	3.43159E-3	2.11827E+1	-4.75434E+0
2.09955E-1	3.33451E-3	2.05834E+1	-4.40978E+0
1.99955E-1	3.23485E-3	1.99682E+1	-4.07423E+0
1.89954E-1	3.13891E-3	1.93760E+1	-3.75566E+0
1.79954E-1	3.03902E-3	1.87594E+1	-3.44472E+0
1.69957E-1	2.92922E-3	1.80816E+1	-3.13581E+0
1.59953E-1	2.82145E-3	1.74164E+1	-2.84265E+0
1.49955E-1	2.71035E-3	1.67306E+1	-2.56003E+0
1.39955E-1	2.59586E-3	1.60238E+1	-2.28838E+0
1.29955E-1	2.47404E-3	1.52719E+1	-2.02516E+0
1.19956E-1	2.34778E-3	1.44925E+1	-1.77394E+0
1.09960E-1	2.21908E-3	1.36980E+1	-1.53697E+0
9.99560E-2	2.08329E-3	1.28598E+1	-1.31165E+0
8.99510E-2	1.94138E-3	1.19838E+1	-1.09996E+0
7.99522E-2	1.79682E-3	1.10915E+1	-9.04886E-1
6.99537E-2	1.64821E-3	1.01741E+1	-7.26243E-1
5.99546E-2	1.49281E-3	9.21488E+0	-5.63749E-1
4.99480E-2	1.32851E-3	8.20068E+0	-4.17967E-1
3.99549E-2	1.16115E-3	7.16759E+0	-2.92225E-1
2.99454E-2	9.90166E-4	6.11214E+0	-1.86766E-1
1.99497E-2	8.14007E-4	5.02473E+0	-1.02288E-1
9.94778E-3	6.32870E-4	3.90660E+0	-3.96551E-2
-4.86374E-5	4.46774E-4	2.75786E+0	1.36873E-4
-9.92990E-3	2.58155E-4	1.59355E+0	1.61467E-2
-1.99335E-2	6.32788E-5	3.90610E-1	7.94512E-3
-2.99349E-2	-1.34448E-4	-8.29926E-1	-2.53508E-2
-3.99330E-2	-3.35689E-4	-2.07215E+0	-8.44361E-2
-4.99339E-2	-5.40453E-4	-3.33613E+0	-1.69986E-1
-5.99384E-2	-7.47949E-4	-4.61697E+0	-2.82381E-1
-6.99389E-2	-9.57934E-4	-5.91317E+0	-4.22001E-1
-7.99365E-2	-1.17047E-3	-7.22512E+0	-5.89338E-1
-8.99315E-2	-1.38463E-3	-8.54710E+0	-7.84340E-1
-9.99391E-2	-1.60069E-3	-9.88080E+0	-1.00763E+0
-1.09939E-1	-1.81690E-3	-1.12154E+1	-1.25818E+0
-1.19943E-1	-2.03477E-3	-1.25603E+1	-1.53727E+0
-1.29942E-1	-2.25324E-3	-1.39089E+1	-1.84423E+0
-1.39935E-1	-2.47297E-3	-1.52652E+1	-2.17974E+0
-1.49934E-1	-2.69044E-3	-1.66077E+1	-2.54087E+0
-1.59933E-1	-2.90886E-3	-1.79559E+1	-2.93035E+0
-1.69939E-1	-3.12942E-3	-1.93174E+1	-3.34978E+0
-1.79936E-1	-3.34841E-3	-2.06692E+1	-3.79503E+0
-1.89939E-1	-3.56458E-3	-2.20036E+1	-4.26463E+0
-1.99934E-1	-3.77954E-3	-2.33305E+1	-4.75975E+0
-2.09940E-1	-3.99718E-3	-2.46740E+1	-5.28576E+0
-2.19941E-1	-4.21322E-3	-2.60075E+1	-5.83686E+0
-2.29941E-1	-4.42711E-3	-2.73278E+1	-6.41203E+0
-2.39944E-1	-4.63805E-3	-2.86299E+1	-7.00978E+0
-2.49945E-1	-4.85118E-3	-2.99456E+1	-7.63749E+0
-2.59947E-1	-5.05838E-3	-3.12246E+1	-8.28238E+0
-2.69946E-1	-5.26579E-3	-3.25049E+1	-8.95363E+0
-2.79948E-1	-5.47144E-3	-3.37743E+1	-9.64801E+0
-2.89943E-1	-5.67852E-3	-3.50526E+1	-1.03707E+1
-2.99942E-1	-5.88228E-3	-3.63104E+1	-1.11133E+1
-3.09939E-1	-6.08216E-3	-3.75442E+1	-1.18739E+1
-3.19944E-1	-6.27909E-3	-3.87598E+1	-1.26541E+1
-3.29943E-1	-6.47402E-3	-3.99631E+1	-1.34546E+1
-3.39941E-1	-6.67501E-3	-4.12038E+1	-1.42927E+1
-3.49946E-1	-6.86977E-3	-4.24060E+1	-1.51427E+1
