name,channel,pce,jsc,voc,ff
1_01B,A,9.268,22.007,0.86,0.49
1_01B,B,13.183,23.909,0.84,0.656
1_01B,C,0.042,0.066,0.836,0.751
1_01B,D,12.295,22.27,0.84,0.657
1_01B,E,12.333,22.193,0.84,0.662
1_01B,F,12.767,21.31,0.83,0.722
1_02B,A,12.987,22.816,0.84,0.678
1_02B,B,0.008,0.022,0.919,0.411
1_02B,C,0.045,0.105,0.836,0.517
1_02B,D,11.196,21.295,0.84,0.626
1_02B,E,12.321,21.796,0.83,0.681
1_02B,F,12.944,21.964,0.83,0.71
1_03B,A,3.306,15.606,0.86,0.246
1_03B,B,7.07,17.854,0.86,0.46
1_03B,C,5.523,17.409,0.73,0.435
1_03B,D,7.178,16.539,0.86,0.505
1_03B,E,6.479,16.334,0.85,0.467
1_03B,F,5.917,16.114,0.85,0.432
1_04B,A,0.999,7.975,0.84,0.149
1_04B,B,1.012,9.435,0.83,0.129
1_04B,C,0.047,0.065,0.825,0.887
1_04B,D,0.518,6.078,0.81,0.105
1_04B,E,0.981,9.03,0.83,0.131
1_04B,F,0.792,7.536,0.84,0.125
1_22A,A,10.03,17.487,0.86,0.667
1_22A,B,11.839,19.828,0.85,0.702
1_22A,C,12.249,19.94,0.85,0.723
1_22A,D,9.993,16.907,0.85,0.695
1_22A,E,10.468,17.277,0.85,0.713
1_22A,F,10.333,16.787,0.85,0.724
1_23A,A,8.256,21.852,0.78,0.484
1_23A,B,8.777,21.918,0.8,0.501
1_23A,C,16.979,0.196,0.817,105.934
1_23A,D,-0.0,0.018,0.38,0.029
1_23A,E,8.148,20.51,0.79,0.503
1_23A,F,0.001,0.003,0.93,0.495
1_24A,A,6.285,20.211,0.76,0.409
1_24A,B,8.128,21.454,0.83,0.456
1_24A,C,8.637,22.324,0.82,0.472
1_24A,D,0.0,0.0,0.94,0.612
1_24A,E,4.393,20.959,0.55,0.381
1_24A,F,6.631,21.877,0.72,0.421
1_25A,A,10.545,21.392,0.82,0.601
1_25A,B,-0.038,21.865,0.98,0.002
1_25A,C,7.66,0.301,0.82,31.088
1_25A,D,0.696,0.399,0.82,2.128
1_25A,E,0.042,0.066,0.868,0.735
1_25A,F,11.674,23.211,0.82,0.613
