Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.01002E+0	3.48680E-6	2.15235E-2	-2.17391E-2
1.00003E+0	3.71724E-3	2.29459E+1	-2.29466E+1
9.90031E-1	3.71192E-3	2.29131E+1	-2.26847E+1
9.80028E-1	3.72097E-3	2.29690E+1	-2.25102E+1
9.70032E-1	3.71137E-3	2.29097E+1	-2.22231E+1
9.60030E-1	3.71488E-3	2.29314E+1	-2.20148E+1
9.50030E-1	3.72077E-3	2.29677E+1	-2.18200E+1
9.40032E-1	3.69898E-3	2.28332E+1	-2.14639E+1
9.30026E-1	3.69137E-3	2.27862E+1	-2.11918E+1
9.20027E-1	3.70434E-3	2.28663E+1	-2.10376E+1
9.10028E-1	3.69619E-3	2.28160E+1	-2.07632E+1
9.00028E-1	3.69461E-3	2.28062E+1	-2.05262E+1
8.90030E-1	3.70070E-3	2.28438E+1	-2.03317E+1
8.80031E-1	3.70085E-3	2.28448E+1	-2.01041E+1
8.69994E-1	3.70114E-3	2.28465E+1	-1.98764E+1
8.59996E-1	3.70852E-3	2.28921E+1	-1.96871E+1
8.49997E-1	3.70370E-3	2.28623E+1	-1.94329E+1
8.39996E-1	3.69877E-3	2.28319E+1	-1.91787E+1
8.29996E-1	3.70430E-3	2.28660E+1	-1.89787E+1
8.19991E-1	3.69200E-3	2.27901E+1	-1.86877E+1
8.09993E-1	3.68630E-3	2.27549E+1	-1.84313E+1
7.99993E-1	3.69904E-3	2.28336E+1	-1.82667E+1
7.89995E-1	3.69538E-3	2.28110E+1	-1.80206E+1
7.79987E-1	3.69352E-3	2.27995E+1	-1.77833E+1
7.69987E-1	3.69517E-3	2.28097E+1	-1.75632E+1
7.59988E-1	3.68924E-3	2.27731E+1	-1.73073E+1
7.49988E-1	3.69477E-3	2.28072E+1	-1.71051E+1
7.39989E-1	3.68225E-3	2.27299E+1	-1.68199E+1
7.29994E-1	3.69415E-3	2.28034E+1	-1.66463E+1
7.19995E-1	3.68751E-3	2.27624E+1	-1.63888E+1
7.09997E-1	3.68726E-3	2.27609E+1	-1.61601E+1
6.99995E-1	3.70151E-3	2.28488E+1	-1.59941E+1
6.89995E-1	3.69490E-3	2.28080E+1	-1.57374E+1
6.80000E-1	3.68815E-3	2.27664E+1	-1.54811E+1
6.69992E-1	3.69263E-3	2.27940E+1	-1.52718E+1
6.59991E-1	3.69200E-3	2.27901E+1	-1.50413E+1
6.49993E-1	3.68025E-3	2.27176E+1	-1.47663E+1
6.39994E-1	3.68768E-3	2.27635E+1	-1.45685E+1
6.29990E-1	3.67915E-3	2.27108E+1	-1.43076E+1
6.19988E-1	3.68004E-3	2.27163E+1	-1.40838E+1
6.09991E-1	3.67788E-3	2.27030E+1	-1.38486E+1
5.99989E-1	3.66246E-3	2.26078E+1	-1.35644E+1
5.89990E-1	3.67460E-3	2.26827E+1	-1.33826E+1
5.79991E-1	3.67047E-3	2.26572E+1	-1.31410E+1
5.69992E-1	3.66684E-3	2.26348E+1	-1.29017E+1
5.59991E-1	3.67498E-3	2.26851E+1	-1.27034E+1
5.49992E-1	3.66451E-3	2.26204E+1	-1.24411E+1
5.39988E-1	3.65750E-3	2.25772E+1	-1.21914E+1
5.29989E-1	3.67296E-3	2.26726E+1	-1.20162E+1
5.19983E-1	3.66374E-3	2.26157E+1	-1.17598E+1
5.09983E-1	3.66789E-3	2.26413E+1	-1.15467E+1
4.99983E-1	3.66072E-3	2.25970E+1	-1.12981E+1
4.89981E-1	3.65183E-3	2.25422E+1	-1.10452E+1
4.79984E-1	3.66460E-3	2.26210E+1	-1.08577E+1
4.69981E-1	3.65518E-3	2.25628E+1	-1.06041E+1
4.59983E-1	3.66621E-3	2.26309E+1	-1.04098E+1
4.49977E-1	3.66110E-3	2.25994E+1	-1.01692E+1
4.39977E-1	3.65569E-3	2.25660E+1	-9.92852E+0
4.29976E-1	3.65471E-3	2.25599E+1	-9.70023E+0
4.19980E-1	3.65492E-3	2.25612E+1	-9.47527E+0
4.09983E-1	3.64932E-3	2.25267E+1	-9.23555E+0
3.99984E-1	3.64148E-3	2.24783E+1	-8.99095E+0
3.89983E-1	3.64801E-3	2.25186E+1	-8.78186E+0
3.79980E-1	3.65473E-3	2.25601E+1	-8.57237E+0
3.69980E-1	3.64104E-3	2.24756E+1	-8.31551E+0
3.59983E-1	3.64998E-3	2.25307E+1	-8.11068E+0
3.49985E-1	3.63297E-3	2.24257E+1	-7.84867E+0
3.39977E-1	3.63854E-3	2.24601E+1	-7.63593E+0
3.29983E-1	3.64733E-3	2.25144E+1	-7.42936E+0
3.19979E-1	3.63545E-3	2.24410E+1	-7.18066E+0
3.09980E-1	3.64594E-3	2.25058E+1	-6.97635E+0
2.99978E-1	3.64404E-3	2.24941E+1	-6.74773E+0
2.89979E-1	3.63189E-3	2.24191E+1	-6.50106E+0
2.79982E-1	3.62134E-3	2.23540E+1	-6.25870E+0
2.69980E-1	3.62249E-3	2.23610E+1	-6.03704E+0
2.59983E-1	3.62782E-3	2.23940E+1	-5.82205E+0
2.49985E-1	3.62327E-3	2.23659E+1	-5.59113E+0
2.39984E-1	3.62772E-3	2.23933E+1	-5.37404E+0
2.29978E-1	3.63432E-3	2.24341E+1	-5.15934E+0
2.19979E-1	3.62959E-3	2.24049E+1	-4.92860E+0
2.09977E-1	3.62544E-3	2.23793E+1	-4.69913E+0
1.99969E-1	3.62966E-3	2.24053E+1	-4.48037E+0
1.89973E-1	3.61544E-3	2.23175E+1	-4.23973E+0
1.79971E-1	3.62676E-3	2.23874E+1	-4.02908E+0
1.69973E-1	3.63065E-3	2.24114E+1	-3.80934E+0
1.59974E-1	3.61636E-3	2.23232E+1	-3.57113E+0
1.49976E-1	3.60945E-3	2.22806E+1	-3.34155E+0
1.39975E-1	3.61537E-3	2.23171E+1	-3.12384E+0
1.29976E-1	3.61440E-3	2.23111E+1	-2.89991E+0
1.19977E-1	3.60854E-3	2.22749E+1	-2.67248E+0
1.09980E-1	3.61976E-3	2.23442E+1	-2.45741E+0
9.99777E-2	3.61524E-3	2.23163E+1	-2.23113E+0
8.99739E-2	3.61888E-3	2.23388E+1	-2.00991E+0
7.99737E-2	3.61029E-3	2.22857E+1	-1.78227E+0
6.99744E-2	3.59955E-3	2.22194E+1	-1.55479E+0
5.99780E-2	3.61179E-3	2.22950E+1	-1.33721E+0
4.99699E-2	3.60640E-3	2.22617E+1	-1.11242E+0
3.99699E-2	3.60355E-3	2.22441E+1	-8.89096E-1
2.99711E-2	3.61106E-3	2.22905E+1	-6.68071E-1
1.99685E-2	3.61100E-3	2.22901E+1	-4.45100E-1
9.96995E-3	3.59590E-3	2.21969E+1	-2.21302E-1
-3.05176E-5	3.59406E-3	2.21856E+1	6.77050E-4
-9.91988E-3	3.59029E-3	2.21623E+1	2.19847E-1
-1.99227E-2	3.58300E-3	2.21173E+1	4.40636E-1
-2.99218E-2	3.58546E-3	2.21325E+1	6.62243E-1
-3.99239E-2	3.58658E-3	2.21394E+1	8.83891E-1
-4.99232E-2	3.57877E-3	2.20912E+1	1.10286E+0
-5.99222E-2	3.57689E-3	2.20796E+1	1.32306E+0
-6.99205E-2	3.58355E-3	2.21207E+1	1.54669E+0
-7.99243E-2	3.56986E-3	2.20362E+1	1.76123E+0
-8.99200E-2	3.56640E-3	2.20148E+1	1.97957E+0
-9.99269E-2	3.57606E-3	2.20744E+1	2.20583E+0
-1.09923E-1	3.57261E-3	2.20531E+1	2.42415E+0
-1.19925E-1	3.56472E-3	2.20044E+1	2.63888E+0
-1.29925E-1	3.57635E-3	2.20762E+1	2.86825E+0
-1.39923E-1	3.56402E-3	2.20001E+1	3.07832E+0
-1.49924E-1	3.56256E-3	2.19911E+1	3.29700E+0
-1.59920E-1	3.55852E-3	2.19662E+1	3.51283E+0
-1.69921E-1	3.55328E-3	2.19338E+1	3.72702E+0
-1.79920E-1	3.55675E-3	2.19552E+1	3.95019E+0
-1.89924E-1	3.53760E-3	2.18370E+1	4.14738E+0
-1.99924E-1	3.54388E-3	2.18758E+1	4.37350E+0
-2.09933E-1	3.53522E-3	2.18223E+1	4.58123E+0
-2.19929E-1	3.52878E-3	2.17826E+1	4.79062E+0
-2.29931E-1	3.53140E-3	2.17988E+1	5.01221E+0
-2.39934E-1	3.52761E-3	2.17754E+1	5.22465E+0
-2.49935E-1	3.50945E-3	2.16633E+1	5.41441E+0
-2.59933E-1	3.52036E-3	2.17306E+1	5.64850E+0
-2.69934E-1	3.50597E-3	2.16418E+1	5.84185E+0
-2.79933E-1	3.51303E-3	2.16854E+1	6.07045E+0
-2.89931E-1	3.50332E-3	2.16254E+1	6.26988E+0
-2.99930E-1	3.49704E-3	2.15867E+1	6.47449E+0
-3.09931E-1	3.50031E-3	2.16069E+1	6.69663E+0
-3.19932E-1	3.48737E-3	2.15270E+1	6.88717E+0
-3.29932E-1	3.47675E-3	2.14614E+1	7.08081E+0
-3.39928E-1	3.47830E-3	2.14710E+1	7.29859E+0
-3.49936E-1	3.46514E-3	2.13898E+1	7.48504E+0
-3.59935E-1	3.44848E-3	2.12869E+1	7.66191E+0
-3.69932E-1	3.45429E-3	2.13228E+1	7.88798E+0
-3.79931E-1	3.43634E-3	2.12120E+1	8.05909E+0
-3.89938E-1	3.42998E-3	2.11727E+1	8.25605E+0
-3.99934E-1	3.42459E-3	2.11394E+1	8.45438E+0
-4.09932E-1	3.41229E-3	2.10635E+1	8.63461E+0
-4.19929E-1	3.41072E-3	2.10538E+1	8.84111E+0
-4.29929E-1	3.38887E-3	2.09190E+1	8.99366E+0
-4.39930E-1	3.37925E-3	2.08596E+1	9.17675E+0
-4.49926E-1	3.35807E-3	2.07288E+1	9.32644E+0
-4.59931E-1	3.34769E-3	2.06648E+1	9.50436E+0
-4.69930E-1	3.34560E-3	2.06519E+1	9.70492E+0
-4.79929E-1	3.32720E-3	2.05383E+1	9.85691E+0
-4.89928E-1	3.30299E-3	2.03888E+1	9.98906E+0
-4.99939E-1	3.29532E-3	2.03415E+1	1.01695E+1
-5.09935E-1	3.27404E-3	2.02101E+1	1.03058E+1
-5.19937E-1	3.26127E-3	2.01313E+1	1.04670E+1
-5.29934E-1	3.23470E-3	1.99673E+1	1.05813E+1
-5.39939E-1	3.19433E-3	1.97181E+1	1.06466E+1
-5.49941E-1	3.19221E-3	1.97050E+1	1.08366E+1
-5.59937E-1	3.16454E-3	1.95342E+1	1.09379E+1
-5.69934E-1	3.12687E-3	1.93017E+1	1.10007E+1
-5.79933E-1	3.09711E-3	1.91180E+1	1.10871E+1
-5.89936E-1	3.05744E-3	1.88731E+1	1.11339E+1
-5.99935E-1	3.01666E-3	1.86214E+1	1.11716E+1
-6.09936E-1	2.97731E-3	1.83785E+1	1.12097E+1
-6.19937E-1	2.93330E-3	1.81068E+1	1.12251E+1
-6.29933E-1	2.87570E-3	1.77512E+1	1.11821E+1
-6.39964E-1	2.82344E-3	1.74286E+1	1.11537E+1
-6.49971E-1	2.74953E-3	1.69724E+1	1.10316E+1
-6.59969E-1	2.67519E-3	1.65135E+1	1.08984E+1
