Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.01003E+0	3.00203E-6	1.85310E-2	-1.87169E-2
1.00003E+0	2.94392E-6	1.81723E-2	-1.81729E-2
9.90026E-1	2.88466E-6	1.78065E-2	-1.76289E-2
9.80026E-1	2.82755E-6	1.74540E-2	-1.71054E-2
9.70029E-1	2.77111E-6	1.71056E-2	-1.65929E-2
9.60024E-1	2.71827E-6	1.67794E-2	-1.61087E-2
9.50026E-1	2.66413E-6	1.64452E-2	-1.56234E-2
9.40026E-1	2.61547E-6	1.61449E-2	-1.51766E-2
9.30019E-1	2.56449E-6	1.58302E-2	-1.47224E-2
9.20023E-1	2.51591E-6	1.55303E-2	-1.42882E-2
9.10024E-1	2.46324E-6	1.52052E-2	-1.38371E-2
9.00025E-1	2.41413E-6	1.49020E-2	-1.34122E-2
8.90025E-1	2.37039E-6	1.46320E-2	-1.30229E-2
8.80024E-1	2.31993E-6	1.43206E-2	-1.26024E-2
8.69992E-1	2.27205E-6	1.40250E-2	-1.22016E-2
8.59997E-1	2.22434E-6	1.37305E-2	-1.18082E-2
8.49996E-1	2.17898E-6	1.34505E-2	-1.14329E-2
8.39995E-1	2.13478E-6	1.31777E-2	-1.10692E-2
8.29993E-1	2.09086E-6	1.29065E-2	-1.07123E-2
8.19983E-1	2.04611E-6	1.26303E-2	-1.03566E-2
8.09986E-1	2.00266E-6	1.23621E-2	-1.00131E-2
7.99985E-1	1.96149E-6	1.21080E-2	-9.68619E-3
7.89989E-1	1.92181E-6	1.18630E-2	-9.37166E-3
7.79981E-1	1.88088E-6	1.16104E-2	-9.05587E-3
7.69981E-1	1.83870E-6	1.13500E-2	-8.73928E-3
7.59981E-1	1.79946E-6	1.11078E-2	-8.44170E-3
7.49980E-1	1.76113E-6	1.08712E-2	-8.15316E-3
7.39976E-1	1.72345E-6	1.06386E-2	-7.87229E-3
7.29977E-1	1.68678E-6	1.04122E-2	-7.60068E-3
7.19976E-1	1.65053E-6	1.01885E-2	-7.33544E-3
7.09979E-1	1.61419E-6	9.96414E-3	-7.07433E-3
6.99977E-1	1.57888E-6	9.74617E-3	-6.82210E-3
6.89981E-1	1.54306E-6	9.52506E-3	-6.57211E-3
6.79980E-1	1.50937E-6	9.31710E-3	-6.33544E-3
6.69976E-1	1.47442E-6	9.10136E-3	-6.09769E-3
6.59975E-1	1.44105E-6	8.89537E-3	-5.87072E-3
6.49976E-1	1.40782E-6	8.69025E-3	-5.64845E-3
6.39979E-1	1.37716E-6	8.50099E-3	-5.44045E-3
6.29971E-1	1.34539E-6	8.30488E-3	-5.23183E-3
6.19970E-1	1.31287E-6	8.10414E-3	-5.02432E-3
6.09972E-1	1.28216E-6	7.91457E-3	-4.82766E-3
5.99971E-1	1.25174E-6	7.72679E-3	-4.63585E-3
5.89974E-1	1.22320E-6	7.55062E-3	-4.45467E-3
5.79972E-1	1.19387E-6	7.36957E-3	-4.27414E-3
5.69975E-1	1.16395E-6	7.18488E-3	-4.09520E-3
5.59975E-1	1.13547E-6	7.00907E-3	-3.92491E-3
5.49979E-1	1.10726E-6	6.83494E-3	-3.75907E-3
5.39977E-1	1.07927E-6	6.66216E-3	-3.59741E-3
5.29979E-1	1.05262E-6	6.49765E-3	-3.44362E-3
5.19973E-1	1.02653E-6	6.33660E-3	-3.29486E-3
5.09973E-1	1.00022E-6	6.17420E-3	-3.14867E-3
4.99971E-1	9.75170E-7	6.01957E-3	-3.00961E-3
4.89969E-1	9.49560E-7	5.86148E-3	-2.87194E-3
4.79970E-1	9.24361E-7	5.70593E-3	-2.73868E-3
4.69970E-1	9.01240E-7	5.56321E-3	-2.61454E-3
4.59973E-1	8.77667E-7	5.41770E-3	-2.49199E-3
4.49968E-1	8.53762E-7	5.27014E-3	-2.37139E-3
4.39972E-1	8.31548E-7	5.13301E-3	-2.25838E-3
4.29971E-1	8.07925E-7	4.98719E-3	-2.14435E-3
4.19972E-1	7.85350E-7	4.84784E-3	-2.03596E-3
4.09974E-1	7.63089E-7	4.71043E-3	-1.93115E-3
3.99973E-1	7.41405E-7	4.57657E-3	-1.83051E-3
3.89979E-1	7.18594E-7	4.43577E-3	-1.72986E-3
3.79975E-1	6.98271E-7	4.31031E-3	-1.63781E-3
3.69973E-1	6.77331E-7	4.18106E-3	-1.54688E-3
3.59974E-1	6.58783E-7	4.06656E-3	-1.46386E-3
3.49972E-1	6.39156E-7	3.94541E-3	-1.38078E-3
3.39963E-1	6.19610E-7	3.82475E-3	-1.30027E-3
3.29965E-1	5.99333E-7	3.69959E-3	-1.22073E-3
3.19964E-1	5.79923E-7	3.57977E-3	-1.14540E-3
3.09962E-1	5.61045E-7	3.46324E-3	-1.07347E-3
2.99964E-1	5.42957E-7	3.35159E-3	-1.00536E-3
2.89964E-1	5.24221E-7	3.23593E-3	-9.38304E-4
2.79964E-1	5.06541E-7	3.12680E-3	-8.75390E-4
2.69966E-1	4.89174E-7	3.01959E-3	-8.15187E-4
2.59967E-1	4.71151E-7	2.90834E-3	-7.56072E-4
2.49969E-1	4.52680E-7	2.79432E-3	-6.98494E-4
2.39972E-1	4.37171E-7	2.69859E-3	-6.47585E-4
2.29966E-1	4.20103E-7	2.59323E-3	-5.96354E-4
2.19966E-1	4.04137E-7	2.49467E-3	-5.48743E-4
2.09973E-1	3.87745E-7	2.39349E-3	-5.02568E-4
1.99963E-1	3.71792E-7	2.29501E-3	-4.58918E-4
1.89968E-1	3.56948E-7	2.20338E-3	-4.18572E-4
1.79967E-1	3.41137E-7	2.10578E-3	-3.78972E-4
1.69969E-1	3.26078E-7	2.01283E-3	-3.42118E-4
1.59966E-1	3.11250E-7	1.92130E-3	-3.07342E-4
1.49969E-1	2.96315E-7	1.82910E-3	-2.74309E-4
1.39970E-1	2.81705E-7	1.73892E-3	-2.43397E-4
1.29968E-1	2.67114E-7	1.64885E-3	-2.14298E-4
1.19967E-1	2.53209E-7	1.56302E-3	-1.87511E-4
1.09968E-1	2.38943E-7	1.47496E-3	-1.62198E-4
9.99684E-2	2.24990E-7	1.38883E-3	-1.38839E-4
8.99634E-2	2.11347E-7	1.30461E-3	-1.17367E-4
7.99599E-2	1.97714E-7	1.22046E-3	-9.75876E-5
6.99637E-2	1.84183E-7	1.13693E-3	-7.95440E-5
5.99666E-2	1.71125E-7	1.05633E-3	-6.33443E-5
4.99599E-2	1.57153E-7	9.70080E-4	-4.84651E-5
3.99625E-2	1.43141E-7	8.83586E-4	-3.53103E-5
2.99618E-2	1.30352E-7	8.04642E-4	-2.41085E-5
1.99645E-2	1.16965E-7	7.22006E-4	-1.44145E-5
9.96184E-3	1.03961E-7	6.41735E-4	-6.39286E-6
-4.22001E-5	9.03802E-8	5.57902E-4	2.35435E-8
-9.88674E-3	7.74038E-8	4.77801E-4	4.72390E-6
-1.98882E-2	6.36169E-8	3.92697E-4	7.81003E-6
-2.98862E-2	5.01720E-8	3.09704E-4	9.25587E-6
-3.98850E-2	3.58894E-8	2.21540E-4	8.83610E-6
-4.98836E-2	2.17489E-8	1.34252E-4	6.69700E-6
-5.98948E-2	6.78510E-9	4.18833E-5	2.50859E-6
-6.98977E-2	-7.27094E-9	-4.48823E-5	-3.13717E-6
-7.98924E-2	-2.25646E-8	-1.39288E-4	-1.11280E-5
-8.98926E-2	-3.68215E-8	-2.27293E-4	-2.04320E-5
-9.98971E-2	-5.26824E-8	-3.25200E-4	-3.24865E-5
-1.09897E-1	-6.88408E-8	-4.24943E-4	-4.67000E-5
-1.19898E-1	-8.52860E-8	-5.26457E-4	-6.31211E-5
-1.29895E-1	-1.02510E-7	-6.32778E-4	-8.21947E-5
-1.39893E-1	-1.19408E-7	-7.37086E-4	-1.03113E-4
-1.49892E-1	-1.36912E-7	-8.45136E-4	-1.26679E-4
-1.59894E-1	-1.54904E-7	-9.56198E-4	-1.52890E-4
-1.69897E-1	-1.72731E-7	-1.06624E-3	-1.81151E-4
-1.79893E-1	-1.92371E-7	-1.18748E-3	-2.13618E-4
-1.89891E-1	-2.11946E-7	-1.30831E-3	-2.48436E-4
-1.99889E-1	-2.31685E-7	-1.43015E-3	-2.85872E-4
-2.09899E-1	-2.52578E-7	-1.55912E-3	-3.27258E-4
-2.19900E-1	-2.73645E-7	-1.68917E-3	-3.71448E-4
