Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.01002E+0	1.95719E-5	1.20814E-1	-1.22025E-1
1.00002E+0	3.54869E-3	2.19055E+1	-2.19059E+1
9.90024E-1	3.54761E-3	2.18988E+1	-2.16804E+1
9.80021E-1	3.56229E-3	2.19894E+1	-2.15501E+1
9.70030E-1	3.54836E-3	2.19035E+1	-2.12470E+1
9.60025E-1	3.54729E-3	2.18969E+1	-2.10215E+1
9.50026E-1	3.54257E-3	2.18677E+1	-2.07749E+1
9.40027E-1	3.54090E-3	2.18574E+1	-2.05466E+1
9.30017E-1	3.55157E-3	2.19233E+1	-2.03890E+1
9.20020E-1	3.53573E-3	2.18255E+1	-2.00799E+1
9.10020E-1	3.54175E-3	2.18627E+1	-1.98955E+1
9.00021E-1	3.53624E-3	2.18286E+1	-1.96462E+1
8.90025E-1	3.53467E-3	2.18190E+1	-1.94194E+1
8.80028E-1	3.54540E-3	2.18852E+1	-1.92596E+1
8.69991E-1	3.53126E-3	2.17979E+1	-1.89640E+1
8.59992E-1	3.53339E-3	2.18110E+1	-1.87573E+1
8.49987E-1	3.53277E-3	2.18072E+1	-1.85359E+1
8.39985E-1	3.52487E-3	2.17585E+1	-1.82768E+1
8.29988E-1	3.51936E-3	2.17244E+1	-1.80310E+1
8.19985E-1	3.53647E-3	2.18301E+1	-1.79003E+1
8.09988E-1	3.52905E-3	2.17843E+1	-1.76450E+1
7.99988E-1	3.53243E-3	2.18051E+1	-1.74438E+1
7.89987E-1	3.52337E-3	2.17492E+1	-1.71816E+1
7.79982E-1	3.52464E-3	2.17570E+1	-1.69701E+1
7.69978E-1	3.53578E-3	2.18258E+1	-1.68054E+1
7.59982E-1	3.53222E-3	2.18038E+1	-1.65705E+1
7.49981E-1	3.52489E-3	2.17586E+1	-1.63185E+1
7.39979E-1	3.52769E-3	2.17759E+1	-1.61137E+1
7.29981E-1	3.52174E-3	2.17391E+1	-1.58692E+1
7.19979E-1	3.52435E-3	2.17552E+1	-1.56633E+1
7.09979E-1	3.52255E-3	2.17441E+1	-1.54379E+1
6.99980E-1	3.51403E-3	2.16915E+1	-1.51836E+1
6.89981E-1	3.51890E-3	2.17216E+1	-1.49875E+1
6.79986E-1	3.50671E-3	2.16464E+1	-1.47192E+1
6.69981E-1	3.52172E-3	2.17390E+1	-1.45647E+1
6.59982E-1	3.52098E-3	2.17344E+1	-1.43443E+1
6.49984E-1	3.51917E-3	2.17233E+1	-1.41198E+1
6.39990E-1	3.52658E-3	2.17690E+1	-1.39320E+1
6.29983E-1	3.51836E-3	2.17183E+1	-1.36821E+1
6.19983E-1	3.51027E-3	2.16683E+1	-1.34340E+1
6.09983E-1	3.51276E-3	2.16837E+1	-1.32267E+1
5.99977E-1	3.49764E-3	2.15904E+1	-1.29537E+1
5.89977E-1	3.50973E-3	2.16650E+1	-1.27819E+1
5.79975E-1	3.50498E-3	2.16357E+1	-1.25482E+1
5.69982E-1	3.50602E-3	2.16421E+1	-1.23356E+1
5.59981E-1	3.51114E-3	2.16737E+1	-1.21369E+1
5.49986E-1	3.50101E-3	2.16112E+1	-1.18858E+1
5.39983E-1	3.51012E-3	2.16674E+1	-1.17000E+1
5.29981E-1	3.50269E-3	2.16215E+1	-1.14590E+1
5.19984E-1	3.49601E-3	2.15803E+1	-1.12214E+1
5.09981E-1	3.50223E-3	2.16187E+1	-1.10251E+1
4.99981E-1	3.50228E-3	2.16190E+1	-1.08091E+1
4.89977E-1	3.49117E-3	2.15504E+1	-1.05592E+1
4.79983E-1	3.49928E-3	2.16005E+1	-1.03679E+1
4.69983E-1	3.49388E-3	2.15672E+1	-1.01362E+1
4.59984E-1	3.49192E-3	2.15551E+1	-9.91498E+0
4.49979E-1	3.49613E-3	2.15810E+1	-9.71102E+0
4.39983E-1	3.48950E-3	2.15401E+1	-9.47729E+0
4.29983E-1	3.49613E-3	2.15810E+1	-9.27948E+0
4.19982E-1	3.48507E-3	2.15128E+1	-9.03498E+0
4.09987E-1	3.49105E-3	2.15497E+1	-8.83509E+0
3.99987E-1	3.48455E-3	2.15096E+1	-8.60355E+0
3.89988E-1	3.47927E-3	2.14770E+1	-8.37576E+0
3.79984E-1	3.49098E-3	2.15493E+1	-8.18837E+0
3.69980E-1	3.47946E-3	2.14781E+1	-7.94649E+0
3.59981E-1	3.48408E-3	2.15067E+1	-7.74199E+0
3.49985E-1	3.48373E-3	2.15045E+1	-7.52625E+0
3.39976E-1	3.47643E-3	2.14594E+1	-7.29570E+0
3.29976E-1	3.48217E-3	2.14949E+1	-7.09279E+0
3.19970E-1	3.47549E-3	2.14536E+1	-6.86452E+0
3.09972E-1	3.48739E-3	2.15271E+1	-6.67280E+0
2.99976E-1	3.47321E-3	2.14396E+1	-6.43136E+0
2.89976E-1	3.47429E-3	2.14462E+1	-6.21889E+0
2.79977E-1	3.46997E-3	2.14196E+1	-5.99699E+0
2.69974E-1	3.45867E-3	2.13498E+1	-5.76389E+0
2.59971E-1	3.46852E-3	2.14106E+1	-5.56614E+0
2.49973E-1	3.47256E-3	2.14356E+1	-5.35831E+0
2.39977E-1	3.46305E-3	2.13769E+1	-5.12995E+0
2.29972E-1	3.45862E-3	2.13495E+1	-4.90979E+0
2.19976E-1	3.46172E-3	2.13686E+1	-4.70059E+0
2.09973E-1	3.46688E-3	2.14005E+1	-4.49353E+0
1.99963E-1	3.45129E-3	2.13043E+1	-4.26006E+0
1.89965E-1	3.46385E-3	2.13818E+1	-4.06179E+0
1.79965E-1	3.46479E-3	2.13876E+1	-3.84902E+0
1.69969E-1	3.45628E-3	2.13351E+1	-3.62630E+0
1.59965E-1	3.46278E-3	2.13752E+1	-3.41928E+0
1.49967E-1	3.44837E-3	2.12862E+1	-3.19223E+0
1.39966E-1	3.44984E-3	2.12953E+1	-2.98062E+0
1.29969E-1	3.45580E-3	2.13321E+1	-2.77251E+0
1.19971E-1	3.44925E-3	2.12917E+1	-2.55438E+0
1.09968E-1	3.45260E-3	2.13123E+1	-2.34368E+0
9.99687E-2	3.44331E-3	2.12550E+1	-2.12483E+0
8.99665E-2	3.43645E-3	2.12127E+1	-1.90843E+0
7.99680E-2	3.44826E-3	2.12856E+1	-1.70216E+0
6.99699E-2	3.44467E-3	2.12634E+1	-1.48780E+0
5.99675E-2	3.44905E-3	2.12904E+1	-1.27673E+0
4.99570E-2	3.43314E-3	2.11922E+1	-1.05870E+0
3.99611E-2	3.44026E-3	2.12362E+1	-8.48621E-1
2.99613E-2	3.43867E-3	2.12264E+1	-6.35969E-1
1.99618E-2	3.42793E-3	2.11601E+1	-4.22393E-1
9.95851E-3	3.43901E-3	2.12285E+1	-2.11404E-1
-4.12464E-5	3.44558E-3	2.12690E+1	8.77270E-4
-9.92179E-3	3.43438E-3	2.11999E+1	2.10341E-1
-1.99249E-2	3.44065E-3	2.12386E+1	4.23177E-1
-2.99239E-2	3.43004E-3	2.11731E+1	6.33581E-1
-3.99232E-2	3.43639E-3	2.12123E+1	8.46862E-1
-4.99215E-2	3.43441E-3	2.12001E+1	1.05834E+0
-5.99296E-2	3.43163E-3	2.11829E+1	1.26948E+0
-6.99282E-2	3.43634E-3	2.12120E+1	1.48332E+0
-7.99315E-2	3.41851E-3	2.11019E+1	1.68671E+0
-8.99286E-2	3.43007E-3	2.11733E+1	1.90408E+0
-9.99317E-2	3.42260E-3	2.11272E+1	2.11127E+0
-1.09929E-1	3.42392E-3	2.11353E+1	2.32338E+0
-1.19932E-1	3.42906E-3	2.11670E+1	2.53861E+0
-1.29931E-1	3.42169E-3	2.11215E+1	2.74434E+0
-1.39928E-1	3.41532E-3	2.10822E+1	2.94999E+0
-1.49930E-1	3.41696E-3	2.10923E+1	3.16238E+0
-1.59929E-1	3.41346E-3	2.10707E+1	3.36982E+0
-1.69935E-1	3.40619E-3	2.10259E+1	3.57303E+0
