Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.01003E+0	4.56153E-6	2.81576E-2	-2.84400E-2
1.00003E+0	3.07294E-3	1.89688E+1	-1.89693E+1
9.90038E-1	3.06145E-3	1.88978E+1	-1.87096E+1
9.80035E-1	3.06204E-3	1.89015E+1	-1.85241E+1
9.70042E-1	3.07517E-3	1.89825E+1	-1.84139E+1
9.60038E-1	3.06498E-3	1.89196E+1	-1.81636E+1
9.50038E-1	3.06740E-3	1.89346E+1	-1.79886E+1
9.40040E-1	3.06987E-3	1.89498E+1	-1.78136E+1
9.30031E-1	3.06956E-3	1.89479E+1	-1.76221E+1
9.20035E-1	3.07342E-3	1.89717E+1	-1.74547E+1
9.10033E-1	3.06366E-3	1.89115E+1	-1.72101E+1
9.00035E-1	3.06967E-3	1.89486E+1	-1.70544E+1
8.90034E-1	3.06051E-3	1.88920E+1	-1.68146E+1
8.80033E-1	3.05949E-3	1.88857E+1	-1.66201E+1
8.69999E-1	3.06524E-3	1.89212E+1	-1.64615E+1
8.60000E-1	3.06105E-3	1.88954E+1	-1.62500E+1
8.49999E-1	3.05480E-3	1.88568E+1	-1.60283E+1
8.39998E-1	3.05237E-3	1.88418E+1	-1.58271E+1
8.29998E-1	3.06447E-3	1.89165E+1	-1.57006E+1
8.19991E-1	3.06034E-3	1.88910E+1	-1.54904E+1
8.09994E-1	3.05647E-3	1.88671E+1	-1.52822E+1
7.99996E-1	3.04946E-3	1.88238E+1	-1.50590E+1
7.89994E-1	3.05120E-3	1.88346E+1	-1.48792E+1
7.79990E-1	3.05247E-3	1.88424E+1	-1.46969E+1
7.69991E-1	3.05138E-3	1.88357E+1	-1.45033E+1
7.59989E-1	3.03904E-3	1.87595E+1	-1.42570E+1
7.49989E-1	3.04724E-3	1.88101E+1	-1.41074E+1
7.39986E-1	3.04884E-3	1.88200E+1	-1.39265E+1
7.29988E-1	3.04379E-3	1.87888E+1	-1.37156E+1
7.19985E-1	3.05566E-3	1.88621E+1	-1.35804E+1
7.09986E-1	3.05221E-3	1.88408E+1	-1.33767E+1
6.99985E-1	3.05311E-3	1.88464E+1	-1.31922E+1
6.89989E-1	3.04886E-3	1.88201E+1	-1.29857E+1
6.79990E-1	3.04559E-3	1.87999E+1	-1.27838E+1
6.69984E-1	3.05284E-3	1.88447E+1	-1.26256E+1
6.59985E-1	3.03849E-3	1.87561E+1	-1.23788E+1
6.49984E-1	3.04499E-3	1.87962E+1	-1.22173E+1
6.39987E-1	3.04265E-3	1.87818E+1	-1.20201E+1
6.29979E-1	3.03426E-3	1.87300E+1	-1.17995E+1
6.19981E-1	3.03083E-3	1.87088E+1	-1.15991E+1
6.09985E-1	3.03793E-3	1.87527E+1	-1.14388E+1
5.99983E-1	3.03338E-3	1.87246E+1	-1.12344E+1
5.89984E-1	3.03746E-3	1.87498E+1	-1.10621E+1
5.79984E-1	3.03353E-3	1.87255E+1	-1.08605E+1
5.69986E-1	3.02950E-3	1.87006E+1	-1.06591E+1
5.59986E-1	3.03402E-3	1.87285E+1	-1.04877E+1
5.49989E-1	3.01968E-3	1.86400E+1	-1.02518E+1
5.39984E-1	3.02912E-3	1.86983E+1	-1.00968E+1
5.29986E-1	3.02840E-3	1.86938E+1	-9.90747E+0
5.19987E-1	3.02275E-3	1.86590E+1	-9.70241E+0
5.09984E-1	3.02548E-3	1.86758E+1	-9.52436E+0
4.99987E-1	3.01666E-3	1.86214E+1	-9.31044E+0
4.89980E-1	3.01669E-3	1.86215E+1	-9.12418E+0
4.79983E-1	3.01998E-3	1.86419E+1	-8.94777E+0
4.69982E-1	3.01302E-3	1.85989E+1	-8.74114E+0
4.59984E-1	3.00864E-3	1.85719E+1	-8.54275E+0
4.49978E-1	3.00554E-3	1.85527E+1	-8.34831E+0
4.39982E-1	2.99503E-3	1.84878E+1	-8.13432E+0
4.29979E-1	3.00154E-3	1.85280E+1	-7.96666E+0
4.19981E-1	2.98900E-3	1.84506E+1	-7.74891E+0
4.09982E-1	2.99594E-3	1.84935E+1	-7.58198E+0
3.99984E-1	2.99588E-3	1.84931E+1	-7.39694E+0
3.89986E-1	2.98720E-3	1.84395E+1	-7.19115E+0
3.79981E-1	2.99165E-3	1.84670E+1	-7.01710E+0
3.69983E-1	2.99125E-3	1.84645E+1	-6.83155E+0
3.59983E-1	2.98197E-3	1.84072E+1	-6.62629E+0
3.49985E-1	2.98256E-3	1.84109E+1	-6.44353E+0
3.39979E-1	2.98213E-3	1.84082E+1	-6.25840E+0
3.29983E-1	2.97298E-3	1.83517E+1	-6.05576E+0
3.19987E-1	2.97868E-3	1.83869E+1	-5.88357E+0
3.09983E-1	2.96355E-3	1.82935E+1	-5.67068E+0
2.99987E-1	2.96712E-3	1.83156E+1	-5.49443E+0
2.89987E-1	2.96863E-3	1.83249E+1	-5.31398E+0
2.79988E-1	2.95886E-3	1.82646E+1	-5.11386E+0
2.69986E-1	2.96630E-3	1.83105E+1	-4.94358E+0
2.59988E-1	2.95714E-3	1.82540E+1	-4.74581E+0
2.49989E-1	2.95269E-3	1.82265E+1	-4.55642E+0
2.39989E-1	2.96359E-3	1.82938E+1	-4.39030E+0
2.29984E-1	2.95700E-3	1.82531E+1	-4.19792E+0
2.19984E-1	2.95603E-3	1.82471E+1	-4.01407E+0
2.09985E-1	2.95145E-3	1.82188E+1	-3.82568E+0
1.99977E-1	2.94558E-3	1.81826E+1	-3.63610E+0
1.89977E-1	2.93307E-3	1.81054E+1	-3.43960E+0
1.79978E-1	2.93551E-3	1.81204E+1	-3.26128E+0
1.69979E-1	2.93710E-3	1.81302E+1	-3.08176E+0
1.59976E-1	2.92934E-3	1.80823E+1	-2.89274E+0
1.49979E-1	2.93812E-3	1.81365E+1	-2.72010E+0
1.39979E-1	2.92569E-3	1.80598E+1	-2.52799E+0
1.29981E-1	2.92527E-3	1.80572E+1	-2.34710E+0
1.19982E-1	2.92638E-3	1.80641E+1	-2.16736E+0
1.09985E-1	2.91661E-3	1.80038E+1	-1.98014E+0
9.99820E-2	2.91790E-3	1.80117E+1	-1.80085E+0
8.99780E-2	2.92168E-3	1.80351E+1	-1.62276E+0
7.99804E-2	2.91296E-3	1.79812E+1	-1.43815E+0
6.99821E-2	2.91995E-3	1.80244E+1	-1.26138E+0
5.99816E-2	2.91530E-3	1.79957E+1	-1.07941E+0
4.99718E-2	2.91067E-3	1.79671E+1	-8.97848E-1
3.99749E-2	2.92094E-3	1.80305E+1	-7.20767E-1
2.99766E-2	2.90680E-3	1.79432E+1	-5.37876E-1
1.99769E-2	2.91822E-3	1.80137E+1	-3.59858E-1
9.97663E-3	2.90817E-3	1.79517E+1	-1.79097E-1
-2.52724E-5	2.89609E-3	1.78771E+1	4.51797E-4
-9.91201E-3	2.90193E-3	1.79131E+1	1.77555E-1
-1.99156E-2	2.90772E-3	1.79489E+1	3.57463E-1
-2.99118E-2	2.89747E-3	1.78856E+1	5.34991E-1
-3.99139E-2	2.90078E-3	1.79060E+1	7.14700E-1
-4.99115E-2	2.89938E-3	1.78974E+1	8.93286E-1
-5.99194E-2	2.89274E-3	1.78564E+1	1.06995E+0
-6.99136E-2	2.89936E-3	1.78973E+1	1.25126E+0
-7.99158E-2	2.89203E-3	1.78520E+1	1.42666E+0
-8.99160E-2	2.89719E-3	1.78839E+1	1.60805E+0
-9.99186E-2	2.88417E-3	1.78035E+1	1.77890E+0
-1.09919E-1	2.88398E-3	1.78023E+1	1.95682E+0
-1.19918E-1	2.88115E-3	1.77849E+1	2.13273E+0
-1.29918E-1	2.87510E-3	1.77475E+1	2.30572E+0
-1.39913E-1	2.87580E-3	1.77519E+1	2.48371E+0
-1.49915E-1	2.88004E-3	1.77780E+1	2.66519E+0
-1.59914E-1	2.87777E-3	1.77640E+1	2.84071E+0
-1.69918E-1	2.87338E-3	1.77369E+1	3.01382E+0
-1.79920E-1	2.87672E-3	1.77575E+1	3.19493E+0
-1.89919E-1	2.86553E-3	1.76885E+1	3.35937E+0
-1.99917E-1	2.87027E-3	1.77177E+1	3.54207E+0
-2.09926E-1	2.86903E-3	1.77101E+1	3.71780E+0
-2.19924E-1	2.86688E-3	1.76968E+1	3.89195E+0
-2.29926E-1	2.87346E-3	1.77374E+1	4.07829E+0
-2.39928E-1	2.85777E-3	1.76406E+1	4.23246E+0
-2.49930E-1	2.85956E-3	1.76516E+1	4.41167E+0
-2.59931E-1	2.86199E-3	1.76666E+1	4.59210E+0
-2.69928E-1	2.86064E-3	1.76583E+1	4.76646E+0
-2.79927E-1	2.85749E-3	1.76388E+1	4.93758E+0
-2.89926E-1	2.86211E-3	1.76673E+1	5.12222E+0
-2.99921E-1	2.85077E-3	1.75973E+1	5.27781E+0
-3.09919E-1	2.85035E-3	1.75948E+1	5.45295E+0
-3.19924E-1	2.83909E-3	1.75252E+1	5.60675E+0
-3.29921E-1	2.83240E-3	1.74840E+1	5.76832E+0
-3.39918E-1	2.84347E-3	1.75523E+1	5.96634E+0
-3.49930E-1	2.83280E-3	1.74864E+1	6.11902E+0
-3.59928E-1	2.83588E-3	1.75054E+1	6.30070E+0
-3.69926E-1	2.82782E-3	1.74557E+1	6.45731E+0
-3.79925E-1	2.81729E-3	1.73907E+1	6.60715E+0
-3.89930E-1	2.82257E-3	1.74233E+1	6.79386E+0
-3.99929E-1	2.82410E-3	1.74327E+1	6.97185E+0
-4.09928E-1	2.81256E-3	1.73615E+1	7.11696E+0
-4.19926E-1	2.81741E-3	1.73914E+1	7.30311E+0
-4.29928E-1	2.80311E-3	1.73031E+1	7.43911E+0
-4.39928E-1	2.79982E-3	1.72828E+1	7.60321E+0
-4.49925E-1	2.79849E-3	1.72746E+1	7.77229E+0
-4.59927E-1	2.79058E-3	1.72258E+1	7.92261E+0
-4.69926E-1	2.79309E-3	1.72413E+1	8.10213E+0
-4.79923E-1	2.77855E-3	1.71515E+1	8.23142E+0
-4.89922E-1	2.78035E-3	1.71627E+1	8.40836E+0
-4.99929E-1	2.77773E-3	1.71465E+1	8.57202E+0
-5.09928E-1	2.76635E-3	1.70762E+1	8.70765E+0
-5.19928E-1	2.76529E-3	1.70697E+1	8.87501E+0
-5.29926E-1	2.76125E-3	1.70448E+1	9.03246E+0
-5.39934E-1	2.74638E-3	1.69530E+1	9.15348E+0
-5.49932E-1	2.74528E-3	1.69462E+1	9.31924E+0
-5.59928E-1	2.72715E-3	1.68343E+1	9.42597E+0
-5.69927E-1	2.71859E-3	1.67814E+1	9.56418E+0
-5.79923E-1	2.71440E-3	1.67556E+1	9.71693E+0
-5.89925E-1	2.69635E-3	1.66441E+1	9.81879E+0
-5.99922E-1	2.69258E-3	1.66209E+1	9.97122E+0
-6.09923E-1	2.67336E-3	1.65022E+1	1.00651E+1
-6.19919E-1	2.65407E-3	1.63831E+1	1.01562E+1
-6.29920E-1	2.63543E-3	1.62681E+1	1.02476E+1
-6.39953E-1	2.60653E-3	1.60897E+1	1.02966E+1
-6.49960E-1	2.57629E-3	1.59030E+1	1.03363E+1
-6.59957E-1	2.54869E-3	1.57327E+1	1.03829E+1
-6.69955E-1	2.51485E-3	1.55238E+1	1.04002E+1
-6.79961E-1	2.46054E-3	1.51885E+1	1.03276E+1
-6.89961E-1	2.41565E-3	1.49114E+1	1.02883E+1
-6.99962E-1	2.34087E-3	1.44498E+1	1.01143E+1
-7.09959E-1	2.26329E-3	1.39709E+1	9.91878E+0
-7.19956E-1	2.16935E-3	1.33910E+1	9.64097E+0
-7.29955E-1	2.05852E-3	1.27069E+1	9.27548E+0
-7.39952E-1	1.93442E-3	1.19409E+1	8.83567E+0
-7.49953E-1	1.78451E-3	1.10155E+1	8.26110E+0
-7.59953E-1	1.62559E-3	1.00345E+1	7.62575E+0
-7.69955E-1	1.44832E-3	8.94025E+0	6.88359E+0
-7.79955E-1	1.25059E-3	7.71969E+0	6.02101E+0
-7.89965E-1	1.04202E-3	6.43222E+0	5.08123E+0
-7.99962E-1	8.18776E-4	5.05417E+0	4.04315E+0
-8.09966E-1	5.75722E-4	3.55384E+0	2.87849E+0
-8.19964E-1	3.26486E-4	2.01535E+0	1.65251E+0
-8.29973E-1	6.51959E-5	4.02444E-1	3.34018E-1
-8.39969E-1	-2.08217E-4	-1.28529E+0	-1.07960E+0
-8.49970E-1	-4.86470E-4	-3.00290E+0	-2.55238E+0
-8.59974E-1	-7.78158E-4	-4.80344E+0	-4.13084E+0
-8.69969E-1	-1.07411E-3	-6.63031E+0	-5.76816E+0
-8.79969E-1	-1.37649E-3	-8.49685E+0	-7.47697E+0
-8.89962E-1	-1.68616E-3	-1.04084E+1	-9.26308E+0
-8.99967E-1	-2.00085E-3	-1.23509E+1	-1.11154E+1
-9.09969E-1	-2.32063E-3	-1.43249E+1	-1.30352E+1
-9.19969E-1	-2.64702E-3	-1.63396E+1	-1.50320E+1
-9.29971E-1	-2.97548E-3	-1.83672E+1	-1.70809E+1
-9.39975E-1	-3.30916E-3	-2.04269E+1	-1.92008E+1
-9.49977E-1	-3.64565E-3	-2.25040E+1	-2.13783E+1
-9.59977E-1	-3.98539E-3	-2.46012E+1	-2.36166E+1
-9.69981E-1	-4.32993E-3	-2.67280E+1	-2.59256E+1
-9.79980E-1	-4.67584E-3	-2.88632E+1	-2.82854E+1
-9.89978E-1	-5.02506E-3	-3.10189E+1	-3.07080E+1
-9.99977E-1	-5.37727E-3	-3.31930E+1	-3.31923E+1
-1.00997E+0	-5.73077E-3	-3.53751E+1	-3.57278E+1
1.04002E+1	1.78771E+1	-8.29973E-1	7.00940E-1
1.04967E+1	1.76520E+1	-8.29969E-1	7.16468E-1
1.30209E-4	1.22621E-4	-8.25474E-1	1.28639E+0
