Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.01004E+0	-6.65188E-5	-4.10610E-1	4.14732E-1
1.00003E+0	2.05327E-6	1.26745E-2	-1.26749E-2
9.90027E-1	2.02718E-6	1.25135E-2	-1.23887E-2
9.80031E-1	2.00086E-6	1.23510E-2	-1.21044E-2
9.70033E-1	1.97655E-6	1.22009E-2	-1.18353E-2
9.60032E-1	1.95011E-6	1.20377E-2	-1.15566E-2
9.50032E-1	1.92406E-6	1.18769E-2	-1.12834E-2
9.40031E-1	1.89809E-6	1.17166E-2	-1.10140E-2
9.30025E-1	1.87311E-6	1.15624E-2	-1.07533E-2
9.20027E-1	1.84639E-6	1.13975E-2	-1.04860E-2
9.10026E-1	1.82268E-6	1.12511E-2	-1.02388E-2
9.00030E-1	1.79716E-6	1.10936E-2	-9.98456E-3
8.90027E-1	1.77244E-6	1.09410E-2	-9.73777E-3
8.80027E-1	1.74738E-6	1.07863E-2	-9.49223E-3
8.69996E-1	1.72256E-6	1.06331E-2	-9.25074E-3
8.59997E-1	1.69813E-6	1.04823E-2	-9.01473E-3
8.49996E-1	1.67341E-6	1.03297E-2	-8.78020E-3
8.39995E-1	1.65038E-6	1.01875E-2	-8.55747E-3
8.29996E-1	1.62626E-6	1.00386E-2	-8.33203E-3
8.19993E-1	1.60231E-6	9.89080E-3	-8.11039E-3
8.09997E-1	1.57796E-6	9.74049E-3	-7.88977E-3
7.99996E-1	1.55392E-6	9.59210E-3	-7.67364E-3
7.89995E-1	1.53032E-6	9.44642E-3	-7.46262E-3
7.79985E-1	1.50783E-6	9.30759E-3	-7.25978E-3
7.69985E-1	1.48445E-6	9.16327E-3	-7.05558E-3
7.59986E-1	1.46185E-6	9.02377E-3	-6.85794E-3
7.49985E-1	1.43870E-6	8.88086E-3	-6.66051E-3
7.39983E-1	1.41603E-6	8.74093E-3	-6.46814E-3
7.29986E-1	1.39480E-6	8.60988E-3	-6.28509E-3
7.19987E-1	1.37206E-6	8.46951E-3	-6.09793E-3
7.09990E-1	1.35040E-6	8.33580E-3	-5.91834E-3
6.99988E-1	1.32785E-6	8.19660E-3	-5.73753E-3
6.89990E-1	1.30607E-6	8.06216E-3	-5.56281E-3
6.79990E-1	1.28396E-6	7.92568E-3	-5.38938E-3
6.69991E-1	1.26271E-6	7.79451E-3	-5.22225E-3
6.59994E-1	1.24167E-6	7.66463E-3	-5.05861E-3
6.49995E-1	1.22012E-6	7.53160E-3	-4.89551E-3
6.39995E-1	1.19910E-6	7.40185E-3	-4.73715E-3
6.29991E-1	1.17771E-6	7.26981E-3	-4.57992E-3
6.19989E-1	1.15700E-6	7.14198E-3	-4.42795E-3
6.09994E-1	1.13573E-6	7.01068E-3	-4.27647E-3
5.99989E-1	1.11504E-6	6.88296E-3	-4.12970E-3
5.89989E-1	1.09424E-6	6.75457E-3	-3.98512E-3
5.79987E-1	1.07383E-6	6.62858E-3	-3.84449E-3
5.69991E-1	1.05375E-6	6.50463E-3	-3.70758E-3
5.59988E-1	1.03346E-6	6.37938E-3	-3.57238E-3
5.49989E-1	1.01350E-6	6.25617E-3	-3.44083E-3
5.39986E-1	9.93096E-7	6.13022E-3	-3.31023E-3
5.29988E-1	9.72907E-7	6.00560E-3	-3.18290E-3
5.19983E-1	9.53116E-7	5.88343E-3	-3.05928E-3
5.09985E-1	9.34062E-7	5.76581E-3	-2.94048E-3
4.99989E-1	9.14274E-7	5.64367E-3	-2.82177E-3
4.89984E-1	8.94518E-7	5.52172E-3	-2.70555E-3
4.79986E-1	8.75341E-7	5.40334E-3	-2.59353E-3
4.69987E-1	8.56455E-7	5.28676E-3	-2.48471E-3
4.59987E-1	8.37274E-7	5.16836E-3	-2.37738E-3
4.49985E-1	8.18375E-7	5.05170E-3	-2.27319E-3
4.39987E-1	7.99611E-7	4.93587E-3	-2.17172E-3
4.29988E-1	7.81423E-7	4.82360E-3	-2.07409E-3
4.19988E-1	7.62993E-7	4.70983E-3	-1.97807E-3
4.09992E-1	7.44725E-7	4.59707E-3	-1.88476E-3
3.99992E-1	7.26321E-7	4.48346E-3	-1.79335E-3
3.89993E-1	7.07721E-7	4.36865E-3	-1.70374E-3
3.79989E-1	6.90290E-7	4.26105E-3	-1.61915E-3
3.69989E-1	6.72339E-7	4.15024E-3	-1.53554E-3
3.59989E-1	6.54132E-7	4.03785E-3	-1.45358E-3
3.49991E-1	6.35868E-7	3.92511E-3	-1.37375E-3
3.39986E-1	6.19073E-7	3.82144E-3	-1.29924E-3
3.29990E-1	6.02067E-7	3.71646E-3	-1.22640E-3
3.19991E-1	5.84140E-7	3.60580E-3	-1.15382E-3
3.09989E-1	5.66749E-7	3.49845E-3	-1.08448E-3
2.99990E-1	5.49949E-7	3.39475E-3	-1.01839E-3
2.89989E-1	5.33000E-7	3.29012E-3	-9.54100E-4
2.79991E-1	5.15899E-7	3.18456E-3	-8.91649E-4
2.69992E-1	4.99152E-7	3.08119E-3	-8.31895E-4
2.59992E-1	4.82948E-7	2.98116E-3	-7.75078E-4
2.49994E-1	4.66524E-7	2.87978E-3	-7.19927E-4
2.39995E-1	4.50091E-7	2.77834E-3	-6.66788E-4
2.29994E-1	4.33497E-7	2.67591E-3	-6.15443E-4
2.19995E-1	4.17201E-7	2.57531E-3	-5.66556E-4
2.09993E-1	4.01540E-7	2.47864E-3	-5.20497E-4
1.99987E-1	3.84691E-7	2.37464E-3	-4.74896E-4
1.89988E-1	3.68955E-7	2.27750E-3	-4.32698E-4
1.79988E-1	3.53209E-7	2.18030E-3	-3.92428E-4
1.69991E-1	3.37771E-7	2.08501E-3	-3.54432E-4
1.59990E-1	3.21783E-7	1.98631E-3	-3.17791E-4
1.49989E-1	3.06395E-7	1.89133E-3	-2.83678E-4
1.39990E-1	2.90848E-7	1.79536E-3	-2.51332E-4
1.29991E-1	2.75673E-7	1.70169E-3	-2.21204E-4
1.19991E-1	2.60395E-7	1.60738E-3	-1.92871E-4
1.09993E-1	2.45154E-7	1.51330E-3	-1.66452E-4
9.99947E-2	2.29945E-7	1.41941E-3	-1.41934E-4
8.99916E-2	2.14717E-7	1.32541E-3	-1.19276E-4
7.99925E-2	1.99240E-7	1.22988E-3	-9.83809E-5
6.99947E-2	1.84277E-7	1.13751E-3	-7.96198E-5
5.99961E-2	1.69463E-7	1.04607E-3	-6.27600E-5
4.99868E-2	1.54685E-7	9.54846E-4	-4.77297E-5
3.99895E-2	1.39068E-7	8.58444E-4	-3.43288E-5
2.99869E-2	1.24205E-7	7.66698E-4	-2.29909E-5
1.99888E-2	1.09360E-7	6.75062E-4	-1.34937E-5
9.97829E-3	9.44863E-8	5.83249E-4	-5.81983E-6
-1.88351E-5	7.92344E-8	4.89101E-4	9.21227E-9
-9.89890E-3	6.41332E-8	3.95884E-4	3.91882E-6
-1.98996E-2	4.87519E-8	3.00938E-4	5.98854E-6
-2.99010E-2	3.31784E-8	2.04805E-4	6.12387E-6
-3.99027E-2	1.70879E-8	1.05481E-4	4.20897E-6
-4.99020E-2	1.15443E-9	7.12611E-6	3.55607E-7
-5.99079E-2	-1.45306E-8	-8.96951E-5	-5.37344E-6
-6.99055E-2	-3.08530E-8	-1.90451E-4	-1.33135E-5
-7.99077E-2	-4.77803E-8	-2.94940E-4	-2.35680E-5
-8.99062E-2	-6.46171E-8	-3.98871E-4	-3.58610E-5
-9.99086E-2	-8.19982E-8	-5.06162E-4	-5.05699E-5
-1.09909E-1	-9.94567E-8	-6.13930E-4	-6.74765E-5
-1.19909E-1	-1.17305E-7	-7.24105E-4	-8.68267E-5
-1.29908E-1	-1.36509E-7	-8.42648E-4	-1.09467E-4
-1.39906E-1	-1.55083E-7	-9.57302E-4	-1.33932E-4
-1.49907E-1	-1.74520E-7	-1.07728E-3	-1.61492E-4
-1.59908E-1	-1.93608E-7	-1.19511E-3	-1.91108E-4
-1.69914E-1	-2.13925E-7	-1.32052E-3	-2.24376E-4
-1.79912E-1	-2.34126E-7	-1.44522E-3	-2.60013E-4
-1.89909E-1	-2.55016E-7	-1.57417E-3	-2.98950E-4
-1.99908E-1	-2.76132E-7	-1.70452E-3	-3.40747E-4
-2.09920E-1	-2.98543E-7	-1.84286E-3	-3.86853E-4
-2.19918E-1	-3.20477E-7	-1.97825E-3	-4.35053E-4
-2.29917E-1	-3.43468E-7	-2.12017E-3	-4.87464E-4
-2.39921E-1	-3.66794E-7	-2.26416E-3	-5.43220E-4
-2.49917E-1	-3.91514E-7	-2.41675E-3	-6.03988E-4
-2.59918E-1	-4.15961E-7	-2.56766E-3	-6.67381E-4
-2.69916E-1	-4.41420E-7	-2.72481E-3	-7.35471E-4
-2.79912E-1	-4.68069E-7	-2.88931E-3	-8.08754E-4
-2.89914E-1	-4.95693E-7	-3.05983E-3	-8.87089E-4
-2.99908E-1	-5.23994E-7	-3.23453E-3	-9.70062E-4
-3.09909E-1	-5.52840E-7	-3.41259E-3	-1.05759E-3
-3.19908E-1	-5.82619E-7	-3.59641E-3	-1.15052E-3
-3.29910E-1	-6.14463E-7	-3.79298E-3	-1.25134E-3
-3.39908E-1	-6.47861E-7	-3.99914E-3	-1.35934E-3
-3.49915E-1	-6.82308E-7	-4.21178E-3	-1.47376E-3
-3.59914E-1	-7.18785E-7	-4.43694E-3	-1.59692E-3
-3.69914E-1	-7.56980E-7	-4.67272E-3	-1.72850E-3
-3.79910E-1	-7.98040E-7	-4.92617E-3	-1.87150E-3
-3.89912E-1	-8.43009E-7	-5.20376E-3	-2.02901E-3
-3.99913E-1	-8.90339E-7	-5.49592E-3	-2.19789E-3
-4.09909E-1	-9.43056E-7	-5.82133E-3	-2.38622E-3
-4.19911E-1	-1.00124E-6	-6.18049E-3	-2.59526E-3
-4.29912E-1	-1.06586E-6	-6.57938E-3	-2.82856E-3
-4.39908E-1	-1.14012E-6	-7.03778E-3	-3.09597E-3
-4.49906E-1	-1.22489E-6	-7.56105E-3	-3.40176E-3
-4.59907E-1	-1.32207E-6	-8.16093E-3	-3.75327E-3
-4.69907E-1	-1.43687E-6	-8.86957E-3	-4.16787E-3
-4.79909E-1	-1.57274E-6	-9.70827E-3	-4.65909E-3
-4.89907E-1	-1.73598E-6	-1.07159E-2	-5.24981E-3
