Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.01004E+0	-1.50800E-4	-9.30864E-1	9.49707E-1
1.00004E+0	1.85445E-6	1.14472E-2	-1.15633E-2
9.90043E-1	1.81938E-6	1.12307E-2	-1.12312E-2
9.80044E-1	1.78545E-6	1.10213E-2	-1.09105E-2
9.70047E-1	1.75088E-6	1.08079E-2	-1.05901E-2
9.60042E-1	1.71684E-6	1.05978E-2	-1.02771E-2
9.50041E-1	1.68471E-6	1.03994E-2	-9.97970E-3
9.40040E-1	1.65307E-6	1.02041E-2	-9.68919E-3
9.30035E-1	1.62157E-6	1.00097E-2	-9.40340E-3
9.20036E-1	1.59007E-6	9.81525E-3	-9.12160E-3
9.10036E-1	1.55738E-6	9.61346E-3	-8.83696E-3
9.00035E-1	1.52620E-6	9.42099E-3	-8.56487E-3
8.90034E-1	1.49636E-6	9.23679E-3	-8.30410E-3
8.80033E-1	1.46551E-6	9.04636E-3	-8.04151E-3
8.70002E-1	1.43564E-6	8.86198E-3	-7.78781E-3
8.60000E-1	1.40675E-6	8.68364E-3	-7.54337E-3
8.49999E-1	1.37847E-6	8.50907E-3	-7.30576E-3
8.39999E-1	1.34941E-6	8.32969E-3	-7.06761E-3
8.30001E-1	1.32093E-6	8.15389E-3	-6.83610E-3
8.19998E-1	1.29445E-6	7.99043E-3	-6.61832E-3
8.09999E-1	1.26597E-6	7.81463E-3	-6.39378E-3
7.99997E-1	1.23970E-6	7.65247E-3	-6.18379E-3
7.89996E-1	1.21446E-6	7.49667E-3	-5.98216E-3
7.79989E-1	1.18668E-6	7.32519E-3	-5.77128E-3
7.69990E-1	1.16000E-6	7.16049E-3	-5.56920E-3
7.59991E-1	1.13564E-6	7.01012E-3	-5.38145E-3
7.49990E-1	1.10950E-6	6.84877E-3	-5.18839E-3
7.39987E-1	1.08496E-6	6.69728E-3	-5.00596E-3
7.29988E-1	1.06011E-6	6.54389E-3	-4.82521E-3
7.19989E-1	1.03613E-6	6.39586E-3	-4.65147E-3
7.09991E-1	1.01233E-6	6.24895E-3	-4.48151E-3
6.99986E-1	9.89130E-7	6.10574E-3	-4.31710E-3
6.89988E-1	9.65986E-7	5.96288E-3	-4.15587E-3
6.79991E-1	9.42970E-7	5.82080E-3	-3.99807E-3
6.69990E-1	9.21336E-7	5.68726E-3	-3.84890E-3
6.59989E-1	9.00290E-7	5.55735E-3	-3.70484E-3
6.49992E-1	8.78189E-7	5.42092E-3	-3.55915E-3
6.39995E-1	8.55971E-7	5.28377E-3	-3.41574E-3
6.29987E-1	8.35898E-7	5.15986E-3	-3.28348E-3
6.19985E-1	8.15044E-7	5.03114E-3	-3.15074E-3
6.09987E-1	7.94440E-7	4.90395E-3	-3.02156E-3
5.99985E-1	7.74703E-7	4.78212E-3	-2.89818E-3
5.89985E-1	7.54096E-7	4.65491E-3	-2.77407E-3
5.79984E-1	7.35075E-7	4.53750E-3	-2.65826E-3
5.69986E-1	7.15897E-7	4.41912E-3	-2.54428E-3
5.59988E-1	6.97988E-7	4.30857E-3	-2.43712E-3
5.49994E-1	6.80137E-7	4.19838E-3	-2.33241E-3
5.39989E-1	6.62577E-7	4.08998E-3	-2.23085E-3
5.29993E-1	6.44534E-7	3.97860E-3	-2.12993E-3
5.19987E-1	6.27038E-7	3.87060E-3	-2.03299E-3
5.09985E-1	6.10183E-7	3.76656E-3	-1.94029E-3
4.99987E-1	5.92536E-7	3.65763E-3	-1.84724E-3
4.89982E-1	5.76103E-7	3.55619E-3	-1.76007E-3
4.79983E-1	5.60398E-7	3.45925E-3	-1.67715E-3
4.69983E-1	5.44575E-7	3.36157E-3	-1.59584E-3
4.59984E-1	5.27874E-7	3.25848E-3	-1.51399E-3
4.49979E-1	5.12325E-7	3.16250E-3	-1.43743E-3
4.39983E-1	4.97022E-7	3.06804E-3	-1.36352E-3
4.29981E-1	4.82633E-7	2.97922E-3	-1.29395E-3
4.19982E-1	4.67830E-7	2.88784E-3	-1.22509E-3
4.09984E-1	4.53816E-7	2.80133E-3	-1.16010E-3
3.99988E-1	4.40029E-7	2.71623E-3	-1.09743E-3
3.89991E-1	4.26449E-7	2.63240E-3	-1.03698E-3
3.79986E-1	4.12341E-7	2.54531E-3	-9.76954E-4
3.69987E-1	3.99636E-7	2.46689E-3	-9.21936E-4
3.59990E-1	3.86638E-7	2.38665E-3	-8.67850E-4
3.49993E-1	3.73522E-7	2.30569E-3	-8.15127E-4
3.39982E-1	3.61256E-7	2.22998E-3	-7.65810E-4
3.29986E-1	3.49142E-7	2.15520E-3	-7.18369E-4
3.19984E-1	3.36777E-7	2.07887E-3	-6.71925E-4
3.09982E-1	3.25353E-7	2.00835E-3	-6.28841E-4
2.99985E-1	3.14005E-7	1.93830E-3	-5.87335E-4
2.89983E-1	3.02766E-7	1.86893E-3	-5.47431E-4
2.79988E-1	2.91682E-7	1.80051E-3	-5.09212E-4
2.69985E-1	2.80916E-7	1.73405E-3	-4.72896E-4
2.59986E-1	2.70554E-7	1.67009E-3	-4.38585E-4
2.49988E-1	2.60379E-7	1.60728E-3	-4.05859E-4
2.39989E-1	2.50517E-7	1.54640E-3	-3.74868E-4
2.29987E-1	2.40757E-7	1.48615E-3	-3.45249E-4
2.19992E-1	2.31442E-7	1.42865E-3	-3.17467E-4
2.09991E-1	2.22084E-7	1.37089E-3	-2.90782E-4
1.99986E-1	2.12875E-7	1.31404E-3	-2.65445E-4
1.89987E-1	2.03717E-7	1.25751E-3	-2.41324E-4
1.79987E-1	1.95134E-7	1.20453E-3	-2.18990E-4
1.69987E-1	1.86861E-7	1.15346E-3	-1.98054E-4
1.59986E-1	1.78353E-7	1.10094E-3	-1.77915E-4
1.49983E-1	1.70706E-7	1.05374E-3	-1.59640E-4
1.39983E-1	1.62430E-7	1.00265E-3	-1.41772E-4
1.29985E-1	1.54655E-7	9.54660E-4	-1.25345E-4
1.19986E-1	1.46871E-7	9.06611E-4	-1.09879E-4
1.09986E-1	1.40168E-7	8.65235E-4	-9.61249E-5
9.99880E-2	1.32758E-7	8.19494E-4	-8.27672E-5
8.99849E-2	1.25523E-7	7.74833E-4	-7.04276E-5
7.99873E-2	1.18804E-7	7.33358E-4	-5.92518E-5
6.99887E-2	1.12134E-7	6.92185E-4	-4.89345E-5
5.99904E-2	1.05274E-7	6.49840E-4	-3.93779E-5
4.99768E-2	9.84519E-8	6.07728E-4	-3.06791E-5
3.99768E-2	9.17314E-8	5.66243E-4	-2.28652E-5
2.99776E-2	8.53609E-8	5.26919E-4	-1.59553E-5
1.99771E-2	7.88369E-8	4.86648E-4	-9.82001E-6
9.97949E-3	7.20130E-8	4.44525E-4	-4.48094E-6
-2.12193E-5	6.53547E-8	4.03424E-4	8.64684E-9
-9.90748E-3	5.87706E-8	3.62781E-4	3.63056E-6
-1.99108E-2	5.23885E-8	3.23386E-4	6.50391E-6
-2.99094E-2	4.51581E-8	2.78754E-4	8.42157E-6
-3.99137E-2	3.79943E-8	2.34533E-4	9.45562E-6
-4.99110E-2	3.10100E-8	1.91420E-4	9.65046E-6
-5.99186E-2	2.39425E-8	1.47793E-4	8.94501E-6
-6.99153E-2	1.63042E-8	1.00643E-4	7.10758E-6
-7.99201E-2	8.63435E-9	5.32985E-5	4.30264E-6
-8.99072E-2	8.37438E-10	5.16937E-6	4.69458E-7
-9.99134E-2	-7.15635E-9	-4.41750E-5	-4.45826E-6
-1.09914E-1	-1.56083E-8	-9.63475E-5	-1.06969E-5
-1.19918E-1	-2.50072E-8	-1.54365E-4	-1.86982E-5
-1.29919E-1	-3.44894E-8	-2.12898E-4	-2.79388E-5
-1.39915E-1	-4.42444E-8	-2.73114E-4	-3.85987E-5
-1.49919E-1	-5.43137E-8	-3.35270E-4	-5.07710E-5
-1.59920E-1	-6.48863E-8	-4.00533E-4	-6.47002E-5
-1.69928E-1	-7.60248E-8	-4.69289E-4	-8.05508E-5
-1.79926E-1	-8.72411E-8	-5.38525E-4	-9.78734E-5
-1.89922E-1	-9.95171E-8	-6.14303E-4	-1.17848E-4
-1.99916E-1	-1.12019E-7	-6.91475E-4	-1.39633E-4
-2.09929E-1	-1.24950E-7	-7.71296E-4	-1.63553E-4
-2.19928E-1	-1.38780E-7	-8.56667E-4	-1.90308E-4
-2.29926E-1	-1.53310E-7	-9.46358E-4	-2.19790E-4
-2.39927E-1	-1.68171E-7	-1.03809E-3	-2.51582E-4
-2.49926E-1	-1.83314E-7	-1.13157E-3	-2.85665E-4
-2.59926E-1	-1.99749E-7	-1.23302E-3	-3.23731E-4
-2.69926E-1	-2.16986E-7	-1.33942E-3	-3.65196E-4
-2.79925E-1	-2.34861E-7	-1.44976E-3	-4.09923E-4
-2.89923E-1	-2.53266E-7	-1.56337E-3	-4.57835E-4
-2.99922E-1	-2.73037E-7	-1.68541E-3	-5.10599E-4
-3.09921E-1	-2.94003E-7	-1.81483E-3	-5.68136E-4
-3.19923E-1	-3.15985E-7	-1.95052E-3	-6.30321E-4
-3.29924E-1	-3.39294E-7	-2.09441E-3	-6.97975E-4
-3.39922E-1	-3.63247E-7	-2.24227E-3	-7.69894E-4
-3.49927E-1	-3.89722E-7	-2.40569E-3	-8.50320E-4
-3.59929E-1	-4.17324E-7	-2.57607E-3	-9.36569E-4
-3.69923E-1	-4.47010E-7	-2.75932E-3	-1.03105E-3
-3.79918E-1	-4.79238E-7	-2.95826E-3	-1.13525E-3
-3.89926E-1	-5.14264E-7	-3.17447E-3	-1.25031E-3
-3.99924E-1	-5.51734E-7	-3.40577E-3	-1.37581E-3
-4.09921E-1	-5.93278E-7	-3.66221E-3	-1.51638E-3
-4.19920E-1	-6.38112E-7	-3.93896E-3	-1.67076E-3
-4.29919E-1	-6.88856E-7	-4.25220E-3	-1.84657E-3
-4.39922E-1	-7.44995E-7	-4.59873E-3	-2.04352E-3
-4.49924E-1	-8.08199E-7	-4.98888E-3	-2.26729E-3
-4.59921E-1	-8.80578E-7	-5.43567E-3	-2.52523E-3
-4.69920E-1	-9.63445E-7	-5.94719E-3	-2.82293E-3
-4.79922E-1	-1.05904E-6	-6.53728E-3	-3.16908E-3
-4.89918E-1	-1.17219E-6	-7.23574E-3	-3.58073E-3
-4.99927E-1	-1.30554E-6	-8.05889E-3	-4.06955E-3
-5.09930E-1	-1.46536E-6	-9.04543E-3	-4.65913E-3
-5.19932E-1	-1.65725E-6	-1.02299E-2	-5.37260E-3
-5.29932E-1	-1.89044E-6	-1.16694E-2	-6.24644E-3
-5.39930E-1	-2.17633E-6	-1.34341E-2	-7.32676E-3
-5.49931E-1	-2.52866E-6	-1.56090E-2	-8.67059E-3
-5.59926E-1	-2.96705E-6	-1.83151E-2	-1.03587E-2
-5.69926E-1	-3.51488E-6	-2.16968E-2	-1.24905E-2
-5.79926E-1	-4.20514E-6	-2.59577E-2	-1.52056E-2
-5.89925E-1	-5.07872E-6	-3.13501E-2	-1.86810E-2
-5.99926E-1	-6.18808E-6	-3.81980E-2	-2.31475E-2
-6.09930E-1	-7.60783E-6	-4.69619E-2	-2.89328E-2
-6.19926E-1	-9.42783E-6	-5.81965E-2	-3.64419E-2
-6.29933E-1	-1.17712E-5	-7.26617E-2	-4.62344E-2
-6.39966E-1	-1.48063E-5	-9.13969E-2	-5.90817E-2
-6.49978E-1	-1.87256E-5	-1.15590E-1	-7.58899E-2
-6.59971E-1	-2.38005E-5	-1.46917E-1	-9.79401E-2
-6.69966E-1	-3.03745E-5	-1.87497E-1	-1.26885E-1
-6.79968E-1	-3.89149E-5	-2.40215E-1	-1.64989E-1
-6.89966E-1	-4.99772E-5	-3.08501E-1	-2.15005E-1
-6.99964E-1	-6.42917E-5	-3.96862E-1	-2.80595E-1
-7.09962E-1	-8.27395E-5	-5.10738E-1	-3.66267E-1
-7.19965E-1	-1.06424E-4	-6.56938E-1	-4.77750E-1
-7.29961E-1	-1.36535E-4	-8.42809E-1	-6.21432E-1
-7.39963E-1	-1.74558E-4	-1.07752E+0	-8.05378E-1
-7.49964E-1	-2.22004E-4	-1.37040E+0	-1.03813E+0
-7.59968E-1	-2.80466E-4	-1.73127E+0	-1.32900E+0
-7.69971E-1	-3.51366E-4	-2.16893E+0	-1.68688E+0
-7.79968E-1	-4.35917E-4	-2.69085E+0	-2.11997E+0
-7.89979E-1	-5.35202E-4	-3.30372E+0	-2.63623E+0
-7.99969E-1	-6.49393E-4	-4.00860E+0	-3.23915E+0
-8.09972E-1	-7.78840E-4	-4.80765E+0	-3.93340E+0
-8.19968E-1	-9.23158E-4	-5.69851E+0	-4.71979E+0
-8.29973E-1	-1.08210E-3	-6.67963E+0	-5.59991E+0
-8.39970E-1	-1.25429E-3	-7.74253E+0	-6.56919E+0
-8.49971E-1	-1.43889E-3	-8.88204E+0	-7.62573E+0
-8.59971E-1	-1.63497E-3	-1.00924E+1	-8.76685E+0
-8.69970E-1	-1.84175E-3	-1.13688E+1	-9.99044E+0
-8.79969E-1	-2.05804E-3	-1.27040E+1	-1.12920E+1
-8.89962E-1	-2.28294E-3	-1.40922E+1	-1.26682E+1
-8.99969E-1	-2.51597E-3	-1.55307E+1	-1.41183E+1
-9.09965E-1	-2.75613E-3	-1.70131E+1	-1.56377E+1
-9.19966E-1	-3.00258E-3	-1.85344E+1	-1.72233E+1
-9.29964E-1	-3.25498E-3	-2.00925E+1	-1.88740E+1
-9.39969E-1	-3.51268E-3	-2.16832E+1	-2.05874E+1
-9.49964E-1	-3.77498E-3	-2.33023E+1	-2.23600E+1
-9.59965E-1	-4.04183E-3	-2.49496E+1	-2.41926E+1
-9.69968E-1	-4.31293E-3	-2.66230E+1	-2.60843E+1
-9.79967E-1	-4.58746E-3	-2.83177E+1	-2.80307E+1
-9.89970E-1	-4.86587E-3	-3.00362E+1	-3.00353E+1
-9.99971E-1	-5.14731E-3	-3.17735E+1	-3.20935E+1
-1.00997E+0	-5.43176E-3	-3.35294E+1	-3.42057E+1
9.65046E-6	4.03424E-4	-8.99072E-2	2.63407E-1
5.44455E-5	1.10294E-3	-1.69926E-1	2.87598E-1
3.28684E-5	1.09655E-3	-1.09913E-1	2.69983E-1
1.67138E-7	2.12103E-4	-9.90725E-3	7.87427E-2
2.15175E-5	6.53395E-4	-1.19907E-1	2.71898E-1
