Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.01001E+0	5.29981E-6	3.27149E-2	-3.33761E-2
1.00003E+0	5.35055E-6	3.30281E-2	-3.33627E-2
9.90023E-1	5.28085E-6	3.25978E-2	-3.25986E-2
9.80023E-1	5.21197E-6	3.21727E-2	-3.18484E-2
9.70028E-1	5.14247E-6	3.17436E-2	-3.11033E-2
9.60023E-1	5.06999E-6	3.12962E-2	-3.03486E-2
9.50024E-1	5.00531E-6	3.08970E-2	-2.96494E-2
9.40031E-1	4.93738E-6	3.04777E-2	-2.89393E-2
9.30026E-1	4.86585E-6	3.00361E-2	-2.82165E-2
9.20027E-1	4.79928E-6	2.96252E-2	-2.75313E-2
9.10024E-1	4.73081E-6	2.92025E-2	-2.68434E-2
9.00026E-1	4.66277E-6	2.87825E-2	-2.61667E-2
8.90029E-1	4.59401E-6	2.83581E-2	-2.54945E-2
8.80028E-1	4.52383E-6	2.79249E-2	-2.48229E-2
8.69990E-1	4.45717E-6	2.75134E-2	-2.41782E-2
8.59989E-1	4.39062E-6	2.71026E-2	-2.35434E-2
8.49988E-1	4.32382E-6	2.66902E-2	-2.29155E-2
8.39993E-1	4.25963E-6	2.62940E-2	-2.23099E-2
8.29992E-1	4.19200E-6	2.58765E-2	-2.16943E-2
8.19985E-1	4.12566E-6	2.54670E-2	-2.10935E-2
8.09988E-1	4.06049E-6	2.50648E-2	-2.05072E-2
7.99989E-1	3.99673E-6	2.46712E-2	-1.99360E-2
7.89989E-1	3.93183E-6	2.42706E-2	-1.93671E-2
7.79978E-1	3.86851E-6	2.38797E-2	-1.88138E-2
7.69979E-1	3.80428E-6	2.34832E-2	-1.82642E-2
7.59977E-1	3.74035E-6	2.30886E-2	-1.77240E-2
7.49980E-1	3.67836E-6	2.27059E-2	-1.72010E-2
7.39977E-1	3.61391E-6	2.23081E-2	-1.66742E-2
7.29977E-1	3.55116E-6	2.19207E-2	-1.61633E-2
7.19979E-1	3.48732E-6	2.15267E-2	-1.56553E-2
7.09980E-1	3.42712E-6	2.11551E-2	-1.51714E-2
6.99982E-1	3.36650E-6	2.07809E-2	-1.46932E-2
6.89981E-1	3.30447E-6	2.03980E-2	-1.42164E-2
6.79985E-1	3.24243E-6	2.00150E-2	-1.37474E-2
6.69978E-1	3.18101E-6	1.96359E-2	-1.32885E-2
6.59980E-1	3.12184E-6	1.92706E-2	-1.28467E-2
6.49983E-1	3.06244E-6	1.89040E-2	-1.24114E-2
6.39987E-1	3.00314E-6	1.85379E-2	-1.19839E-2
6.29979E-1	2.94361E-6	1.81704E-2	-1.15626E-2
6.19978E-1	2.88462E-6	1.78063E-2	-1.11510E-2
6.09978E-1	2.82562E-6	1.74421E-2	-1.07468E-2
5.99977E-1	2.76650E-6	1.70772E-2	-1.03494E-2
5.89983E-1	2.71012E-6	1.67291E-2	-9.96960E-3
5.79986E-1	2.65378E-6	1.63814E-2	-9.59693E-3
5.69986E-1	2.59714E-6	1.60317E-2	-9.23016E-3
5.59984E-1	2.54056E-6	1.56825E-2	-8.87064E-3
5.49987E-1	2.48597E-6	1.53455E-2	-8.52507E-3
5.39981E-1	2.42921E-6	1.49951E-2	-8.17887E-3
5.29984E-1	2.37422E-6	1.46557E-2	-7.84573E-3
5.19979E-1	2.31972E-6	1.43193E-2	-7.52092E-3
5.09979E-1	2.26394E-6	1.39749E-2	-7.19891E-3
4.99981E-1	2.21217E-6	1.36554E-2	-6.89639E-3
4.89980E-1	2.15954E-6	1.33305E-2	-6.59765E-3
4.79983E-1	2.10644E-6	1.30027E-2	-6.30412E-3
4.69986E-1	2.05361E-6	1.26766E-2	-6.01801E-3
4.59984E-1	2.00032E-6	1.23477E-2	-5.73709E-3
4.49981E-1	1.94730E-6	1.20204E-2	-5.46357E-3
4.39982E-1	1.89729E-6	1.17117E-2	-5.20497E-3
4.29981E-1	1.84681E-6	1.14001E-2	-4.95132E-3
4.19984E-1	1.79674E-6	1.10910E-2	-4.70509E-3
4.09986E-1	1.74574E-6	1.07762E-2	-4.46271E-3
3.99986E-1	1.69597E-6	1.04690E-2	-4.22973E-3
3.89986E-1	1.64736E-6	1.01689E-2	-4.00578E-3
3.79981E-1	1.59908E-6	9.87086E-3	-3.78863E-3
3.69980E-1	1.55102E-6	9.57420E-3	-3.57804E-3
3.59981E-1	1.50335E-6	9.27994E-3	-3.37434E-3
3.49983E-1	1.45628E-6	8.98938E-3	-3.17791E-3
3.39973E-1	1.40986E-6	8.70284E-3	-2.98862E-3
3.29978E-1	1.36329E-6	8.41537E-3	-2.80494E-3
3.19979E-1	1.31800E-6	8.13580E-3	-2.62958E-3
3.09979E-1	1.27175E-6	7.85031E-3	-2.45801E-3
2.99980E-1	1.22788E-6	7.57951E-3	-2.29667E-3
2.89979E-1	1.18262E-6	7.30012E-3	-2.13827E-3
2.79986E-1	1.13863E-6	7.02858E-3	-1.98778E-3
2.69983E-1	1.09547E-6	6.76216E-3	-1.84411E-3
2.59985E-1	1.05139E-6	6.49006E-3	-1.70436E-3
2.49984E-1	1.00995E-6	6.23426E-3	-1.57421E-3
2.39982E-1	9.68222E-7	5.97668E-3	-1.44878E-3
2.29976E-1	9.27380E-7	5.72457E-3	-1.32981E-3
2.19979E-1	8.86636E-7	5.47306E-3	-1.21612E-3
2.09978E-1	8.45610E-7	5.21981E-3	-1.10712E-3
1.99970E-1	8.05428E-7	4.97178E-3	-1.00425E-3
1.89971E-1	7.66114E-7	4.72910E-3	-9.07466E-4
1.79976E-1	7.27361E-7	4.48988E-3	-8.16233E-4
1.69978E-1	6.88298E-7	4.24875E-3	-7.29489E-4
1.59971E-1	6.50134E-7	4.01317E-3	-6.48476E-4
1.49976E-1	6.13236E-7	3.78541E-3	-5.73455E-4
1.39975E-1	5.76092E-7	3.55612E-3	-5.02796E-4
1.29977E-1	5.40070E-7	3.33377E-3	-4.37690E-4
1.19977E-1	5.03341E-7	3.10704E-3	-3.76539E-4
1.09979E-1	4.68061E-7	2.88927E-3	-3.20968E-4
9.99763E-2	4.32804E-7	2.67163E-3	-2.69798E-4
8.99730E-2	3.97972E-7	2.45662E-3	-2.23262E-4
7.99780E-2	3.63276E-7	2.24244E-3	-1.81158E-4
6.99780E-2	3.29233E-7	2.03230E-3	-1.43653E-4
5.99787E-2	2.95206E-7	1.82226E-3	-1.10401E-4
4.99685E-2	2.61637E-7	1.61504E-3	-8.15165E-5
3.99702E-2	2.28027E-7	1.40757E-3	-5.68293E-5
2.99726E-2	1.94778E-7	1.20233E-3	-3.64011E-5
1.99749E-2	1.66129E-7	1.02549E-3	-2.06909E-5
