Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.00999E+0	3.14123E-6	1.93903E-2	-2.01897E-2
9.99993E-1	2.44057E-3	1.50652E+1	-1.55311E+1
9.89990E-1	2.43439E-3	1.50271E+1	-1.53368E+1
9.79989E-1	2.42116E-3	1.49454E+1	-1.50993E+1
9.69988E-1	2.41491E-3	1.49069E+1	-1.49067E+1
9.59988E-1	2.41303E-3	1.48952E+1	-1.47415E+1
9.49985E-1	2.39814E-3	1.48033E+1	-1.44979E+1
9.39981E-1	2.40160E-3	1.48247E+1	-1.43659E+1
9.29975E-1	2.40331E-3	1.48352E+1	-1.42231E+1
9.19975E-1	2.40356E-3	1.48368E+1	-1.40716E+1
9.09975E-1	2.40512E-3	1.48464E+1	-1.39277E+1
8.99977E-1	2.39676E-3	1.47948E+1	-1.37268E+1
8.89976E-1	2.39080E-3	1.47580E+1	-1.35405E+1
8.79974E-1	2.39469E-3	1.47820E+1	-1.34101E+1
8.69943E-1	2.38933E-3	1.47490E+1	-1.32276E+1
8.59943E-1	2.38893E-3	1.47465E+1	-1.30733E+1
8.49941E-1	2.39119E-3	1.47604E+1	-1.29335E+1
8.39942E-1	2.38661E-3	1.47322E+1	-1.27569E+1
8.29945E-1	2.38877E-3	1.47455E+1	-1.26164E+1
8.19941E-1	2.39550E-3	1.47870E+1	-1.24995E+1
8.09943E-1	2.38428E-3	1.47178E+1	-1.22892E+1
7.99944E-1	2.38918E-3	1.47480E+1	-1.21625E+1
7.89944E-1	2.39138E-3	1.47616E+1	-1.20215E+1
7.79937E-1	2.38384E-3	1.47151E+1	-1.18318E+1
7.69936E-1	2.38339E-3	1.47123E+1	-1.16779E+1
7.59936E-1	2.38615E-3	1.47293E+1	-1.15395E+1
7.49939E-1	2.37769E-3	1.46771E+1	-1.13473E+1
7.39933E-1	2.38222E-3	1.47051E+1	-1.12173E+1
7.29937E-1	2.37978E-3	1.46900E+1	-1.10544E+1
7.19939E-1	2.37916E-3	1.46862E+1	-1.09002E+1
7.09939E-1	2.38006E-3	1.46917E+1	-1.07528E+1
