Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.01001E+0	2.48270E-5	1.53253E-1	-1.58756E-1
1.00001E+0	2.48163E-3	1.53187E+1	-1.57116E+1
9.90012E-1	2.47393E-3	1.52712E+1	-1.55063E+1
9.80012E-1	2.47653E-3	1.52872E+1	-1.53658E+1
9.70015E-1	2.47360E-3	1.52691E+1	-1.51911E+1
9.60013E-1	2.47468E-3	1.52758E+1	-1.50410E+1
9.50016E-1	2.47911E-3	1.53031E+1	-1.49110E+1
9.40019E-1	2.47306E-3	1.52658E+1	-1.47181E+1
9.30012E-1	2.47421E-3	1.52729E+1	-1.45682E+1
9.20010E-1	2.47505E-3	1.52781E+1	-1.44164E+1
9.10009E-1	2.46434E-3	1.52120E+1	-1.41980E+1
9.00014E-1	2.46163E-3	1.51952E+1	-1.40266E+1
8.90013E-1	2.47311E-3	1.52661E+1	-1.39354E+1
8.80015E-1	2.46922E-3	1.52421E+1	-1.37572E+1
8.69981E-1	2.47293E-3	1.52650E+1	-1.36208E+1
8.59982E-1	2.47400E-3	1.52716E+1	-1.34701E+1
8.49982E-1	2.47306E-3	1.52658E+1	-1.33084E+1
8.39979E-1	2.47224E-3	1.52607E+1	-1.31474E+1
8.29979E-1	2.47119E-3	1.52543E+1	-1.29853E+1
8.19973E-1	2.46357E-3	1.52072E+1	-1.27892E+1
8.09975E-1	2.46815E-3	1.52355E+1	-1.26568E+1
7.99974E-1	2.46027E-3	1.51869E+1	-1.24606E+1
7.89977E-1	2.46454E-3	1.52132E+1	-1.23262E+1
7.79969E-1	2.45874E-3	1.51774E+1	-1.21414E+1
7.69966E-1	2.45675E-3	1.51651E+1	-1.19760E+1
7.59970E-1	2.46112E-3	1.51921E+1	-1.18416E+1
7.49964E-1	2.45780E-3	1.51716E+1	-1.16699E+1
7.39963E-1	2.46949E-3	1.52438E+1	-1.15690E+1
7.29965E-1	2.46016E-3	1.51862E+1	-1.13696E+1
7.19967E-1	2.45801E-3	1.51729E+1	-1.12041E+1
7.09967E-1	2.46338E-3	1.52060E+1	-1.10726E+1
6.99970E-1	2.45706E-3	1.51670E+1	-1.08887E+1
6.89970E-1	2.45218E-3	1.51369E+1	-1.07118E+1
6.79973E-1	2.45251E-3	1.51390E+1	-1.05580E+1
