Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.01001E+0	7.39584E-6	4.56533E-2	-4.68601E-2
1.00001E+0	7.34929E-6	4.53660E-2	-4.61041E-2
9.90006E-1	7.24047E-6	4.46943E-2	-4.49671E-2
9.80010E-1	7.12053E-6	4.39539E-2	-4.37757E-2
9.70010E-1	7.02000E-6	4.33333E-2	-4.27172E-2
9.60006E-1	6.91231E-6	4.26686E-2	-4.16281E-2
9.50008E-1	6.79844E-6	4.19657E-2	-4.05160E-2
9.40009E-1	6.68803E-6	4.12841E-2	-3.94385E-2
9.30002E-1	6.57552E-6	4.05896E-2	-3.83622E-2
9.20002E-1	6.46785E-6	3.99250E-2	-3.73283E-2
9.10007E-1	6.36286E-6	3.92769E-2	-3.63234E-2
9.00007E-1	6.25998E-6	3.86419E-2	-3.53434E-2
8.90007E-1	6.16119E-6	3.80320E-2	-3.43992E-2
8.80007E-1	6.05695E-6	3.73886E-2	-3.34372E-2
8.69973E-1	5.95585E-6	3.67645E-2	-3.25042E-2
8.59974E-1	5.85497E-6	3.61418E-2	-3.15864E-2
8.49971E-1	5.75661E-6	3.55346E-2	-3.06945E-2
8.39973E-1	5.64948E-6	3.48733E-2	-2.97690E-2
8.29972E-1	5.55093E-6	3.42650E-2	-2.89014E-2
8.19967E-1	5.44836E-6	3.36319E-2	-2.80254E-2
8.09971E-1	5.35174E-6	3.30354E-2	-2.71928E-2
7.99967E-1	5.25934E-6	3.24651E-2	-2.63933E-2
7.89970E-1	5.16367E-6	3.18745E-2	-2.55893E-2
7.79960E-1	5.06418E-6	3.12604E-2	-2.47783E-2
7.69963E-1	4.96443E-6	3.06446E-2	-2.39789E-2
7.59964E-1	4.87269E-6	3.00783E-2	-2.32301E-2
7.49967E-1	4.78329E-6	2.95265E-2	-2.25039E-2
7.39961E-1	4.68572E-6	2.89242E-2	-2.17508E-2
7.29961E-1	4.58919E-6	2.83283E-2	-2.10148E-2
7.19963E-1	4.49763E-6	2.77631E-2	-2.03135E-2
7.09962E-1	4.41253E-6	2.72378E-2	-1.96523E-2
6.99971E-1	4.32067E-6	2.66708E-2	-1.89723E-2
6.89969E-1	4.22986E-6	2.61102E-2	-1.83082E-2
6.79971E-1	4.13893E-6	2.55490E-2	-1.76550E-2
6.69969E-1	4.05099E-6	2.50061E-2	-1.70257E-2
6.59970E-1	3.96900E-6	2.45000E-2	-1.64322E-2
6.49974E-1	3.87804E-6	2.39385E-2	-1.58124E-2
6.39974E-1	3.80194E-6	2.34688E-2	-1.52636E-2
6.29969E-1	3.71544E-6	2.29348E-2	-1.46832E-2
6.19968E-1	3.63012E-6	2.24081E-2	-1.41182E-2
6.09971E-1	3.54447E-6	2.18794E-2	-1.35628E-2
5.99969E-1	3.46537E-6	2.13912E-2	-1.30427E-2
5.89970E-1	3.38625E-6	2.09028E-2	-1.25325E-2
5.79969E-1	3.30953E-6	2.04292E-2	-1.20410E-2
5.69973E-1	3.23273E-6	1.99551E-2	-1.15588E-2
5.59976E-1	3.15426E-6	1.94707E-2	-1.10804E-2
5.49981E-1	3.07209E-6	1.89635E-2	-1.05992E-2
5.39976E-1	3.00162E-6	1.85285E-2	-1.01676E-2
5.29978E-1	2.92477E-6	1.80541E-2	-9.72388E-3
5.19972E-1	2.85048E-6	1.75956E-2	-9.29796E-3
5.09974E-1	2.77292E-6	1.71168E-2	-8.87105E-3
4.99975E-1	2.69888E-6	1.66598E-2	-8.46490E-3
4.89972E-1	2.62637E-6	1.62122E-2	-8.07267E-3
4.79971E-1	2.55576E-6	1.57763E-2	-7.69529E-3
4.69971E-1	2.48506E-6	1.53399E-2	-7.32652E-3
4.59972E-1	2.41367E-6	1.48992E-2	-6.96465E-3
4.49967E-1	2.34473E-6	1.44736E-2	-6.61856E-3
4.39972E-1	2.28036E-6	1.40763E-2	-6.29388E-3
4.29972E-1	2.21089E-6	1.36475E-2	-5.96344E-3
4.19971E-1	2.14457E-6	1.32381E-2	-5.65001E-3
4.09969E-1	2.07717E-6	1.28220E-2	-5.34211E-3
3.99966E-1	2.01083E-6	1.24125E-2	-5.04532E-3
3.89970E-1	1.94592E-6	1.20119E-2	-4.76043E-3
3.79966E-1	1.88375E-6	1.16281E-2	-4.49012E-3
3.69968E-1	1.81929E-6	1.12302E-2	-4.22237E-3
3.59969E-1	1.75630E-6	1.08414E-2	-3.96601E-3
3.49970E-1	1.69631E-6	1.04710E-2	-3.72414E-3
3.39963E-1	1.63544E-6	1.00953E-2	-3.48784E-3
3.29966E-1	1.57490E-6	9.72160E-3	-3.25996E-3
3.19966E-1	1.51701E-6	9.36426E-3	-3.04496E-3
3.09965E-1	1.45985E-6	9.01142E-3	-2.83864E-3
2.99969E-1	1.40278E-6	8.65914E-3	-2.63971E-3
2.89965E-1	1.34714E-6	8.31568E-3	-2.45046E-3
2.79968E-1	1.29107E-6	7.96957E-3	-2.26750E-3
2.69971E-1	1.23636E-6	7.63185E-3	-2.09388E-3
2.59969E-1	1.18299E-6	7.30241E-3	-1.92927E-3
2.49971E-1	1.13080E-6	6.98025E-3	-1.77323E-3
2.39972E-1	1.07828E-6	6.65605E-3	-1.62324E-3
2.29970E-1	1.02851E-6	6.34883E-3	-1.48378E-3
2.19964E-1	9.78166E-7	6.03806E-3	-1.34975E-3
2.09965E-1	9.28917E-7	5.73406E-3	-1.22353E-3
1.99956E-1	8.78895E-7	5.42528E-3	-1.10246E-3
1.89957E-1	8.31190E-7	5.13080E-3	-9.90480E-4
1.79957E-1	7.85260E-7	4.84728E-3	-8.86486E-4
1.69963E-1	7.38004E-7	4.55558E-3	-7.86870E-4
1.59957E-1	6.90694E-7	4.26354E-3	-6.93073E-4
1.49956E-1	6.46206E-7	3.98893E-3	-6.07890E-4
1.39958E-1	6.01512E-7	3.71304E-3	-5.28119E-4
1.29958E-1	5.59077E-7	3.45109E-3	-4.55790E-4
1.19961E-1	5.16951E-7	3.19106E-3	-3.89027E-4
1.09964E-1	4.73828E-7	2.92486E-3	-3.26860E-4
9.99625E-2	4.33268E-7	2.67449E-3	-2.71696E-4
8.99587E-2	3.93359E-7	2.42814E-3	-2.21984E-4
7.99589E-2	3.53185E-7	2.18015E-3	-1.77157E-4
6.99611E-2	3.14518E-7	1.94147E-3	-1.38036E-4
5.99587E-2	2.75216E-7	1.69886E-3	-1.03518E-4
4.99518E-2	2.37216E-7	1.46430E-3	-7.43336E-5
3.99535E-2	1.99681E-7	1.23260E-3	-5.00474E-5
2.99544E-2	1.67547E-7	1.03424E-3	-3.14838E-5
1.99549E-2	1.25116E-7	7.72321E-4	-1.56622E-5
9.94825E-3	8.83309E-8	5.45252E-4	-5.51251E-6
-4.67300E-5	5.33272E-8	3.29180E-4	1.56327E-8
-9.90820E-3	1.73179E-8	1.06901E-4	1.07642E-6
-1.99144E-2	-1.68758E-8	-1.04172E-4	-2.10825E-6
-2.99158E-2	-5.65740E-8	-3.49222E-4	-1.06171E-5
-3.99172E-2	-9.47139E-8	-5.84654E-4	-2.37172E-5
-4.99105E-2	-1.34288E-7	-8.28938E-4	-4.20455E-5
-5.99184E-2	-1.73497E-7	-1.07097E-3	-6.52142E-5
-6.99198E-2	-2.11933E-7	-1.30823E-3	-9.29584E-5
-7.99205E-2	-2.50510E-7	-1.54636E-3	-1.25595E-4
-8.99167E-2	-2.90746E-7	-1.79473E-3	-1.64000E-4
-9.99205E-2	-3.31588E-7	-2.04684E-3	-2.07847E-4
-1.09918E-1	-3.73000E-7	-2.30247E-3	-2.57198E-4
-1.19920E-1	-4.14984E-7	-2.56163E-3	-3.12186E-4
-1.29923E-1	-4.57927E-7	-2.82671E-3	-3.73226E-4
-1.39925E-1	-5.02600E-7	-3.10247E-3	-4.41172E-4
