Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.01001E+0	3.01326E-6	1.86004E-2	-1.90920E-2
1.00001E+0	3.00699E-3	1.85617E+1	-1.88637E+1
9.90009E-1	3.01162E-3	1.85902E+1	-1.87038E+1
9.80009E-1	3.02045E-3	1.86448E+1	-1.85691E+1
9.70012E-1	3.01392E-3	1.86044E+1	-1.83400E+1
9.60011E-1	3.01945E-3	1.86386E+1	-1.81842E+1
9.50012E-1	3.01522E-3	1.86125E+1	-1.79696E+1
9.40010E-1	3.00626E-3	1.85572E+1	-1.77276E+1
9.30005E-1	3.01389E-3	1.86043E+1	-1.75834E+1
9.20010E-1	3.01638E-3	1.86196E+1	-1.74088E+1
9.10010E-1	3.00729E-3	1.85635E+1	-1.71677E+1
9.00015E-1	3.00993E-3	1.85798E+1	-1.69940E+1
8.90011E-1	3.02055E-3	1.86454E+1	-1.68644E+1
8.80015E-1	3.01771E-3	1.86278E+1	-1.66593E+1
8.69985E-1	3.01651E-3	1.86204E+1	-1.64629E+1
8.59984E-1	3.01595E-3	1.86170E+1	-1.62706E+1
8.49986E-1	3.02064E-3	1.86459E+1	-1.61065E+1
8.39979E-1	3.00861E-3	1.85717E+1	-1.58535E+1
8.29981E-1	3.02123E-3	1.86496E+1	-1.57305E+1
8.19978E-1	3.02118E-3	1.86493E+1	-1.55406E+1
8.09979E-1	3.00660E-3	1.85593E+1	-1.52770E+1
7.99977E-1	3.01391E-3	1.86044E+1	-1.51251E+1
7.89981E-1	3.01688E-3	1.86227E+1	-1.49508E+1
7.79968E-1	3.00807E-3	1.85683E+1	-1.47182E+1
7.69970E-1	3.00590E-3	1.85549E+1	-1.45191E+1
7.59970E-1	3.01835E-3	1.86318E+1	-1.43898E+1
7.49969E-1	3.00927E-3	1.85757E+1	-1.41578E+1
7.39966E-1	3.00957E-3	1.85776E+1	-1.39703E+1
7.29968E-1	3.02158E-3	1.86517E+1	-1.38365E+1
7.19968E-1	3.00723E-3	1.85631E+1	-1.35822E+1
7.09967E-1	3.01029E-3	1.85820E+1	-1.34071E+1
6.99968E-1	3.00903E-3	1.85743E+1	-1.32128E+1
6.89968E-1	3.00997E-3	1.85801E+1	-1.30281E+1
6.79973E-1	3.01332E-3	1.86007E+1	-1.28537E+1
6.69968E-1	3.01598E-3	1.86172E+1	-1.26757E+1
6.59969E-1	3.01263E-3	1.85965E+1	-1.24727E+1
6.49971E-1	3.00377E-3	1.85418E+1	-1.22476E+1
6.39971E-1	3.01610E-3	1.86179E+1	-1.21087E+1
6.29965E-1	3.02012E-3	1.86427E+1	-1.19352E+1
6.19966E-1	3.00875E-3	1.85725E+1	-1.17016E+1
6.09969E-1	3.01444E-3	1.86077E+1	-1.15346E+1
5.99971E-1	3.01695E-3	1.86231E+1	-1.13550E+1
5.89973E-1	3.00657E-3	1.85591E+1	-1.11274E+1
5.79972E-1	3.01706E-3	1.86238E+1	-1.09769E+1
5.69975E-1	3.01555E-3	1.86145E+1	-1.07823E+1
5.59974E-1	3.00762E-3	1.85656E+1	-1.05653E+1
5.49977E-1	3.01865E-3	1.86336E+1	-1.04147E+1
5.39977E-1	3.02104E-3	1.86484E+1	-1.02334E+1
5.29978E-1	3.01152E-3	1.85896E+1	-1.00123E+1
5.19976E-1	3.00522E-3	1.85507E+1	-9.80278E+0
5.09975E-1	3.01409E-3	1.86055E+1	-9.64262E+0
4.99976E-1	3.00595E-3	1.85552E+1	-9.42803E+0
4.89969E-1	3.00586E-3	1.85547E+1	-9.23905E+0
4.79972E-1	3.01780E-3	1.86284E+1	-9.08649E+0
4.69973E-1	3.00967E-3	1.85782E+1	-8.87323E+0
4.59975E-1	3.00945E-3	1.85769E+1	-8.68383E+0
4.49972E-1	3.01618E-3	1.86184E+1	-8.51398E+0
4.39974E-1	3.00654E-3	1.85589E+1	-8.29820E+0
4.29970E-1	3.01543E-3	1.86138E+1	-8.13350E+0
4.19973E-1	3.01789E-3	1.86290E+1	-7.95087E+0
4.09976E-1	3.00348E-3	1.85400E+1	-7.72455E+0
3.99978E-1	3.00111E-3	1.85254E+1	-7.53022E+0
3.89978E-1	3.01469E-3	1.86092E+1	-7.37518E+0
3.79977E-1	3.01373E-3	1.86033E+1	-7.18376E+0
3.69979E-1	3.00928E-3	1.85758E+1	-6.98441E+0
3.59981E-1	3.01256E-3	1.85960E+1	-6.80307E+0
3.49982E-1	3.00138E-3	1.85270E+1	-6.58956E+0
3.39971E-1	3.01805E-3	1.86299E+1	-6.43662E+0
3.29973E-1	3.01699E-3	1.86234E+1	-6.24514E+0
3.19973E-1	3.00912E-3	1.85748E+1	-6.04008E+0
3.09971E-1	3.01132E-3	1.85884E+1	-5.85555E+0
2.99972E-1	2.99771E-3	1.85044E+1	-5.64105E+0
2.89969E-1	2.99371E-3	1.84797E+1	-5.44567E+0
2.79974E-1	3.00489E-3	1.85487E+1	-5.27760E+0
2.69976E-1	3.00388E-3	1.85425E+1	-5.08742E+0
2.59973E-1	2.99709E-3	1.85006E+1	-4.88785E+0
2.49972E-1	3.00258E-3	1.85344E+1	-4.70843E+0
2.39974E-1	3.00953E-3	1.85773E+1	-4.53057E+0
2.29972E-1	3.00669E-3	1.85598E+1	-4.33764E+0
2.19971E-1	2.99680E-3	1.84988E+1	-4.13536E+0
2.09969E-1	3.00306E-3	1.85374E+1	-3.95557E+0
1.99966E-1	3.01083E-3	1.85854E+1	-3.77687E+0
1.89963E-1	3.00325E-3	1.85386E+1	-3.57891E+0
1.79962E-1	3.00626E-3	1.85572E+1	-3.39389E+0
1.69969E-1	3.00697E-3	1.85615E+1	-3.20619E+0
1.59967E-1	2.99247E-3	1.84720E+1	-3.00296E+0
1.49968E-1	2.99613E-3	1.84946E+1	-2.81870E+0
1.39967E-1	3.00410E-3	1.85438E+1	-2.63773E+0
1.29968E-1	2.99491E-3	1.84871E+1	-2.44180E+0
1.19970E-1	2.99141E-3	1.84655E+1	-2.25133E+0
1.09971E-1	3.00241E-3	1.85334E+1	-2.07128E+0
9.99725E-2	2.99578E-3	1.84925E+1	-1.87880E+0
8.99653E-2	2.99247E-3	1.84720E+1	-1.68886E+0
7.99663E-2	2.99726E-3	1.85016E+1	-1.50356E+0
6.99689E-2	2.98646E-3	1.84349E+1	-1.31085E+0
5.99678E-2	2.99183E-3	1.84681E+1	-1.12550E+0
4.99585E-2	2.99795E-3	1.85059E+1	-9.39558E-1
3.99609E-2	2.98271E-3	1.84118E+1	-7.47715E-1
2.99666E-2	2.99053E-3	1.84601E+1	-5.62180E-1
1.99676E-2	2.98763E-3	1.84422E+1	-3.74233E-1
9.96447E-3	2.98532E-3	1.84279E+1	-1.86610E-1
-3.40939E-5	2.98977E-3	1.84554E+1	6.39447E-4
-9.89771E-3	2.99004E-3	1.84570E+1	1.85653E-1
-1.98998E-2	2.97563E-3	1.83681E+1	3.71465E-1
-2.99017E-2	2.97230E-3	1.83475E+1	5.57543E-1
-3.99001E-2	2.97931E-3	1.83908E+1	7.45726E-1
-4.99005E-2	2.97740E-3	1.83790E+1	9.32034E-1
-5.99082E-2	2.97284E-3	1.83509E+1	1.11724E+0
-6.99019E-2	2.98515E-3	1.84269E+1	1.30902E+0
-7.99024E-2	2.96877E-3	1.83257E+1	1.48808E+0
-8.99014E-2	2.96462E-3	1.83001E+1	1.67196E+0
-9.99086E-2	2.97223E-3	1.83471E+1	1.86284E+0
-1.09909E-1	2.96664E-3	1.83126E+1	2.04545E+0
-1.19911E-1	2.96828E-3	1.83227E+1	2.23282E+0
-1.29910E-1	2.96745E-3	1.83176E+1	2.41833E+0
-1.39909E-1	2.97060E-3	1.83370E+1	2.60723E+0
-1.49911E-1	2.95804E-3	1.82595E+1	2.78181E+0
-1.59907E-1	2.96089E-3	1.82771E+1	2.97016E+0
-1.69912E-1	2.96394E-3	1.82959E+1	3.15925E+0
-1.79911E-1	2.95203E-3	1.82224E+1	3.33172E+0
-1.89913E-1	2.93859E-3	1.81394E+1	3.50093E+0
-1.99913E-1	2.94489E-3	1.81783E+1	3.69318E+0
-2.09921E-1	2.94942E-3	1.82063E+1	3.88403E+0
-2.19919E-1	2.93733E-3	1.81317E+1	4.05234E+0
-2.29920E-1	2.93104E-3	1.80928E+1	4.22755E+0
-2.39927E-1	2.93377E-3	1.81097E+1	4.41565E+0
-2.49923E-1	2.94154E-3	1.81577E+1	4.61180E+0
-2.59923E-1	2.93755E-3	1.81330E+1	4.78983E+0
-2.69922E-1	2.92825E-3	1.80756E+1	4.95834E+0
-2.79924E-1	2.92833E-3	1.80761E+1	5.14221E+0
-2.89924E-1	2.92624E-3	1.80632E+1	5.32211E+0
-2.99920E-1	2.90939E-3	1.79592E+1	5.47391E+0
-3.09920E-1	2.89979E-3	1.78999E+1	5.63775E+0
-3.19924E-1	2.90450E-3	1.79290E+1	5.82919E+0
-3.29924E-1	2.90481E-3	1.79309E+1	6.01204E+0
-3.39921E-1	2.89160E-3	1.78494E+1	6.16604E+0
-3.49928E-1	2.88413E-3	1.78033E+1	6.33116E+0
-3.59927E-1	2.87650E-3	1.77562E+1	6.49484E+0
-3.69927E-1	2.85704E-3	1.76360E+1	6.63013E+0
-3.79924E-1	2.86035E-3	1.76565E+1	6.81720E+0
-3.89928E-1	2.84913E-3	1.75872E+1	6.96926E+0
-3.99928E-1	2.83009E-3	1.74697E+1	7.10022E+0
-4.09929E-1	2.82496E-3	1.74380E+1	7.26459E+0
-4.19927E-1	2.80248E-3	1.72993E+1	7.38255E+0
-4.29929E-1	2.78515E-3	1.71923E+1	7.51165E+0
-4.39929E-1	2.77948E-3	1.71573E+1	7.67072E+0
-4.49924E-1	2.76071E-3	1.70414E+1	7.79202E+0
-4.59928E-1	2.73785E-3	1.69003E+1	7.89931E+0
-4.69929E-1	2.71072E-3	1.67328E+1	7.99110E+0
-4.79927E-1	2.68647E-3	1.65831E+1	8.08811E+0
-4.89923E-1	2.65181E-3	1.63692E+1	8.15005E+0
-4.99931E-1	2.62293E-3	1.61909E+1	8.22596E+0
-5.09930E-1	2.59504E-3	1.60188E+1	8.30127E+0
-5.19928E-1	2.54885E-3	1.57336E+1	8.31338E+0
-5.29929E-1	2.50931E-3	1.54896E+1	8.34184E+0
-5.39931E-1	2.46619E-3	1.52234E+1	8.35323E+0
-5.49931E-1	2.40937E-3	1.48727E+1	8.31192E+0
-5.59930E-1	2.36134E-3	1.45762E+1	8.29435E+0
-5.69926E-1	2.29797E-3	1.41850E+1	8.21585E+0
-5.79927E-1	2.23358E-3	1.37875E+1	8.12577E+0
-5.89927E-1	2.17443E-3	1.34224E+1	8.04699E+0
-5.99925E-1	2.10555E-3	1.29972E+1	7.92414E+0
-6.09928E-1	2.02992E-3	1.25304E+1	7.76689E+0
-6.19929E-1	1.95572E-3	1.20723E+1	7.60569E+0
-6.29930E-1	1.87406E-3	1.15683E+1	7.40569E+0
-6.39959E-1	1.78735E-3	1.10330E+1	7.17549E+0
-6.49966E-1	1.70358E-3	1.05159E+1	6.94613E+0
-6.59966E-1	1.61134E-3	9.94654E+0	6.67112E+0
-6.69967E-1	1.51814E-3	9.37123E+0	6.38051E+0
-6.79970E-1	1.42690E-3	8.80802E+0	6.08658E+0
-6.89972E-1	1.32700E-3	8.19136E+0	5.74371E+0
-6.99970E-1	1.22778E-3	7.57889E+0	5.39125E+0
-7.09971E-1	1.12805E-3	6.96327E+0	5.02411E+0
-7.19967E-1	1.02275E-3	6.31327E+0	4.61926E+0
-7.29965E-1	9.17734E-4	5.66502E+0	4.20251E+0
-7.39964E-1	8.12194E-4	5.01354E+0	3.77016E+0
-7.49962E-1	7.02820E-4	4.33840E+0	3.30654E+0
-7.59965E-1	5.90885E-4	3.64744E+0	2.81700E+0
-7.69968E-1	4.78801E-4	2.95556E+0	2.31269E+0
-7.79965E-1	3.63214E-4	2.24206E+0	1.77716E+0
-7.89973E-1	2.45860E-4	1.51765E+0	1.21840E+0
-7.99969E-1	1.28190E-4	7.91296E-1	6.43305E-1
-8.09959E-1	6.43916E-6	3.97479E-2	3.27177E-2
-8.19971E-1	-1.16314E-4	-7.17988E-1	-5.98302E-1
-8.29978E-1	-2.40883E-4	-1.48693E+0	-1.25419E+0
-8.39974E-1	-3.69097E-4	-2.27838E+0	-1.94490E+0
-8.49980E-1	-4.99322E-4	-3.08223E+0	-2.66244E+0
-8.59981E-1	-6.31408E-4	-3.89758E+0	-3.40635E+0
-8.69979E-1	-7.66483E-4	-4.73138E+0	-4.18313E+0
-8.79981E-1	-9.04012E-4	-5.58032E+0	-4.99042E+0
-8.89978E-1	-1.04382E-3	-6.44333E+0	-5.82767E+0
-8.99978E-1	-1.18668E-3	-7.32519E+0	-6.69970E+0
-9.09980E-1	-1.33197E-3	-8.22204E+0	-7.60355E+0
-9.19980E-1	-1.47982E-3	-9.13469E+0	-8.54038E+0
-9.29976E-1	-1.63005E-3	-1.00620E+1	-9.50961E+0
-9.39985E-1	-1.78289E-3	-1.10055E+1	-1.05132E+1
-9.49981E-1	-1.93833E-3	-1.19650E+1	-1.15513E+1
-9.59978E-1	-2.09592E-3	-1.29378E+1	-1.26219E+1
-9.69980E-1	-2.25586E-3	-1.39251E+1	-1.37267E+1
-9.79982E-1	-2.41865E-3	-1.49299E+1	-1.48690E+1
-9.89981E-1	-2.58337E-3	-1.59467E+1	-1.60437E+1
-9.99981E-1	-2.75001E-3	-1.69754E+1	-1.72511E+1
-1.00998E+0	-2.91946E-3	-1.80214E+1	-1.84972E+1
8.35323E+0	1.84554E+1	-8.09959E-1	5.49874E-1
8.45662E+0	1.79255E+1	-8.29974E-1	5.59315E-1
8.89641E+0	1.80164E+1	-8.39972E-1	5.78465E-1
8.72233E+0	1.91514E+1	-8.29957E-1	5.39972E-1
9.17095E+0	1.94834E+1	-8.29973E-1	5.58060E-1
2.56217E+0	1.71195E+1	-4.19930E-1	3.50699E-1
