Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.01002E+0	-8.96454E-5	-5.21194E-1	5.34976E-1
1.00002E+0	9.82702E-7	5.71338E-3	-5.80640E-3
9.90020E-1	9.28485E-7	5.39817E-3	-5.43119E-3
9.80018E-1	8.78127E-7	5.10539E-3	-5.08473E-3
9.70023E-1	8.29032E-7	4.81995E-3	-4.75149E-3
9.60021E-1	7.82180E-7	4.54756E-3	-4.43674E-3
9.50022E-1	7.36043E-7	4.27932E-3	-4.13155E-3
9.40020E-1	6.91805E-7	4.02212E-3	-3.84235E-3
9.30013E-1	6.51261E-7	3.78640E-3	-3.57866E-3
9.20014E-1	6.12259E-7	3.55965E-3	-3.32817E-3
9.10013E-1	5.73250E-7	3.33285E-3	-3.08225E-3
9.00013E-1	5.37101E-7	3.12268E-3	-2.85615E-3
8.90014E-1	5.02439E-7	2.92116E-3	-2.64214E-3
8.80013E-1	4.68755E-7	2.72532E-3	-2.43731E-3
8.69980E-1	4.37206E-7	2.54190E-3	-2.24736E-3
8.59980E-1	4.07574E-7	2.36962E-3	-2.07096E-3
8.49980E-1	3.78984E-7	2.20340E-3	-1.90329E-3
8.39981E-1	3.51983E-7	2.04641E-3	-1.74690E-3
8.29983E-1	3.25876E-7	1.89463E-3	-1.59808E-3
8.19978E-1	3.00815E-7	1.74892E-3	-1.45740E-3
8.09983E-1	2.77884E-7	1.61560E-3	-1.32989E-3
7.99984E-1	2.55572E-7	1.48588E-3	-1.20801E-3
7.89983E-1	2.35536E-7	1.36940E-3	-1.09939E-3
7.79974E-1	2.16010E-7	1.25587E-3	-9.95475E-4
7.69976E-1	1.97837E-7	1.15022E-3	-9.00039E-4
7.59976E-1	1.80009E-7	1.04656E-3	-8.08296E-4
7.49977E-1	1.68823E-7	9.81529E-4	-7.48094E-4
7.39974E-1	1.50050E-7	8.72384E-4	-6.56038E-4
7.29974E-1	1.36162E-7	7.91640E-4	-5.87273E-4
7.19975E-1	1.23232E-7	7.16465E-4	-5.24225E-4
7.09978E-1	1.11668E-7	6.49233E-4	-4.68436E-4
6.99979E-1	1.00285E-7	5.83052E-4	-4.14761E-4
6.89976E-1	9.06527E-8	5.27051E-4	-3.69565E-4
6.79976E-1	8.11352E-8	4.71716E-4	-3.25971E-4
6.69970E-1	7.23216E-8	4.20474E-4	-2.86286E-4
6.59971E-1	6.44437E-8	3.74673E-4	-2.51294E-4
6.49972E-1	5.71738E-8	3.32406E-4	-2.19568E-4
