Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.01002E+0	-1.14560E-4	-6.66047E-1	6.83659E-1
1.00002E+0	2.59378E-4	1.50801E+0	-1.53256E+0
9.90019E-1	1.90675E-4	1.10858E+0	-1.11536E+0
9.80019E-1	9.89784E-5	5.75456E-1	-5.73128E-1
9.70029E-1	-1.76885E-5	-1.02840E-1	1.01380E-1
9.60026E-1	-1.46562E-4	-8.52105E-1	8.31344E-1
9.50028E-1	-2.82262E-4	-1.64106E+0	1.58440E+0
9.40030E-1	-4.22952E-4	-2.45902E+0	2.34914E+0
9.30022E-1	-5.61215E-4	-3.26288E+0	3.08389E+0
9.20027E-1	-6.90878E-4	-4.01673E+0	3.75559E+0
9.10027E-1	-8.17563E-4	-4.75327E+0	4.39594E+0
9.00028E-1	-9.39879E-4	-5.46441E+0	4.99809E+0
8.90018E-1	-1.05275E-3	-6.12064E+0	5.53606E+0
8.80019E-1	-1.15710E-3	-6.72733E+0	6.01644E+0
8.69985E-1	-1.25080E-3	-7.27209E+0	6.42948E+0
8.59987E-1	-1.33181E-3	-7.74308E+0	6.76722E+0
8.49985E-1	-1.40488E-3	-8.16791E+0	7.05549E+0
8.39988E-1	-1.47444E-3	-8.57233E+0	7.31773E+0
8.29987E-1	-1.53960E-3	-8.95116E+0	7.55015E+0
8.19981E-1	-1.58900E-3	-9.23837E+0	7.69847E+0
8.09984E-1	-1.63648E-3	-9.51442E+0	7.83184E+0
7.99980E-1	-1.68769E-3	-9.81215E+0	7.97716E+0
7.89985E-1	-1.72584E-3	-1.00340E+1	8.05556E+0
7.79976E-1	-1.76499E-3	-1.02616E+1	8.13392E+0
7.69975E-1	-1.79824E-3	-1.04549E+1	8.18089E+0
7.59975E-1	-1.82300E-3	-1.05988E+1	8.18582E+0
7.49976E-1	-1.86252E-3	-1.08286E+1	8.25325E+0
7.39972E-1	-1.88586E-3	-1.09643E+1	8.24520E+0
7.29972E-1	-1.90706E-3	-1.10876E+1	8.22521E+0
7.19972E-1	-1.93491E-3	-1.12495E+1	8.23100E+0
7.09973E-1	-1.95173E-3	-1.13473E+1	8.18725E+0
6.99977E-1	-1.96772E-3	-1.14402E+1	8.13811E+0
6.89977E-1	-1.99118E-3	-1.15766E+1	8.11749E+0
6.79983E-1	-2.01663E-3	-1.17246E+1	8.10216E+0
6.69978E-1	-2.02706E-3	-1.17852E+1	8.02423E+0
6.59981E-1	-2.03882E-3	-1.18536E+1	7.95036E+0
6.49982E-1	-2.05763E-3	-1.19630E+1	7.90215E+0
6.39983E-1	-2.06733E-3	-1.20194E+1	7.81726E+0
6.29979E-1	-2.07643E-3	-1.20723E+1	7.72894E+0
6.19977E-1	-2.10038E-3	-1.22115E+1	7.69396E+0
6.09979E-1	-2.10897E-3	-1.22615E+1	7.60084E+0
5.99977E-1	-2.12131E-3	-1.23332E+1	7.51995E+0
5.89977E-1	-2.13507E-3	-1.24132E+1	7.44258E+0
5.79972E-1	-2.13556E-3	-1.24160E+1	7.31805E+0
5.69975E-1	-2.14347E-3	-1.24620E+1	7.21855E+0
5.59975E-1	-2.16378E-3	-1.25801E+1	7.15910E+0
5.49977E-1	-2.16657E-3	-1.25963E+1	7.04034E+0
5.39976E-1	-2.17553E-3	-1.26484E+1	6.94090E+0
5.29979E-1	-2.18803E-3	-1.27211E+1	6.85154E+0
5.19972E-1	-2.18893E-3	-1.27263E+1	6.72494E+0
5.09974E-1	-2.19528E-3	-1.27633E+1	6.61476E+0
4.99977E-1	-2.20996E-3	-1.28486E+1	6.52846E+0
4.89972E-1	-2.21169E-3	-1.28587E+1	6.40283E+0
4.79970E-1	-2.22673E-3	-1.29461E+1	6.31478E+0
4.69971E-1	-2.23585E-3	-1.29991E+1	6.20855E+0
4.59971E-1	-2.23562E-3	-1.29978E+1	6.07582E+0
4.49969E-1	-2.23682E-3	-1.30048E+1	5.94689E+0
4.39972E-1	-2.24898E-3	-1.30755E+1	5.84638E+0
4.29981E-1	-2.25427E-3	-1.31062E+1	5.72706E+0
4.19976E-1	-2.25315E-3	-1.30997E+1	5.59102E+0
4.09978E-1	-2.25140E-3	-1.30895E+1	5.45368E+0
3.99980E-1	-2.26629E-3	-1.31761E+1	5.35587E+0
3.89982E-1	-2.27974E-3	-1.32543E+1	5.25299E+0
3.79978E-1	-2.27742E-3	-1.32408E+1	5.11303E+0
3.69978E-1	-2.27634E-3	-1.32345E+1	4.97610E+0
3.59975E-1	-2.28868E-3	-1.33063E+1	4.86781E+0
3.49975E-1	-2.30085E-3	-1.33770E+1	4.75775E+0
3.39968E-1	-2.29918E-3	-1.33673E+1	4.61836E+0
3.29973E-1	-2.30192E-3	-1.33833E+1	4.48792E+0
3.19973E-1	-2.31247E-3	-1.34446E+1	4.37186E+0
3.09972E-1	-2.30497E-3	-1.34010E+1	4.22147E+0
2.99972E-1	-2.30690E-3	-1.34122E+1	4.08871E+0
2.89973E-1	-2.31898E-3	-1.34824E+1	3.97311E+0
2.79978E-1	-2.32847E-3	-1.35376E+1	3.85186E+0
2.69979E-1	-2.32735E-3	-1.35311E+1	3.71251E+0
2.59979E-1	-2.32150E-3	-1.34971E+1	3.56602E+0
2.49983E-1	-2.32811E-3	-1.35355E+1	3.43867E+0
2.39984E-1	-2.34216E-3	-1.36172E+1	3.32105E+0
2.29981E-1	-2.33996E-3	-1.36044E+1	3.17963E+0
2.19984E-1	-2.33646E-3	-1.35841E+1	3.03687E+0
2.09980E-1	-2.33653E-3	-1.35845E+1	2.89885E+0
1.99973E-1	-2.34464E-3	-1.36316E+1	2.77028E+0
1.89975E-1	-2.35643E-3	-1.37002E+1	2.64501E+0
1.79975E-1	-2.35577E-3	-1.36963E+1	2.50508E+0
1.69980E-1	-2.35284E-3	-1.36793E+1	2.36302E+0
1.59975E-1	-2.35416E-3	-1.36870E+1	2.22518E+0
1.49978E-1	-2.36323E-3	-1.37397E+1	2.09416E+0
1.39978E-1	-2.36613E-3	-1.37566E+1	1.95693E+0
1.29979E-1	-2.36534E-3	-1.37520E+1	1.81653E+0
1.19979E-1	-2.36529E-3	-1.37517E+1	1.67674E+0
1.09976E-1	-2.37183E-3	-1.37897E+1	1.54120E+0
9.99739E-2	-2.37689E-3	-1.38191E+1	1.40402E+0
8.99692E-2	-2.37788E-3	-1.38249E+1	1.26404E+0
7.99718E-2	-2.37744E-3	-1.38223E+1	1.12337E+0
6.99730E-2	-2.38850E-3	-1.38866E+1	9.87489E-1
5.99754E-2	-2.39218E-3	-1.39080E+1	8.47702E-1
4.99682E-2	-2.39297E-3	-1.39126E+1	7.06492E-1
3.99697E-2	-2.38885E-3	-1.38887E+1	5.64152E-1
2.99699E-2	-2.39897E-3	-1.39475E+1	4.24802E-1
1.99685E-2	-2.40183E-3	-1.39641E+1	2.83377E-1
9.96828E-3	-2.39975E-3	-1.39520E+1	1.41339E-1
-2.83718E-5	-2.39754E-3	-1.39392E+1	-4.01910E-4
-9.90224E-3	-2.40636E-3	-1.39905E+1	-1.40790E-1
-1.99080E-2	-2.41642E-3	-1.40490E+1	-2.84234E-1
-2.99072E-2	-2.41095E-3	-1.40172E+1	-4.26030E-1
-3.99055E-2	-2.41815E-3	-1.40590E+1	-5.70154E-1
-4.99065E-2	-2.41653E-3	-1.40496E+1	-7.12567E-1
-5.99122E-2	-2.41565E-3	-1.40445E+1	-8.55117E-1
-6.99136E-2	-2.41255E-3	-1.40265E+1	-9.96585E-1
-7.99112E-2	-2.42443E-3	-1.40955E+1	-1.14471E+0
-8.99129E-2	-2.42931E-3	-1.41239E+1	-1.29057E+0
-9.99186E-2	-2.42209E-3	-1.40819E+1	-1.42992E+0
-1.09917E-1	-2.42738E-3	-1.41127E+1	-1.57645E+0
-1.19918E-1	-2.42933E-3	-1.41240E+1	-1.72126E+0
-1.29919E-1	-2.41775E-3	-1.40567E+1	-1.85593E+0
-1.39915E-1	-2.42699E-3	-1.41104E+1	-2.00636E+0
-1.49915E-1	-2.42988E-3	-1.41272E+1	-2.15232E+0
-1.59912E-1	-2.42627E-3	-1.41062E+1	-2.29243E+0
-1.69915E-1	-2.43852E-3	-1.41774E+1	-2.44813E+0
-1.79914E-1	-2.43696E-3	-1.41684E+1	-2.59054E+0
-1.89914E-1	-2.43171E-3	-1.41378E+1	-2.72863E+0
-1.99911E-1	-2.44071E-3	-1.41902E+1	-2.88290E+0
-2.09919E-1	-2.44495E-3	-1.42148E+1	-3.03248E+0
-2.19919E-1	-2.43811E-3	-1.41751E+1	-3.16805E+0
-2.29916E-1	-2.44189E-3	-1.41970E+1	-3.31720E+0
-2.39923E-1	-2.45272E-3	-1.42600E+1	-3.47693E+0
-2.49921E-1	-2.44804E-3	-1.42328E+1	-3.61491E+0
