Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.00995E+0	9.75808E-6	5.67330E-2	-5.82292E-2
9.99963E-1	9.30828E-6	5.41179E-2	-5.49958E-2
9.89963E-1	8.93395E-6	5.19416E-2	-5.22563E-2
9.79964E-1	8.56990E-6	4.98250E-2	-4.96206E-2
9.69966E-1	8.21442E-6	4.77583E-2	-4.70771E-2
9.59962E-1	7.86043E-6	4.57002E-2	-4.45838E-2
9.49960E-1	7.51941E-6	4.37175E-2	-4.22052E-2
9.39962E-1	7.18974E-6	4.18008E-2	-3.99301E-2
9.29955E-1	6.86321E-6	3.99024E-2	-3.77108E-2
9.19958E-1	6.55107E-6	3.80876E-2	-3.56087E-2
9.09958E-1	6.24276E-6	3.62951E-2	-3.35641E-2
8.99958E-1	5.94819E-6	3.45825E-2	-3.16289E-2
8.89956E-1	5.66457E-6	3.29335E-2	-2.97860E-2
8.79955E-1	5.38100E-6	3.12849E-2	-2.79769E-2
8.69919E-1	5.10919E-6	2.97046E-2	-2.62608E-2
8.59920E-1	4.84761E-6	2.81838E-2	-2.46299E-2
8.49918E-1	4.59128E-6	2.66935E-2	-2.30562E-2
8.39919E-1	4.34874E-6	2.52834E-2	-2.15813E-2
8.29918E-1	4.10680E-6	2.38767E-2	-2.01379E-2
8.19914E-1	3.88272E-6	2.25740E-2	-1.88097E-2
8.09918E-1	3.65764E-6	2.12653E-2	-1.75032E-2
7.99912E-1	3.44565E-6	2.00328E-2	-1.62851E-2
7.89917E-1	3.24238E-6	1.88510E-2	-1.51329E-2
7.79919E-1	3.04463E-6	1.77013E-2	-1.40301E-2
7.69917E-1	2.85616E-6	1.66056E-2	-1.29928E-2
7.59911E-1	2.67465E-6	1.55503E-2	-1.20090E-2
7.49913E-1	2.49951E-6	1.45320E-2	-1.10750E-2
7.39909E-1	2.33700E-6	1.35872E-2	-1.02168E-2
7.29907E-1	2.17833E-6	1.26647E-2	-9.39437E-3
7.19909E-1	2.02867E-6	1.17946E-2	-8.62910E-3
7.09908E-1	1.88216E-6	1.09428E-2	-7.89469E-3
6.99911E-1	1.74668E-6	1.01551E-2	-7.22325E-3
6.89908E-1	1.61582E-6	9.39430E-3	-6.58659E-3
6.79912E-1	1.49230E-6	8.67616E-3	-5.99495E-3
6.69907E-1	1.37099E-6	7.97087E-3	-5.42657E-3
6.59909E-1	1.26321E-6	7.34424E-3	-4.92534E-3
6.49908E-1	1.15821E-6	6.73378E-3	-4.44750E-3
6.39911E-1	1.05960E-6	6.16047E-3	-4.00625E-3
6.29901E-1	9.69751E-7	5.63809E-3	-3.60918E-3
6.19900E-1	8.81575E-7	5.12544E-3	-3.22892E-3
6.09906E-1	8.01603E-7	4.66048E-3	-2.88868E-3
5.99906E-1	7.26985E-7	4.22666E-3	-2.57683E-3
5.89908E-1	6.56633E-7	3.81763E-3	-2.28867E-3
5.79910E-1	5.93594E-7	3.45113E-3	-2.03389E-3
5.69911E-1	5.33673E-7	3.10275E-3	-1.79704E-3
5.59913E-1	4.79727E-7	2.78911E-3	-1.58705E-3
5.49917E-1	4.27759E-7	2.48697E-3	-1.38987E-3
5.39917E-1	3.81101E-7	2.21570E-3	-1.21575E-3
5.29917E-1	3.39542E-7	1.97408E-3	-1.06311E-3
5.19911E-1	3.01133E-7	1.75077E-3	-9.25047E-4
5.09913E-1	2.65984E-7	1.54642E-3	-8.01361E-4
4.99918E-1	2.33603E-7	1.35816E-3	-6.90007E-4
4.89912E-1	2.04771E-7	1.19053E-3	-5.92738E-4
4.79910E-1	1.78524E-7	1.03793E-3	-5.06212E-4
4.69912E-1	1.55398E-7	9.03477E-4	-4.31458E-4
4.59915E-1	1.34788E-7	7.83651E-4	-3.66273E-4
4.49906E-1	1.17465E-7	6.82936E-4	-3.12253E-4
4.39914E-1	1.00980E-7	5.87093E-4	-2.62470E-4
4.29904E-1	8.67708E-8	5.04481E-4	-2.20405E-4
4.19905E-1	7.39853E-8	4.30147E-4	-1.83558E-4
4.09908E-1	6.31429E-8	3.67110E-4	-1.52928E-4
3.99909E-1	5.30571E-8	3.08472E-4	-1.25366E-4
3.89909E-1	4.44886E-8	2.58655E-4	-1.02492E-4
3.79908E-1	3.72719E-8	2.16697E-4	-8.36636E-5
3.69908E-1	3.10450E-8	1.80494E-4	-6.78519E-5
3.59908E-1	2.55232E-8	1.48391E-4	-5.42754E-5
3.49911E-1	2.07891E-8	1.20867E-4	-4.29803E-5
3.39904E-1	1.68201E-8	9.77913E-5	-3.37801E-5
3.29907E-1	1.32612E-8	7.71000E-5	-2.58494E-5
3.19910E-1	1.03421E-8	6.01285E-5	-1.95485E-5
3.09906E-1	9.19827E-9	5.34783E-5	-1.68427E-5
2.99907E-1	6.98881E-9	4.06326E-5	-1.23842E-5
2.89909E-1	5.26436E-9	3.06067E-5	-9.01745E-6
2.79914E-1	3.71952E-9	2.16251E-5	-6.15160E-6
2.69914E-1	2.43491E-9	1.41565E-5	-3.88316E-6
2.59909E-1	1.11319E-9	6.47203E-6	-1.70949E-6
2.49906E-1	1.02502E-9	5.95942E-6	-1.51351E-6
2.39913E-1	1.46609E-10	8.52378E-7	-2.07822E-7
2.29922E-1	-6.94975E-10	-4.04055E-6	9.44118E-7
2.19925E-1	-1.58232E-9	-9.19953E-6	2.05611E-6
2.09917E-1	-2.51330E-9	-1.46122E-5	3.11723E-6
1.99910E-1	-3.42580E-9	-1.99174E-5	4.04644E-6
