Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.01001E+0	4.09084E-6	2.37840E-2	-2.44126E-2
1.00000E+0	3.88093E-6	2.25635E-2	-2.29304E-2
9.90004E-1	3.69627E-6	2.14899E-2	-2.16211E-2
9.80005E-1	3.51783E-6	2.04525E-2	-2.03695E-2
9.70006E-1	3.34621E-6	1.94547E-2	-1.91780E-2
9.60002E-1	3.17678E-6	1.84697E-2	-1.80192E-2
9.50001E-1	3.01535E-6	1.75311E-2	-1.69254E-2
9.40001E-1	2.86109E-6	1.66342E-2	-1.58905E-2
9.29992E-1	2.70468E-6	1.57249E-2	-1.48618E-2
9.19995E-1	2.55894E-6	1.48776E-2	-1.39098E-2
9.09993E-1	2.41896E-6	1.40637E-2	-1.30060E-2
8.99996E-1	2.28445E-6	1.32817E-2	-1.21478E-2
8.89995E-1	2.15442E-6	1.25257E-2	-1.13291E-2
8.79995E-1	2.02806E-6	1.17910E-2	-1.05448E-2
8.69959E-1	1.90676E-6	1.10858E-2	-9.80102E-3
8.59962E-1	1.79101E-6	1.04128E-2	-9.10026E-3
8.49966E-1	1.67923E-6	9.76297E-3	-8.43312E-3
8.39963E-1	1.57116E-6	9.13465E-3	-7.79753E-3
8.29963E-1	1.46825E-6	8.53634E-3	-7.20004E-3
8.19959E-1	1.37192E-6	7.97628E-3	-6.64657E-3
8.09962E-1	1.27753E-6	7.42750E-3	-6.11381E-3
7.99960E-1	1.18610E-6	6.89593E-3	-5.60617E-3
7.89960E-1	1.10118E-6	6.40221E-3	-5.13972E-3
7.79952E-1	1.01988E-6	5.92953E-3	-4.69995E-3
7.69948E-1	9.41999E-7	5.47674E-3	-4.28537E-3
7.59951E-1	8.69711E-7	5.05646E-3	-3.90514E-3
7.49952E-1	8.00179E-7	4.65220E-3	-3.54566E-3
7.39950E-1	7.34208E-7	4.26865E-3	-3.20995E-3
7.29952E-1	6.72205E-7	3.90817E-3	-2.89916E-3
7.19952E-1	6.15664E-7	3.57944E-3	-2.61893E-3
7.09955E-1	5.61874E-7	3.26671E-3	-2.35693E-3
6.99955E-1	5.11540E-7	2.97407E-3	-2.11556E-3
6.89953E-1	4.63831E-7	2.69669E-3	-1.89084E-3
