Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.01000E+0	1.39952E-4	8.13674E-1	-8.35174E-1
1.00001E+0	-1.99543E-4	-1.16013E+0	1.17901E+0
9.90014E-1	-3.13242E-4	-1.82117E+0	1.83231E+0
9.80015E-1	-4.25011E-4	-2.47099E+0	2.46099E+0
9.70017E-1	-5.33567E-4	-3.10213E+0	3.05805E+0
9.60016E-1	-6.38667E-4	-3.71318E+0	3.62268E+0
9.50018E-1	-7.34394E-4	-4.26973E+0	4.12228E+0
9.40021E-1	-8.22677E-4	-4.78301E+0	4.56923E+0
9.30015E-1	-9.05992E-4	-5.26740E+0	4.97841E+0
9.20018E-1	-9.77364E-4	-5.68235E+0	5.31287E+0
9.10010E-1	-1.03715E-3	-6.02994E+0	5.57653E+0
9.00015E-1	-1.09478E-3	-6.36500E+0	5.82174E+0
8.90009E-1	-1.13992E-3	-6.62744E+0	5.99439E+0
8.80013E-1	-1.17990E-3	-6.85988E+0	6.13495E+0
8.69977E-1	-1.21676E-3	-7.07419E+0	6.25445E+0
8.59980E-1	-1.25059E-3	-7.27087E+0	6.35448E+0
8.49975E-1	-1.28014E-3	-7.44267E+0	6.42895E+0
8.39976E-1	-1.29881E-3	-7.55122E+0	6.44598E+0
8.29978E-1	-1.31987E-3	-7.67366E+0	6.47253E+0
8.19974E-1	-1.34436E-3	-7.81605E+0	6.51317E+0
8.09976E-1	-1.35787E-3	-7.89459E+0	6.49841E+0
7.99975E-1	-1.37511E-3	-7.99483E+0	6.49966E+0
7.89976E-1	-1.39405E-3	-8.10494E+0	6.50682E+0
7.79968E-1	-1.40040E-3	-8.14186E+0	6.45365E+0
7.69967E-1	-1.41347E-3	-8.21785E+0	6.43036E+0
7.59970E-1	-1.42968E-3	-8.31209E+0	6.41966E+0
7.49970E-1	-1.43638E-3	-8.35105E+0	6.36487E+0
7.39971E-1	-1.44600E-3	-8.40698E+0	6.32207E+0
7.29973E-1	-1.45800E-3	-8.47674E+0	6.28841E+0
7.19970E-1	-1.46227E-3	-8.50157E+0	6.22040E+0
7.09971E-1	-1.46612E-3	-8.52395E+0	6.15016E+0
