Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.01002E+0	5.53131E-5	3.21588E-1	-3.30092E-1
1.00002E+0	3.00000E-4	1.74419E+0	-1.77258E+0
9.90022E-1	2.14818E-4	1.24894E+0	-1.25659E+0
9.80022E-1	1.07914E-4	6.27407E-1	-6.24871E-1
9.70031E-1	-1.40257E-5	-8.15448E-2	8.03871E-2
9.60025E-1	-1.52975E-4	-8.89390E-1	8.67720E-1
9.50027E-1	-2.96227E-4	-1.72225E+0	1.66279E+0
9.40030E-1	-4.41690E-4	-2.56797E+0	2.45322E+0
9.30025E-1	-5.81970E-4	-3.38355E+0	3.19795E+0
9.20027E-1	-7.16677E-4	-4.16673E+0	3.89583E+0
9.10028E-1	-8.46360E-4	-4.92070E+0	4.55079E+0
9.00030E-1	-9.69531E-4	-5.63681E+0	5.15579E+0
8.90020E-1	-1.08364E-3	-6.30023E+0	5.69851E+0
8.80020E-1	-1.18503E-3	-6.88971E+0	6.16167E+0
8.69986E-1	-1.28382E-3	-7.46407E+0	6.59922E+0
8.59987E-1	-1.36894E-3	-7.95895E+0	6.95589E+0
8.49987E-1	-1.45370E-3	-8.45174E+0	7.30068E+0
8.39985E-1	-1.52713E-3	-8.87866E+0	7.57921E+0
8.29987E-1	-1.58878E-3	-9.23709E+0	7.79133E+0
8.19980E-1	-1.64935E-3	-9.58924E+0	7.99084E+0
8.09983E-1	-1.70602E-3	-9.91872E+0	8.16463E+0
7.99981E-1	-1.75472E-3	-1.02019E+1	8.29400E+0
7.89980E-1	-1.79666E-3	-1.04457E+1	8.38607E+0
7.79973E-1	-1.83264E-3	-1.06549E+1	8.44565E+0
7.69972E-1	-1.87540E-3	-1.09035E+1	8.53189E+0
7.59971E-1	-1.91233E-3	-1.11182E+1	8.58690E+0
7.49974E-1	-1.93840E-3	-1.12698E+1	8.58946E+0
7.39968E-1	-1.95971E-3	-1.13937E+1	8.56803E+0
7.29973E-1	-1.98699E-3	-1.15523E+1	8.56996E+0
7.19973E-1	-2.01600E-3	-1.17209E+1	8.57597E+0
7.09972E-1	-2.03810E-3	-1.18494E+1	8.54955E+0
6.99973E-1	-2.05536E-3	-1.19498E+1	8.50052E+0
6.89973E-1	-2.07816E-3	-1.20823E+1	8.47203E+0
6.79977E-1	-2.10027E-3	-1.22109E+1	8.43812E+0
6.69971E-1	-2.11442E-3	-1.22931E+1	8.36997E+0
6.59972E-1	-2.12201E-3	-1.23373E+1	8.27465E+0
6.49974E-1	-2.13756E-3	-1.24277E+1	8.20901E+0
6.39975E-1	-2.15653E-3	-1.25380E+1	8.15446E+0
6.29971E-1	-2.17255E-3	-1.26311E+1	8.08662E+0
6.19969E-1	-2.18022E-3	-1.26757E+1	7.98632E+0
6.09968E-1	-2.19280E-3	-1.27488E+1	7.90283E+0
5.99972E-1	-2.21271E-3	-1.28646E+1	7.84390E+0
5.89975E-1	-2.22069E-3	-1.29110E+1	7.74102E+0
5.79975E-1	-2.22461E-3	-1.29338E+1	7.62324E+0
5.69975E-1	-2.24268E-3	-1.30388E+1	7.55265E+0
5.59978E-1	-2.25493E-3	-1.31101E+1	7.46072E+0
5.49981E-1	-2.25557E-3	-1.31138E+1	7.32960E+0
5.39980E-1	-2.25964E-3	-1.31374E+1	7.20930E+0
5.29981E-1	-2.27340E-3	-1.32174E+1	7.11890E+0
5.19974E-1	-2.28683E-3	-1.32955E+1	7.02574E+0
5.09971E-1	-2.28641E-3	-1.32931E+1	6.88932E+0
4.99974E-1	-2.29110E-3	-1.33203E+1	6.76812E+0
4.89968E-1	-2.30088E-3	-1.33772E+1	6.66098E+0
4.79969E-1	-2.31608E-3	-1.34656E+1	6.56815E+0
4.69968E-1	-2.31808E-3	-1.34772E+1	6.43685E+0
4.59969E-1	-2.31791E-3	-1.34762E+1	6.29943E+0
4.49964E-1	-2.32906E-3	-1.35410E+1	6.19206E+0
4.39967E-1	-2.33805E-3	-1.35933E+1	6.07786E+0
4.29967E-1	-2.34288E-3	-1.36214E+1	5.95198E+0
4.19972E-1	-2.34546E-3	-1.36364E+1	5.82002E+0
4.09973E-1	-2.35259E-3	-1.36778E+1	5.69873E+0
3.99973E-1	-2.36243E-3	-1.37351E+1	5.58298E+0
3.89977E-1	-2.35625E-3	-1.36991E+1	5.42921E+0
