Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.01001E+0	1.29217E-3	7.51262E+0	-7.71120E+0
1.00000E+0	1.11624E-3	6.48977E+0	-6.59529E+0
9.89994E-1	9.53923E-4	5.54606E+0	-5.57985E+0
9.79996E-1	8.07163E-4	4.69281E+0	-4.67371E+0
9.69999E-1	6.76076E-4	3.93067E+0	-3.87475E+0
9.59996E-1	5.60581E-4	3.25919E+0	-3.17969E+0
9.50000E-1	4.60511E-4	2.67739E+0	-2.58488E+0
9.39998E-1	3.75057E-4	2.18056E+0	-2.08305E+0
9.29992E-1	3.03184E-4	1.76270E+0	-1.66595E+0
9.19996E-1	2.43692E-4	1.41681E+0	-1.32466E+0
9.09997E-1	1.95046E-4	1.13399E+0	-1.04871E+0
8.99998E-1	1.55717E-4	9.05331E-1	-8.28045E-1
8.90001E-1	1.24219E-4	7.22203E-1	-6.53213E-1
8.79998E-1	9.91887E-5	5.76678E-1	-5.15728E-1
8.69968E-1	7.93351E-5	4.61251E-1	-4.07798E-1
8.59968E-1	6.37594E-5	3.70694E-1	-3.23969E-1
8.49966E-1	5.15074E-5	2.99462E-1	-2.58671E-1
8.39969E-1	4.18665E-5	2.43410E-1	-2.07781E-1
8.29969E-1	3.42809E-5	1.99308E-1	-1.68109E-1
8.19963E-1	2.82908E-5	1.64481E-1	-1.37062E-1
8.09965E-1	2.35489E-5	1.36912E-1	-1.12697E-1
7.99964E-1	1.97723E-5	1.14955E-1	-9.34553E-2
7.89967E-1	1.67568E-5	9.74233E-2	-7.82126E-2
7.79955E-1	1.43239E-5	8.32785E-2	-6.60096E-2
7.69956E-1	1.23564E-5	7.18395E-2	-5.62127E-2
7.59955E-1	1.07521E-5	6.25122E-2	-4.82789E-2
7.49950E-1	9.42688E-6	5.48074E-2	-4.17712E-2
7.39948E-1	8.33198E-6	4.84417E-2	-3.64272E-2
7.29949E-1	7.41740E-6	4.31244E-2	-3.19905E-2
7.19952E-1	6.64411E-6	3.86285E-2	-2.82629E-2
7.09954E-1	5.98526E-6	3.47980E-2	-2.51067E-2
6.99953E-1	5.41953E-6	3.15089E-2	-2.24134E-2
6.89953E-1	4.92933E-6	2.86589E-2	-2.00948E-2
6.79955E-1	4.49993E-6	2.61624E-2	-1.80785E-2
6.69953E-1	4.12261E-6	2.39687E-2	-1.63190E-2
6.59955E-1	3.78443E-6	2.20025E-2	-1.47568E-2
6.49955E-1	3.48441E-6	2.02582E-2	-1.33810E-2
6.39956E-1	3.21112E-6	1.86693E-2	-1.21418E-2
6.29954E-1	2.96364E-6	1.72305E-2	-1.10309E-2
6.19951E-1	2.73656E-6	1.59102E-2	-1.00239E-2
6.09952E-1	2.52805E-6	1.46980E-2	-9.11083E-3
5.99950E-1	2.33702E-6	1.35873E-2	-8.28426E-3
5.89955E-1	2.16060E-6	1.25616E-2	-7.53130E-3
5.79950E-1	1.99476E-6	1.15974E-2	-6.83530E-3
5.69953E-1	1.84072E-6	1.07019E-2	-6.19874E-3
5.59953E-1	1.69706E-6	9.86663E-3	-5.61468E-3
5.49958E-1	1.56304E-6	9.08744E-3	-5.07897E-3
5.39956E-1	1.43488E-6	8.34233E-3	-4.57773E-3
5.29958E-1	1.31697E-6	7.65680E-3	-4.12376E-3
5.19951E-1	1.20541E-6	7.00820E-3	-3.70317E-3
5.09952E-1	1.10157E-6	6.40448E-3	-3.31908E-3
4.99955E-1	1.00200E-6	5.82558E-3	-2.95989E-3
4.89947E-1	9.09134E-7	5.28566E-3	-2.63180E-3
4.79947E-1	8.22094E-7	4.77962E-3	-2.33126E-3
4.69949E-1	7.41577E-7	4.31149E-3	-2.05913E-3
4.59950E-1	6.65651E-7	3.87006E-3	-1.80898E-3
4.49952E-1	5.93879E-7	3.45278E-3	-1.57885E-3
4.39954E-1	5.27689E-7	3.06796E-3	-1.37171E-3
4.29952E-1	4.66809E-7	2.71401E-3	-1.18587E-3
4.19951E-1	4.09659E-7	2.38174E-3	-1.01648E-3
4.09956E-1	3.57298E-7	2.07731E-3	-8.65455E-4
3.99952E-1	3.07661E-7	1.78873E-3	-7.27037E-4
3.89952E-1	2.61573E-7	1.52077E-3	-6.02671E-4
3.79951E-1	2.21732E-7	1.28914E-3	-4.97774E-4
3.69952E-1	1.83392E-7	1.06623E-3	-4.00869E-4
3.59953E-1	1.50020E-7	8.72209E-4	-3.19059E-4
3.49954E-1	1.18651E-7	6.89831E-4	-2.45335E-4
3.39940E-1	9.10079E-8	5.29116E-4	-1.82792E-4
3.29946E-1	6.70643E-8	3.89909E-4	-1.30741E-4
3.19950E-1	4.48000E-8	2.60465E-4	-8.46909E-5
3.09950E-1	2.44546E-8	1.42178E-4	-4.47846E-5
2.99951E-1	5.93551E-9	3.45088E-5	-1.05193E-5
2.89955E-1	-9.83931E-9	-5.72053E-5	1.68567E-5
2.79959E-1	-2.33199E-8	-1.35581E-4	3.85743E-5
2.69959E-1	-3.57200E-8	-2.07674E-4	5.69752E-5
2.59962E-1	-4.67904E-8	-2.72037E-4	7.18692E-5
2.49964E-1	-5.59434E-8	-3.25252E-4	8.26233E-5
2.39966E-1	-6.45358E-8	-3.75208E-4	9.15012E-5
2.29964E-1	-7.19276E-8	-4.18184E-4	9.77309E-5
2.19962E-1	-7.82410E-8	-4.54890E-4	1.01685E-4
2.09963E-1	-8.43844E-8	-4.90607E-4	1.04684E-4
1.99957E-1	-8.95837E-8	-5.20835E-4	1.05838E-4
1.89959E-1	-9.41332E-8	-5.47286E-4	1.05652E-4
1.79956E-1	-9.81718E-8	-5.70766E-4	1.04383E-4
1.69957E-1	-1.02025E-7	-5.93169E-4	1.02452E-4
1.59953E-1	-1.04686E-7	-6.08640E-4	9.89367E-5
1.49954E-1	-1.08254E-7	-6.29384E-4	9.59132E-5
1.39954E-1	-1.10664E-7	-6.43395E-4	9.15099E-5
1.29952E-1	-1.13765E-7	-6.61424E-4	8.73510E-5
1.19952E-1	-1.15204E-7	-6.69791E-4	8.16491E-5
1.09959E-1	-1.17807E-7	-6.84924E-4	7.65382E-5
9.99582E-2	-1.19804E-7	-6.96535E-4	7.07565E-5
8.99494E-2	-1.21111E-7	-7.04134E-4	6.43663E-5
7.99527E-2	-1.23640E-7	-7.18837E-4	5.84075E-5
6.99534E-2	-1.25216E-7	-7.28000E-4	5.17541E-5
5.99549E-2	-1.27377E-7	-7.40564E-4	4.51224E-5
4.99456E-2	-1.28151E-7	-7.45064E-4	3.78178E-5
3.99499E-2	-1.29886E-7	-7.55151E-4	3.06588E-5
2.99449E-2	-1.30725E-7	-7.60029E-4	2.31291E-5
1.99485E-2	-1.32797E-7	-7.72076E-4	1.56522E-5
9.94635E-3	-1.33761E-7	-7.77680E-4	7.86085E-6
-5.07832E-5	-1.35695E-7	-7.88924E-4	-4.07156E-8
-9.88460E-3	-1.37061E-7	-7.96866E-4	-8.00478E-6
-1.98896E-2	-1.38119E-7	-8.03017E-4	-1.62314E-5
-2.98944E-2	-1.40410E-7	-8.16337E-4	-2.48007E-5
-3.98932E-2	-1.41702E-7	-8.23849E-4	-3.34004E-5
-4.98953E-2	-1.43007E-7	-8.31436E-4	-4.21593E-5
-5.98984E-2	-1.44647E-7	-8.40971E-4	-5.11919E-5
-6.98981E-2	-1.46634E-7	-8.52523E-4	-6.05587E-5
-7.98995E-2	-1.47825E-7	-8.59448E-4	-6.97860E-5
-8.98969E-2	-1.50476E-7	-8.74860E-4	-7.99261E-5
-9.99017E-2	-1.51995E-7	-8.83692E-4	-8.97178E-5
-1.09899E-1	-1.54260E-7	-8.96860E-4	-1.00167E-4
-1.19903E-1	-1.55940E-7	-9.06628E-4	-1.10475E-4
-1.29903E-1	-1.58811E-7	-9.23320E-4	-1.21892E-4
-1.39900E-1	-1.61371E-7	-9.38203E-4	-1.33389E-4
-1.49900E-1	-1.63891E-7	-9.52855E-4	-1.45155E-4
-1.59898E-1	-1.66009E-7	-9.65169E-4	-1.56838E-4
-1.69901E-1	-1.68806E-7	-9.81430E-4	-1.69457E-4
-1.79902E-1	-1.71522E-7	-9.97221E-4	-1.82319E-4
-1.89901E-1	-1.75007E-7	-1.01748E-3	-1.96363E-4
-1.99899E-1	-1.78202E-7	-1.03606E-3	-2.10475E-4
-2.09909E-1	-1.81512E-7	-1.05530E-3	-2.25119E-4
-2.19912E-1	-1.84908E-7	-1.07505E-3	-2.40260E-4
-2.29906E-1	-1.89249E-7	-1.10028E-3	-2.57075E-4
-2.39906E-1	-1.93624E-7	-1.12572E-3	-2.74459E-4
-2.49905E-1	-1.96959E-7	-1.14511E-3	-2.90822E-4
-2.59905E-1	-2.01937E-7	-1.17405E-3	-3.10104E-4
-2.69902E-1	-2.05908E-7	-1.19714E-3	-3.28364E-4
-2.79901E-1	-2.11120E-7	-1.22744E-3	-3.49149E-4
-2.89902E-1	-2.16189E-7	-1.25691E-3	-3.70306E-4
-2.99900E-1	-2.21961E-7	-1.29047E-3	-3.93305E-4
-3.09905E-1	-2.27236E-7	-1.32114E-3	-4.16085E-4
-3.19907E-1	-2.33475E-7	-1.35741E-3	-4.41307E-4
-3.29902E-1	-2.38615E-7	-1.38730E-3	-4.65114E-4
-3.39904E-1	-2.44606E-7	-1.42213E-3	-4.91247E-4
-3.49913E-1	-2.51483E-7	-1.46211E-3	-5.19930E-4
-3.59909E-1	-2.58009E-7	-1.50005E-3	-5.48661E-4
-3.69907E-1	-2.64582E-7	-1.53827E-3	-5.78268E-4
-3.79906E-1	-2.71709E-7	-1.57970E-3	-6.09897E-4
-3.89909E-1	-2.79912E-7	-1.62740E-3	-6.44854E-4
-3.99910E-1	-2.87139E-7	-1.66941E-3	-6.78470E-4
-4.09907E-1	-2.96417E-7	-1.72335E-3	-7.17902E-4
-4.19904E-1	-3.05504E-7	-1.77619E-3	-7.57955E-4
-4.29903E-1	-3.15419E-7	-1.83383E-3	-8.01189E-4
-4.39905E-1	-3.23382E-7	-1.88013E-3	-8.40526E-4
-4.49904E-1	-3.33290E-7	-1.93773E-3	-8.85969E-4
-4.59906E-1	-3.42791E-7	-1.99297E-3	-9.31483E-4
-4.69906E-1	-3.54001E-7	-2.05815E-3	-9.82861E-4
-4.79902E-1	-3.64826E-7	-2.12108E-3	-1.03446E-3
-4.89899E-1	-3.76253E-7	-2.18752E-3	-1.08909E-3
-4.99906E-1	-3.88518E-7	-2.25883E-3	-1.14756E-3
-5.09901E-1	-4.00791E-7	-2.33018E-3	-1.20748E-3
-5.19902E-1	-4.13053E-7	-2.40147E-3	-1.26883E-3
-5.29900E-1	-4.26390E-7	-2.47901E-3	-1.33499E-3
-5.39904E-1	-4.40153E-7	-2.55903E-3	-1.40410E-3
-5.49901E-1	-4.52565E-7	-2.63119E-3	-1.47042E-3
-5.59901E-1	-4.67128E-7	-2.71586E-3	-1.54534E-3
-5.69901E-1	-4.82742E-7	-2.80664E-3	-1.62551E-3
-5.79900E-1	-4.99669E-7	-2.90505E-3	-1.71203E-3
-5.89901E-1	-5.15066E-7	-2.99457E-3	-1.79522E-3
-5.99899E-1	-5.32146E-7	-3.09387E-3	-1.88619E-3
-6.09905E-1	-5.49176E-7	-3.19288E-3	-1.97902E-3
-6.19904E-1	-5.65705E-7	-3.28898E-3	-2.07201E-3
-6.29902E-1	-5.85185E-7	-3.40224E-3	-2.17792E-3
-6.39935E-1	-6.04958E-7	-3.51720E-3	-2.28738E-3
-6.49942E-1	-6.24903E-7	-3.63316E-3	-2.39974E-3
-6.59942E-1	-6.45617E-7	-3.75359E-3	-2.51743E-3
-6.69939E-1	-6.65806E-7	-3.87097E-3	-2.63548E-3
-6.79943E-1	-6.88069E-7	-4.00040E-3	-2.76427E-3
-6.89942E-1	-7.08571E-7	-4.11960E-3	-2.88850E-3
-6.99943E-1	-7.33299E-7	-4.26337E-3	-3.03264E-3
-7.09941E-1	-7.54748E-7	-4.38807E-3	-3.16593E-3
-7.19940E-1	-7.80994E-7	-4.54066E-3	-3.32216E-3
-7.29943E-1	-8.07654E-7	-4.69566E-3	-3.48330E-3
-7.39939E-1	-8.36271E-7	-4.86204E-3	-3.65611E-3
-7.49939E-1	-8.59014E-7	-4.99427E-3	-3.80630E-3
-7.59941E-1	-8.89641E-7	-5.17233E-3	-3.99458E-3
-7.69943E-1	-9.16356E-7	-5.32765E-3	-4.16869E-3
-7.79943E-1	-9.46336E-7	-5.50195E-3	-4.36099E-3
-7.89950E-1	-9.77328E-7	-5.68214E-3	-4.56159E-3
-7.99949E-1	-1.01140E-6	-5.88023E-3	-4.78037E-3
-8.09950E-1	-1.04610E-6	-6.08198E-3	-5.00620E-3
-8.19953E-1	-1.07747E-6	-6.26436E-3	-5.22000E-3
-8.29957E-1	-1.11411E-6	-6.47738E-3	-5.46336E-3
-8.39954E-1	-1.15216E-6	-6.69860E-3	-5.71801E-3
-8.49958E-1	-1.18774E-6	-6.90547E-3	-5.96479E-3
-8.59958E-1	-1.22725E-6	-7.13517E-3	-6.23572E-3
-8.69955E-1	-1.26438E-6	-7.35105E-3	-6.49906E-3
-8.79956E-1	-1.30502E-6	-7.58733E-3	-6.78507E-3
-8.89951E-1	-1.34898E-6	-7.84291E-3	-7.09330E-3
-8.99955E-1	-1.39287E-6	-8.09808E-3	-7.40641E-3
-9.09953E-1	-1.43825E-6	-8.36192E-3	-7.73268E-3
-9.19955E-1	-1.48541E-6	-8.63610E-3	-8.07401E-3
-9.29956E-1	-1.53244E-6	-8.90953E-3	-8.42020E-3
-9.39962E-1	-1.57959E-6	-9.18366E-3	-8.77266E-3
-9.49961E-1	-1.63153E-6	-9.48564E-3	-9.15751E-3
-9.59958E-1	-1.68089E-6	-9.77262E-3	-9.53384E-3
-9.69966E-1	-1.73752E-6	-1.01019E-2	-9.95779E-3
-9.79967E-1	-1.79439E-6	-1.04325E-2	-1.03897E-2
-9.89965E-1	-1.84829E-6	-1.07459E-2	-1.08110E-2
-9.99967E-1	-1.90835E-6	-1.10951E-2	-1.12751E-2
-1.00997E+0	-1.97117E-6	-1.14603E-2	-1.17628E-2
1.05838E-4	-7.88924E-4	2.99951E-1	4.40100E-1
