Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.00998E+0	4.86327E-4	2.82748E+0	-2.87873E+0
9.99990E-1	-3.26619E-4	-1.89895E+0	1.91424E+0
9.89990E-1	-4.57198E-4	-2.65813E+0	2.65274E+0
9.79992E-1	-5.73905E-4	-3.33666E+0	3.29627E+0
9.69992E-1	-6.72081E-4	-3.90745E+0	3.82076E+0
9.59991E-1	-7.59255E-4	-4.41427E+0	4.27184E+0
9.49995E-1	-8.37889E-4	-4.87145E+0	4.66517E+0
9.39995E-1	-9.05081E-4	-5.26210E+0	4.98624E+0
9.29988E-1	-9.58392E-4	-5.57205E+0	5.22373E+0
9.19987E-1	-1.00471E-3	-5.84134E+0	5.41729E+0
9.09993E-1	-1.04932E-3	-6.10070E+0	5.59636E+0
8.99992E-1	-1.08791E-3	-6.32506E+0	5.73841E+0
8.89993E-1	-1.11807E-3	-6.50041E+0	5.83197E+0
8.79994E-1	-1.14141E-3	-6.63610E+0	5.88683E+0
8.69959E-1	-1.16547E-3	-6.77599E+0	5.94237E+0
8.59962E-1	-1.19234E-3	-6.93221E+0	6.00951E+0
8.49959E-1	-1.21269E-3	-7.05052E+0	6.04098E+0
8.39960E-1	-1.22902E-3	-7.14547E+0	6.05031E+0
8.29962E-1	-1.24440E-3	-7.23488E+0	6.05310E+0
8.19959E-1	-1.26357E-3	-7.34634E+0	6.07227E+0
8.09958E-1	-1.27935E-3	-7.43808E+0	6.07312E+0
7.99956E-1	-1.28817E-3	-7.48936E+0	6.03947E+0
7.89959E-1	-1.30198E-3	-7.56965E+0	6.02794E+0
7.79953E-1	-1.31663E-3	-7.65483E+0	6.01855E+0
7.69950E-1	-1.32593E-3	-7.70890E+0	5.98333E+0
7.59949E-1	-1.33147E-3	-7.74110E+0	5.93029E+0
7.49950E-1	-1.34082E-3	-7.79547E+0	5.89336E+0
7.39947E-1	-1.35779E-3	-7.89413E+0	5.88834E+0
7.29949E-1	-1.36634E-3	-7.94384E+0	5.84536E+0
7.19943E-1	-1.37034E-3	-7.96709E+0	5.78211E+0
7.09942E-1	-1.37849E-3	-8.01448E+0	5.73570E+0
6.99941E-1	-1.38995E-3	-8.08110E+0	5.70191E+0
6.89942E-1	-1.39898E-3	-8.13360E+0	5.65697E+0
6.79950E-1	-1.40046E-3	-8.14221E+0	5.58094E+0
6.69944E-1	-1.40800E-3	-8.18605E+0	5.52842E+0
6.59946E-1	-1.42116E-3	-8.26256E+0	5.49682E+0
6.49950E-1	-1.42841E-3	-8.30471E+0	5.44118E+0
6.39954E-1	-1.42847E-3	-8.30506E+0	5.35772E+0
6.29946E-1	-1.42938E-3	-8.31035E+0	5.27729E+0
6.19948E-1	-1.44134E-3	-8.37988E+0	5.23699E+0
6.09949E-1	-1.45184E-3	-8.44093E+0	5.19006E+0
5.99948E-1	-1.45610E-3	-8.46570E+0	5.11994E+0
5.89950E-1	-1.45801E-3	-8.47680E+0	5.04122E+0
5.79953E-1	-1.46873E-3	-8.53913E+0	4.99223E+0
5.69954E-1	-1.47797E-3	-8.59285E+0	4.93702E+0
5.59953E-1	-1.47676E-3	-8.58581E+0	4.84642E+0
5.49955E-1	-1.47864E-3	-8.59674E+0	4.76595E+0
5.39957E-1	-1.48722E-3	-8.64663E+0	4.70646E+0
5.29957E-1	-1.49496E-3	-8.69163E+0	4.64334E+0
5.19953E-1	-1.49707E-3	-8.70390E+0	4.56211E+0
5.09956E-1	-1.49643E-3	-8.70017E+0	4.47249E+0
4.99958E-1	-1.50573E-3	-8.75424E+0	4.41205E+0
4.89953E-1	-1.51494E-3	-8.80779E+0	4.35021E+0
4.79949E-1	-1.51710E-3	-8.82035E+0	4.26746E+0
4.69949E-1	-1.51918E-3	-8.83244E+0	4.18427E+0
4.59949E-1	-1.52788E-3	-8.88302E+0	4.11869E+0
4.49945E-1	-1.52989E-3	-8.89471E+0	4.03441E+0
4.39950E-1	-1.52658E-3	-8.87547E+0	3.93625E+0
4.29950E-1	-1.53226E-3	-8.90849E+0	3.86109E+0
4.19954E-1	-1.54021E-3	-8.95471E+0	3.79089E+0
4.09952E-1	-1.54145E-3	-8.96192E+0	3.70359E+0
3.99951E-1	-1.54365E-3	-8.97471E+0	3.61839E+0
3.89954E-1	-1.54408E-3	-8.97721E+0	3.52893E+0
3.79949E-1	-1.55103E-3	-9.01762E+0	3.45387E+0
3.69957E-1	-1.55876E-3	-9.06256E+0	3.37980E+0
3.59957E-1	-1.55864E-3	-9.06186E+0	3.28819E+0
3.49952E-1	-1.56118E-3	-9.07663E+0	3.20200E+0
3.39945E-1	-1.56972E-3	-9.12628E+0	3.12745E+0
3.29949E-1	-1.57233E-3	-9.14145E+0	3.04054E+0
3.19948E-1	-1.56959E-3	-9.12552E+0	2.94324E+0
3.09947E-1	-1.57113E-3	-9.13448E+0	2.85404E+0
2.99950E-1	-1.57937E-3	-9.18238E+0	2.77647E+0
2.89948E-1	-1.58242E-3	-9.20012E+0	2.68907E+0
2.79950E-1	-1.58268E-3	-9.20163E+0	2.59677E+0
2.69953E-1	-1.58426E-3	-9.21081E+0	2.50654E+0
2.59950E-1	-1.59347E-3	-9.26436E+0	2.42769E+0
2.49953E-1	-1.59282E-3	-9.26058E+0	2.33338E+0
2.39954E-1	-1.59002E-3	-9.24430E+0	2.23610E+0
2.29952E-1	-1.59682E-3	-9.28384E+0	2.15205E+0
2.19954E-1	-1.60390E-3	-9.32500E+0	2.06761E+0
2.09955E-1	-1.59851E-3	-9.29366E+0	1.96699E+0
1.99945E-1	-1.60131E-3	-9.30994E+0	1.87649E+0
1.89944E-1	-1.60997E-3	-9.36029E+0	1.79227E+0
1.79942E-1	-1.60778E-3	-9.34756E+0	1.69558E+0
