x0000,y0000
0.1941045275,725.9270279,
0.1959395799,641.2038272,
0.1977746323,666.827514,
0.1996096847,670.2666725,
0.2014447371,638.3224284,
0.2032797895,625.162266,
0.2051148419,632.6465575,
0.2069498943,619.7595844,
0.2087849467,614.5812976,
0.2106199991,584.4266447,
0.2124550515,609.2185084,
0.2142901039,594.7144097,
0.2161251563,577.5764594,
0.2179602087,564.2315484,
0.2197952611,577.2441406,
0.2216303135,559.6613051,
0.2234653658,552.4836091,
0.2253004182,537.0240502,
0.2271354706,547.3661878,
0.228970523,541.5194757,
0.2308055754,526.3812944,
0.2326406278,518.4444862,
0.2344756802,527.0625,
0.2363107326,516.9750727,
0.238145785,508.3472262,
0.2399808374,491.6684813,
0.2418158898,512.621474,
0.2436509422,493.4318085,
0.2454859946,490.5300798,
0.247321047,480.8916713,
0.2491560994,499.4360671,
0.2509911518,482.1128855,
0.2528262042,481.0225437,
0.2546612566,473.7816994,
0.256496309,486.5769002,
0.2583313614,468.9131472,
0.2601664138,478.1097808,
0.2620014662,468.7558676,
0.2638365186,478.4686235,
0.2656715709,460.3366893,
0.2675066233,471.3192729,
0.2693416757,467.9286794,
0.2711767281,477.8087027,
0.2730117805,454.8579945,
0.2748468329,470.0478065,
0.2766818853,465.484626,
0.2785169377,474.1701255,
0.2803519901,452.2852026,
0.2821870425,466.6271635,
0.2840220949,459.8933105,
0.2858571473,470.4534518,
0.2876921997,451.7749878,
0.2895272521,465.2107917,
0.2913623045,465.3649725,
0.2931973569,468.6832017,
0.2950324093,458.2920178,
0.2968674617,468.7190362,
0.2987025141,466.180816,
0.3005375665,472.5607079,
0.3023726189,462.0623289,
0.3042076713,473.7806383,
0.3060427237,476.3466312,
0.3078777761,471.5450284,
0.3097128284,468.1757543,
0.3115478808,480.344478,
0.3133829332,481.3643121,
0.3152179856,480.8517517,
0.317053038,479.1046385,
0.3188880904,491.0105603,
0.3207231428,492.4003639,
0.3225581952,498.7464804,
0.3243932476,489.6721917,
0.3262283,506.2268264,
0.3280633524,510.8761276,
0.3298984048,500.5942066,
0.3317334572,513.329745,
0.3335685096,522.9216154,
0.335403562,528.961883,
0.3372386144,522.9393503,
0.3390736668,540.6872997,
0.3409087192,546.0006068,
0.3427437716,559.2194293,
0.344578824,546.0993158,
0.3464138764,566.7898874,
0.3482489288,581.0238618,
0.3500839812,596.2516602,
0.3519190336,584.9836426,
0.3537540859,614.6656057,
0.3555891383,619.0918457,
0.3574241907,629.0773558,
0.3592592431,633.9595192,
0.3610942955,660.7151042,
0.3629293479,690.4327071,
0.3647644003,696.2352121,
0.3665994527,704.3540419,
0.3684345051,757.0457522,
0.3702695575,787.050943,
0.3721046099,830.0210161,
0.3739396623,864.7938988,
0.3757747147,973.8481232,
0.3776097671,1054.314712,
0.3794448195,1149.831359,
0.3812798719,1203.351229,
0.3831149243,1380.081359,
0.3849499767,1475.574151,
0.3867850291,1553.119951,
0.3886200815,1671.523188,
0.3904551339,1730.927632,
0.3922901863,1836.300287,
0.3941252387,1909.168175,
0.3959602911,1913.700658,
0.3977953434,2102.356514,
0.3996303958,2239.406933,
0.4014654482,2237.383233,
0.4033005006,2372.687327,
0.405135553,2735.452486,
0.4069706054,3073.886936,
0.4088056578,3428.010753,
0.4106407102,3856.810096,
0.4124757626,4637.642717,
0.414310815,5332.113456,
0.4161458674,5958.133952,
0.4179809198,6311.39238,
0.4198159722,7941.622063,
0.4216510246,8436.675265,
0.423486077,8748.124672,
0.4253211294,9009.484375,
0.4271561818,10062.67442,
0.4289912342,9402.03866,
0.4308262866,9225.557595,
0.432661339,9288.134115,
0.4344963914,9244.105,
0.4363314438,8427.540423,
0.4381664962,7669.889594,
0.4400015486,7374.218514,
0.4418366009,6684.001247,
0.4436716533,5854.355263,
0.4455067057,5073.016646,
0.4473417581,4483.966076,
0.4491768105,3900.8325,
0.4510118629,3403.095267,
0.4528469153,2924.383025,
0.4546819677,2601.945159,
0.4565170201,2253.20793,
0.4583520725,1968.413625,
0.4601871249,1738.204436,
0.4620221773,1602.523026,
0.4638572297,1465.85481,
0.4656922821,1339.311456,
0.4675273345,1218.31067,
0.4693623869,1132.517624,
0.4711974393,1061.090262,
0.4730324917,997.2903037,
0.4748675441,939.9219858,
0.4767025965,897.5918865,
0.4785376489,859.9650522,
0.4803727013,806.6597222,
0.4822077537,773.3265262,
0.4840428061,749.7984813,
0.4858778584,726.8801149,
0.4877129108,706.9484375,
0.4895479632,679.3988544,
0.4913830156,662.6716292,
0.493218068,648.8598993,
0.4950531204,635.7978188,
0.4968881728,620.6912417,
0.4987232252,612.870219,
0.5005582776,603.5825249,
0.50239333,590.998226,
0.5042283824,583.1184722,
0.5060634348,579.2254121,
0.5078984872,574.9844089,
0.5097335396,570.8618132,
0.511568592,564.6045752,
0.5134036444,561.7583536,
0.5152386968,561.7175403,
0.5170737492,558.6557089,
0.5189088016,559.0291087,
0.520743854,558.2500679,
0.5225789064,555.7849188,
0.5244139588,558.0516852,
0.5262490112,560.4712766,
0.5280840636,559.8052235,
0.5299191159,563.9206933,
0.5317541683,569.0131341,
0.5335892207,573.8377227,
0.5354242731,575.1427734,
0.5372593255,580.4861396,
0.5390943779,589.0926591,
0.5409294303,598.8905271,
0.5427644827,604.3336918,
0.5445995351,614.690958,
0.5464345875,632.2939275,
0.5482696399,641.1640625,
0.5501046923,659.6889638,
0.5519397447,675.6044177,
0.5537747971,703.7429435,
0.5556098495,726.554864,
0.5574449019,761.4879808,
0.5592799543,811.2908844,
0.5611150067,850.989,
0.5629500591,901.9354043,
0.5647851115,981.0095688,
0.5666201639,1044.384104,
0.5684552163,1138.950439,
0.5702902687,1231.569417,
0.5721253211,1339.598697,
0.5739603734,1465.000361,
0.5757954258,1607.096602,
0.5776304782,1742.88967,
0.5794655306,1851.814176,
0.581300583,2013.922414,
0.5831356354,2132.438953,
0.5849706878,2264.387956,
0.5868057402,2337.297291,
0.5886407926,2406.87594,
0.590475845,2527.42908,
0.5923108974,2597.700095,
0.5941459498,2535.408965,
0.5959810022,2559.614564,
0.5978160546,2605.894502,
0.599651107,2481.941822,
0.6014861594,2400.939679,
0.6033212118,2313.771024,
0.6051562642,2260.133208,
0.6069913166,2119.958178,
0.608826369,1956.806777,
0.6106614214,1907.783985,
0.6124964738,1770.673269,
0.6143315262,1650.967814,
0.6161665786,1525.137264,
0.6180016309,1408.252271,
0.6198366833,1301.009233,
0.6216717357,1206.545355,
0.6235067881,1104.327806,
0.6253418405,1033.869691,
0.6271768929,951.058953,
0.6290119453,886.9469218,
