Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.01001E+0	8.52895E-6	5.26478E-2	-5.31748E-2
1.00001E+0	8.25062E-6	5.09298E-2	-5.09303E-2
9.90006E-1	8.13220E-6	5.01988E-2	-4.96971E-2
9.80011E-1	8.01167E-6	4.94548E-2	-4.84662E-2
9.70010E-1	7.88935E-6	4.86997E-2	-4.72392E-2
9.60008E-1	7.77511E-6	4.79945E-2	-4.60751E-2
9.50006E-1	7.66732E-6	4.73291E-2	-4.49630E-2
9.40008E-1	7.54996E-6	4.66047E-2	-4.38088E-2
9.30001E-1	7.43577E-6	4.58998E-2	-4.26869E-2
9.20002E-1	7.31774E-6	4.51712E-2	-4.15576E-2
9.10003E-1	7.19604E-6	4.44200E-2	-4.04223E-2
9.00002E-1	7.08356E-6	4.37257E-2	-3.93532E-2
8.90002E-1	6.96696E-6	4.30059E-2	-3.82754E-2
8.80001E-1	6.87215E-6	4.24207E-2	-3.73302E-2
8.69969E-1	6.76768E-6	4.17758E-2	-3.63437E-2
8.59970E-1	6.65429E-6	4.10759E-2	-3.53240E-2
8.49969E-1	6.54737E-6	4.04159E-2	-3.43522E-2
8.39972E-1	6.42771E-6	3.96772E-2	-3.33278E-2
8.29970E-1	6.31739E-6	3.89962E-2	-3.23657E-2
8.19965E-1	6.21486E-6	3.83633E-2	-3.14566E-2
8.09969E-1	6.09457E-6	3.76208E-2	-3.04717E-2
7.99968E-1	5.99360E-6	3.69975E-2	-2.95968E-2
7.89971E-1	5.89768E-6	3.64054E-2	-2.87592E-2
7.79962E-1	5.79475E-6	3.57701E-2	-2.78993E-2
7.69964E-1	5.69788E-6	3.51721E-2	-2.70812E-2
7.59969E-1	5.59489E-6	3.45364E-2	-2.62466E-2
7.49966E-1	5.49290E-6	3.39068E-2	-2.54289E-2
7.39964E-1	5.39791E-6	3.33204E-2	-2.46559E-2
7.29962E-1	5.30347E-6	3.27375E-2	-2.38971E-2
7.19963E-1	5.20501E-6	3.21297E-2	-2.31322E-2
7.09964E-1	5.10864E-6	3.15348E-2	-2.23886E-2
6.99960E-1	5.01339E-6	3.09469E-2	-2.16616E-2
6.89960E-1	4.91526E-6	3.03411E-2	-2.09342E-2
6.79965E-1	4.82250E-6	2.97685E-2	-2.02416E-2
6.69960E-1	4.72947E-6	2.91943E-2	-1.95590E-2
6.59961E-1	4.63802E-6	2.86298E-2	-1.88945E-2
6.49964E-1	4.54394E-6	2.80490E-2	-1.82308E-2
6.39966E-1	4.45687E-6	2.75115E-2	-1.76065E-2
6.29963E-1	4.37158E-6	2.69851E-2	-1.69996E-2
6.19964E-1	4.28397E-6	2.64443E-2	-1.63945E-2
6.09967E-1	4.19373E-6	2.58872E-2	-1.57904E-2
5.99964E-1	4.10871E-6	2.53624E-2	-1.52165E-2
5.89966E-1	4.02181E-6	2.48260E-2	-1.46465E-2
5.79967E-1	3.94042E-6	2.43236E-2	-1.41069E-2
5.69968E-1	3.85170E-6	2.37759E-2	-1.35515E-2
5.59969E-1	3.76907E-6	2.32659E-2	-1.30282E-2
5.49967E-1	3.68719E-6	2.27604E-2	-1.25175E-2
5.39968E-1	3.60230E-6	2.22364E-2	-1.20070E-2
5.29969E-1	3.52275E-6	2.17454E-2	-1.15244E-2
5.19963E-1	3.44212E-6	2.12477E-2	-1.10480E-2
5.09962E-1	3.35971E-6	2.07390E-2	-1.05761E-2
4.99965E-1	3.27596E-6	2.02220E-2	-1.01103E-2
4.89958E-1	3.19931E-6	1.97488E-2	-9.67610E-3
4.79958E-1	3.12036E-6	1.92615E-2	-9.24470E-3
4.69963E-1	3.04580E-6	1.88012E-2	-8.83588E-3
4.59960E-1	2.96573E-6	1.83070E-2	-8.42048E-3
4.49955E-1	2.89453E-6	1.78675E-2	-8.03956E-3
4.39961E-1	2.81886E-6	1.74004E-2	-7.65548E-3
4.29959E-1	2.74641E-6	1.69531E-2	-7.28916E-3
4.19962E-1	2.66928E-6	1.64770E-2	-6.91973E-3
4.09961E-1	2.59831E-6	1.60390E-2	-6.57534E-3
3.99960E-1	2.52545E-6	1.55892E-2	-6.23506E-3
3.89962E-1	2.45177E-6	1.51344E-2	-5.90183E-3
3.79958E-1	2.37984E-6	1.46904E-2	-5.58172E-3
3.69959E-1	2.30795E-6	1.42466E-2	-5.27066E-3
3.59960E-1	2.23986E-6	1.38263E-2	-4.97691E-3
3.49960E-1	2.16888E-6	1.33881E-2	-4.68532E-3
3.39949E-1	2.10074E-6	1.29675E-2	-4.40830E-3
3.29950E-1	2.03064E-6	1.25348E-2	-4.13586E-3
3.19955E-1	1.96332E-6	1.21193E-2	-3.87762E-3
3.09949E-1	1.89443E-6	1.16940E-2	-3.62455E-3
2.99955E-1	1.82739E-6	1.12802E-2	-3.38355E-3
2.89948E-1	1.76341E-6	1.08852E-2	-3.15616E-3
2.79952E-1	1.69992E-6	1.04933E-2	-2.93763E-3
2.69951E-1	1.63625E-6	1.01003E-2	-2.72659E-3
2.59951E-1	1.57304E-6	9.71012E-3	-2.52416E-3
2.49949E-1	1.51067E-6	9.32512E-3	-2.33081E-3
2.39951E-1	1.44964E-6	8.94840E-3	-2.14718E-3
2.29948E-1	1.38924E-6	8.57556E-3	-1.97193E-3
2.19950E-1	1.32627E-6	8.18685E-3	-1.80070E-3
2.09947E-1	1.26683E-6	7.81994E-3	-1.64177E-3
1.99937E-1	1.20651E-6	7.44759E-3	-1.48905E-3
1.89941E-1	1.14693E-6	7.07981E-3	-1.34475E-3
