Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.01001E+0	6.59324E-6	4.06990E-2	-4.06994E-2
1.00002E+0	2.79886E-3	1.72769E+1	-1.71062E+1
9.90024E-1	2.79925E-3	1.72793E+1	-1.69376E+1
9.80025E-1	2.79831E-3	1.72735E+1	-1.67609E+1
9.70029E-1	2.78654E-3	1.72009E+1	-1.65201E+1
9.60024E-1	2.78791E-3	1.72093E+1	-1.63578E+1
9.50028E-1	2.78042E-3	1.71631E+1	-1.61440E+1
9.40027E-1	2.77010E-3	1.70994E+1	-1.59147E+1
9.30019E-1	2.77030E-3	1.71006E+1	-1.57464E+1
9.20022E-1	2.77172E-3	1.71094E+1	-1.55852E+1
9.10022E-1	2.76514E-3	1.70688E+1	-1.53792E+1
9.00023E-1	2.76084E-3	1.70422E+1	-1.51865E+1
8.90018E-1	2.75784E-3	1.70237E+1	-1.50014E+1
8.80020E-1	2.74506E-3	1.69448E+1	-1.47641E+1
8.69983E-1	2.74847E-3	1.69659E+1	-1.46139E+1
8.59986E-1	2.74529E-3	1.69462E+1	-1.44292E+1
8.49985E-1	2.73507E-3	1.68831E+1	-1.42083E+1
8.39986E-1	2.73648E-3	1.68919E+1	-1.40484E+1
8.29983E-1	2.73229E-3	1.68660E+1	-1.38599E+1
8.19981E-1	2.72127E-3	1.67980E+1	-1.36376E+1
8.09984E-1	2.72476E-3	1.68195E+1	-1.34886E+1
7.99981E-1	2.71105E-3	1.67349E+1	-1.32550E+1
7.89980E-1	2.71208E-3	1.67412E+1	-1.30943E+1
7.79974E-1	2.70573E-3	1.67020E+1	-1.28982E+1
7.69970E-1	2.69306E-3	1.66238E+1	-1.26731E+1
7.59970E-1	2.69417E-3	1.66307E+1	-1.25137E+1
7.49973E-1	2.68642E-3	1.65828E+1	-1.23135E+1
7.39969E-1	2.67897E-3	1.65369E+1	-1.21156E+1
7.29969E-1	2.68028E-3	1.65449E+1	-1.19577E+1
7.19974E-1	2.66574E-3	1.64552E+1	-1.17300E+1
7.09972E-1	2.66274E-3	1.64367E+1	-1.15540E+1
6.99973E-1	2.65774E-3	1.64058E+1	-1.13699E+1
6.89972E-1	2.64489E-3	1.63265E+1	-1.11533E+1
6.79975E-1	2.64457E-3	1.63245E+1	-1.09904E+1
6.69970E-1	2.63757E-3	1.62813E+1	-1.08000E+1
6.59972E-1	2.62631E-3	1.62118E+1	-1.05934E+1
6.49976E-1	2.62549E-3	1.62067E+1	-1.04297E+1
6.39977E-1	2.61455E-3	1.61392E+1	-1.02265E+1
6.29972E-1	2.60595E-3	1.60861E+1	-1.00335E+1
6.19969E-1	2.60609E-3	1.60870E+1	-9.87468E+0
6.09968E-1	2.59338E-3	1.60085E+1	-9.66800E+0
5.99969E-1	2.58802E-3	1.59754E+1	-9.48987E+0
5.89968E-1	2.57698E-3	1.59073E+1	-9.29187E+0
5.79968E-1	2.56455E-3	1.58306E+1	-9.09031E+0
5.69969E-1	2.56289E-3	1.58203E+1	-8.92781E+0
5.59970E-1	2.54842E-3	1.57310E+1	-8.72166E+0
5.49974E-1	2.54317E-3	1.56986E+1	-8.54833E+0
5.39974E-1	2.52818E-3	1.56060E+1	-8.34343E+0
5.29978E-1	2.51791E-3	1.55427E+1	-8.15571E+0
5.19974E-1	2.51420E-3	1.55198E+1	-7.98997E+0
5.09974E-1	2.49902E-3	1.54260E+1	-7.78899E+0
4.99978E-1	2.48552E-3	1.53427E+1	-7.59507E+0
4.89974E-1	2.47813E-3	1.52971E+1	-7.42097E+0
