Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.01003E+0	2.98699E-5	1.84382E-1	-1.88113E-1
1.00003E+0	3.55436E-3	2.19405E+1	-2.21628E+1
9.90028E-1	3.54722E-3	2.18964E+1	-2.18970E+1
9.80026E-1	3.54462E-3	2.18804E+1	-2.16599E+1
9.70033E-1	3.54486E-3	2.18819E+1	-2.14405E+1
9.60027E-1	3.55026E-3	2.19152E+1	-2.12517E+1
9.50024E-1	3.54385E-3	2.18756E+1	-2.09923E+1
9.40027E-1	3.54033E-3	2.18539E+1	-2.07508E+1
9.30018E-1	3.54352E-3	2.18736E+1	-2.05483E+1
9.20023E-1	3.53856E-3	2.18430E+1	-2.02990E+1
9.10023E-1	3.53450E-3	2.18179E+1	-2.00553E+1
9.00025E-1	3.53283E-3	2.18076E+1	-1.98256E+1
8.90021E-1	3.53676E-3	2.18319E+1	-1.96271E+1
8.80023E-1	3.53687E-3	2.18325E+1	-1.94072E+1
8.69988E-1	3.52892E-3	2.17835E+1	-1.91428E+1
8.59987E-1	3.53302E-3	2.18088E+1	-1.89447E+1
8.49988E-1	3.52932E-3	2.17859E+1	-1.87048E+1
8.39985E-1	3.52117E-3	2.17356E+1	-1.84420E+1
8.29987E-1	3.52066E-3	2.17325E+1	-1.82199E+1
8.19983E-1	3.52608E-3	2.17659E+1	-1.80280E+1
8.09986E-1	3.52243E-3	2.17434E+1	-1.77897E+1
7.99986E-1	3.51846E-3	2.17189E+1	-1.75503E+1
7.89989E-1	3.52354E-3	2.17502E+1	-1.73560E+1
7.79982E-1	3.52221E-3	2.17420E+1	-1.71297E+1
7.69985E-1	3.51546E-3	2.17004E+1	-1.68777E+1
7.59986E-1	3.51349E-3	2.16882E+1	-1.66492E+1
7.49985E-1	3.51545E-3	2.17003E+1	-1.64393E+1
7.39978E-1	3.51558E-3	2.17011E+1	-1.62206E+1
7.29979E-1	3.50735E-3	2.16503E+1	-1.59639E+1
7.19977E-1	3.50419E-3	2.16308E+1	-1.57310E+1
7.09975E-1	3.50914E-3	2.16614E+1	-1.55344E+1
6.99976E-1	3.50758E-3	2.16517E+1	-1.53088E+1
6.89976E-1	3.49658E-3	2.15838E+1	-1.50428E+1
6.79976E-1	3.50689E-3	2.16475E+1	-1.48684E+1
6.69973E-1	3.50009E-3	2.16055E+1	-1.46213E+1
6.59970E-1	3.49413E-3	2.15687E+1	-1.43785E+1
6.49971E-1	3.49886E-3	2.15979E+1	-1.41798E+1
6.39974E-1	3.49701E-3	2.15865E+1	-1.39543E+1
6.29966E-1	3.49151E-3	2.15525E+1	-1.37145E+1
6.19966E-1	3.48644E-3	2.15212E+1	-1.34772E+1
6.09966E-1	3.49034E-3	2.15453E+1	-1.32747E+1
5.99963E-1	3.49370E-3	2.15660E+1	-1.30695E+1
5.89965E-1	3.49087E-3	2.15486E+1	-1.28413E+1
5.79965E-1	3.48240E-3	2.14963E+1	-1.25930E+1
5.69967E-1	3.48044E-3	2.14842E+1	-1.23690E+1
5.59968E-1	3.48636E-3	2.15207E+1	-1.21727E+1
5.49971E-1	3.48421E-3	2.15075E+1	-1.19480E+1
5.39969E-1	3.47449E-3	2.14475E+1	-1.16979E+1
5.29970E-1	3.47107E-3	2.14264E+1	-1.14700E+1
5.19966E-1	3.48026E-3	2.14831E+1	-1.12833E+1
5.09967E-1	3.47282E-3	2.14372E+1	-1.10427E+1
4.99965E-1	3.46535E-3	2.13910E+1	-1.08028E+1
4.89959E-1	3.46807E-3	2.14078E+1	-1.05949E+1
4.79963E-1	3.47111E-3	2.14266E+1	-1.03879E+1
4.69961E-1	3.46004E-3	2.13583E+1	-1.01389E+1
4.59963E-1	3.46284E-3	2.13756E+1	-9.93128E+0
4.49961E-1	3.47034E-3	2.14219E+1	-9.73636E+0
4.39961E-1	3.46170E-3	2.13685E+1	-9.49628E+0
4.29964E-1	3.45990E-3	2.13574E+1	-9.27567E+0
4.19965E-1	3.46452E-3	2.13859E+1	-9.07206E+0
4.09966E-1	3.45099E-3	2.13024E+1	-8.82148E+0
3.99966E-1	3.44652E-3	2.12748E+1	-8.59515E+0
3.89972E-1	3.44658E-3	2.12752E+1	-8.38053E+0
3.79964E-1	3.43553E-3	2.12070E+1	-8.13928E+0
3.69965E-1	3.44445E-3	2.12620E+1	-7.94567E+0
3.59966E-1	3.44997E-3	2.12961E+1	-7.74331E+0
3.49967E-1	3.43912E-3	2.12291E+1	-7.50454E+0
3.39959E-1	3.43352E-3	2.11946E+1	-7.27806E+0
3.29962E-1	3.44409E-3	2.12598E+1	-7.08579E+0
3.19964E-1	3.42834E-3	2.11626E+1	-6.83966E+0
3.09959E-1	3.44233E-3	2.12490E+1	-6.65283E+0
2.99965E-1	3.43053E-3	2.11761E+1	-6.41625E+0
2.89966E-1	3.43472E-3	2.12020E+1	-6.20995E+0
2.79969E-1	3.43336E-3	2.11936E+1	-5.99348E+0
2.69972E-1	3.42594E-3	2.11478E+1	-5.76698E+0
2.59974E-1	3.43790E-3	2.12216E+1	-5.57279E+0
2.49973E-1	3.42922E-3	2.11680E+1	-5.34488E+0
2.39967E-1	3.42288E-3	2.11289E+1	-5.12145E+0
2.29965E-1	3.42473E-3	2.11403E+1	-4.91064E+0
2.19966E-1	3.42235E-3	2.11256E+1	-4.69386E+0
2.09968E-1	3.40708E-3	2.10314E+1	-4.46052E+0
1.99962E-1	3.41501E-3	2.10803E+1	-4.25784E+0
1.89962E-1	3.41543E-3	2.10829E+1	-4.04540E+0
1.79960E-1	3.40907E-3	2.10436E+1	-3.82527E+0
1.69965E-1	3.41097E-3	2.10554E+1	-3.61482E+0
1.59962E-1	3.39991E-3	2.09871E+1	-3.39105E+0
1.49963E-1	3.40682E-3	2.10298E+1	-3.18554E+0
1.39965E-1	3.41037E-3	2.10517E+1	-2.97626E+0
1.29964E-1	3.40015E-3	2.09886E+1	-2.75531E+0
1.19965E-1	3.40022E-3	2.09890E+1	-2.54338E+0
1.09967E-1	3.39852E-3	2.09785E+1	-2.33025E+0
9.99653E-2	3.39074E-3	2.09305E+1	-2.11346E+0
8.99613E-2	3.39622E-3	2.09643E+1	-1.90503E+0
7.99608E-2	3.39605E-3	2.09633E+1	-1.69317E+0
6.99661E-2	3.38805E-3	2.09139E+1	-1.47804E+0
5.99663E-2	3.39218E-3	2.09394E+1	-1.26834E+0
4.99561E-2	3.37690E-3	2.08451E+1	-1.05186E+0
3.99613E-2	3.38181E-3	2.08754E+1	-8.42633E-1
2.99602E-2	3.36856E-3	2.07936E+1	-6.29273E-1
1.99623E-2	3.36862E-3	2.07940E+1	-4.19288E-1
9.95898E-3	3.37049E-3	2.08055E+1	-2.09294E-1
-3.62396E-5	3.36275E-3	2.07577E+1	7.59850E-4
-9.89509E-3	3.35526E-3	2.07115E+1	2.07012E-1
-1.98979E-2	3.35671E-3	2.07204E+1	4.16458E-1
-2.98967E-2	3.35727E-3	2.07239E+1	6.25834E-1
-3.98951E-2	3.35385E-3	2.07028E+1	8.34282E-1
-4.98965E-2	3.35646E-3	2.07189E+1	1.04424E+0
-5.99012E-2	3.36322E-3	2.07606E+1	1.25615E+0
-6.98991E-2	3.35074E-3	2.06836E+1	1.46037E+0
-7.98986E-2	3.34892E-3	2.06723E+1	1.66838E+0
-8.98976E-2	3.34091E-3	2.06229E+1	1.87268E+0
-9.99031E-2	3.32291E-3	2.05118E+1	2.06989E+0
-1.09904E-1	3.34014E-3	2.06181E+1	2.28891E+0
-1.19904E-1	3.33362E-3	2.05779E+1	2.49230E+0
-1.29909E-1	3.32790E-3	2.05426E+1	2.69562E+0
-1.39908E-1	3.33090E-3	2.05611E+1	2.90572E+0
-1.49909E-1	3.31509E-3	2.04635E+1	3.09865E+0
-1.59908E-1	3.30748E-3	2.04165E+1	3.29775E+0
-1.69909E-1	3.31350E-3	2.04537E+1	3.51037E+0
-1.79908E-1	3.30366E-3	2.03930E+1	3.70592E+0
-1.89909E-1	3.30504E-3	2.04015E+1	3.91356E+0
-1.99906E-1	3.29368E-3	2.03314E+1	4.10541E+0
-2.09915E-1	3.28953E-3	2.03057E+1	4.30553E+0
-2.19915E-1	3.29087E-3	2.03140E+1	4.51248E+0
-2.29916E-1	3.27961E-3	2.02445E+1	4.70155E+0
-2.39917E-1	3.28061E-3	2.02507E+1	4.90756E+0
-2.49916E-1	3.26268E-3	2.01400E+1	5.08415E+0
-2.59916E-1	3.26164E-3	2.01336E+1	5.28590E+0
-2.69919E-1	3.25799E-3	2.01110E+1	5.48319E+0
-2.79913E-1	3.24358E-3	2.00221E+1	5.66106E+0
-2.89912E-1	3.23619E-3	1.99765E+1	5.84992E+0
-2.99912E-1	3.23472E-3	1.99674E+1	6.04895E+0
-3.09913E-1	3.22167E-3	1.98869E+1	6.22545E+0
-3.19915E-1	3.20946E-3	1.98115E+1	6.40201E+0
-3.29913E-1	3.20999E-3	1.98148E+1	6.60318E+0
-3.39906E-1	3.19858E-3	1.97443E+1	6.77900E+0
-3.49912E-1	3.19188E-3	1.97030E+1	6.96394E+0
-3.59911E-1	3.18044E-3	1.96323E+1	7.13727E+0
-3.69909E-1	3.16379E-3	1.95296E+1	7.29713E+0
-3.79909E-1	3.15336E-3	1.94652E+1	7.46970E+0
-3.89918E-1	3.12338E-3	1.92801E+1	7.59360E+0
-3.99913E-1	3.11814E-3	1.92478E+1	7.77519E+0
-4.09910E-1	3.11328E-3	1.92178E+1	7.95713E+0
-4.19908E-1	3.08543E-3	1.90459E+1	8.07829E+0
-4.29911E-1	3.06755E-3	1.89355E+1	8.22281E+0
-4.39911E-1	3.03894E-3	1.87589E+1	8.33560E+0
-4.49911E-1	3.01353E-3	1.86020E+1	8.45380E+0
-4.59913E-1	2.99444E-3	1.84842E+1	8.58699E+0
-4.69911E-1	2.95972E-3	1.82699E+1	8.67194E+0
-4.79911E-1	2.91669E-3	1.80043E+1	8.72772E+0
-4.89911E-1	2.88117E-3	1.77850E+1	8.80108E+0
-4.99920E-1	2.82062E-3	1.74112E+1	8.79215E+0
-5.09921E-1	2.77253E-3	1.71144E+1	8.81513E+0
-5.19918E-1	2.70761E-3	1.67136E+1	8.77750E+0
-5.29916E-1	2.63787E-3	1.62831E+1	8.71586E+0
-5.39922E-1	2.56671E-3	1.58439E+1	8.64087E+0
-5.49923E-1	2.48401E-3	1.53334E+1	8.51736E+0
-5.59921E-1	2.38201E-3	1.47038E+1	8.31611E+0
-5.69918E-1	2.28136E-3	1.40825E+1	8.10692E+0
-5.79916E-1	2.16632E-3	1.33723E+1	7.83317E+0
-5.89915E-1	2.03952E-3	1.25896E+1	7.50183E+0
-5.99915E-1	1.91135E-3	1.17985E+1	7.14957E+0
-6.09918E-1	1.76926E-3	1.09214E+1	6.72842E+0
-6.19914E-1	1.61921E-3	9.99512E+0	6.25870E+0
-6.29917E-1	1.46433E-3	9.03907E+0	5.75138E+0
-6.39950E-1	1.29736E-3	8.00840E+0	5.17674E+0
-6.49955E-1	1.12230E-3	6.92778E+0	4.54823E+0
-6.59951E-1	9.45656E-4	5.83738E+0	3.89130E+0
-6.69947E-1	7.59595E-4	4.68886E+0	3.17302E+0
-6.79953E-1	5.64524E-4	3.48472E+0	2.39338E+0
-6.89955E-1	3.66281E-4	2.26099E+0	1.57574E+0
-6.99951E-1	1.60162E-4	9.88654E-1	6.99000E-1
-7.09953E-1	-5.07980E-5	-3.13568E-1	-2.24867E-1
-7.19954E-1	-2.66465E-4	-1.64485E+0	-1.19617E+0
-7.29949E-1	-4.86112E-4	-3.00069E+0	-2.21248E+0
-7.39951E-1	-7.12419E-4	-4.39765E+0	-3.28691E+0
-7.49949E-1	-9.41358E-4	-5.81085E+0	-4.40186E+0
-7.59950E-1	-1.17656E-3	-7.26272E+0	-5.57505E+0
