Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.01002E+0	6.55991E-6	4.04933E-2	-4.08990E-2
1.00002E+0	6.61074E-6	4.08070E-2	-4.08079E-2
9.90014E-1	6.50718E-6	4.01678E-2	-3.97667E-2
9.80016E-1	6.40223E-6	3.95199E-2	-3.87302E-2
9.70019E-1	6.30282E-6	3.89063E-2	-3.77398E-2
9.60016E-1	6.20162E-6	3.82816E-2	-3.67510E-2
9.50015E-1	6.10555E-6	3.76886E-2	-3.58047E-2
9.40016E-1	6.00467E-6	3.70659E-2	-3.48425E-2
9.30010E-1	5.90989E-6	3.64808E-2	-3.39275E-2
9.20013E-1	5.81046E-6	3.58670E-2	-3.29981E-2
9.10016E-1	5.71190E-6	3.52586E-2	-3.20859E-2
9.00017E-1	5.61501E-6	3.46606E-2	-3.11951E-2
8.90013E-1	5.51891E-6	3.40673E-2	-3.03204E-2
8.80016E-1	5.42478E-6	3.34863E-2	-2.94685E-2
8.69982E-1	5.33099E-6	3.29073E-2	-2.86288E-2
8.59982E-1	5.23839E-6	3.23357E-2	-2.78082E-2
8.49983E-1	5.14626E-6	3.17670E-2	-2.70014E-2
8.39983E-1	5.05684E-6	3.12151E-2	-2.62201E-2
8.29983E-1	4.96801E-6	3.06667E-2	-2.54529E-2
8.19980E-1	4.87784E-6	3.01101E-2	-2.46897E-2
8.09979E-1	4.79302E-6	2.95865E-2	-2.39645E-2
7.99979E-1	4.70725E-6	2.90571E-2	-2.32451E-2
7.89980E-1	4.62170E-6	2.85290E-2	-2.25373E-2
7.79968E-1	4.53436E-6	2.79899E-2	-2.18312E-2
7.69972E-1	4.45038E-6	2.74715E-2	-2.11523E-2
7.59975E-1	4.36607E-6	2.69510E-2	-2.04821E-2
7.49974E-1	4.28127E-6	2.64276E-2	-1.98200E-2
7.39970E-1	4.20051E-6	2.59291E-2	-1.91867E-2
7.29968E-1	4.12102E-6	2.54384E-2	-1.85692E-2
7.19968E-1	4.03970E-6	2.49364E-2	-1.79534E-2
7.09969E-1	3.95913E-6	2.44391E-2	-1.73510E-2
6.99969E-1	3.88270E-6	2.39673E-2	-1.67764E-2
6.89969E-1	3.80552E-6	2.34909E-2	-1.62080E-2
6.79973E-1	3.72628E-6	2.30017E-2	-1.56406E-2
6.69968E-1	3.65033E-6	2.25329E-2	-1.50963E-2
6.59969E-1	3.57534E-6	2.20700E-2	-1.45655E-2
6.49968E-1	3.50024E-6	2.16064E-2	-1.40435E-2
6.39971E-1	3.42650E-6	2.11512E-2	-1.35362E-2
6.29967E-1	3.35366E-6	2.07016E-2	-1.30413E-2
6.19964E-1	3.28362E-6	2.02693E-2	-1.25662E-2
6.09966E-1	3.20985E-6	1.98139E-2	-1.20858E-2
5.99962E-1	3.14113E-6	1.93897E-2	-1.16331E-2
5.89965E-1	3.07090E-6	1.89562E-2	-1.11835E-2
5.79965E-1	3.00082E-6	1.85236E-2	-1.07430E-2
5.69968E-1	2.93218E-6	1.80999E-2	-1.03164E-2
5.59968E-1	2.86524E-6	1.76867E-2	-9.90397E-3
5.49969E-1	2.79848E-6	1.72746E-2	-9.50048E-3
