Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.01003E+0	-1.28746E-4	-7.94728E-1	8.02700E-1
1.00004E+0	1.55151E-5	9.57722E-2	-9.57761E-2
9.90037E-1	1.52172E-5	9.39333E-2	-9.29975E-2
9.80039E-1	1.49010E-5	9.19815E-2	-9.01454E-2
9.70039E-1	1.46679E-5	9.05426E-2	-8.78298E-2
9.60032E-1	1.43552E-5	8.86123E-2	-8.50707E-2
9.50033E-1	1.41122E-5	8.71123E-2	-8.27596E-2
9.40036E-1	1.38664E-5	8.55951E-2	-8.04624E-2
9.30030E-1	1.35571E-5	8.36858E-2	-7.78303E-2
9.20030E-1	1.32150E-5	8.15741E-2	-7.50506E-2
9.10030E-1	1.30497E-5	8.05537E-2	-7.33063E-2
9.00032E-1	1.26712E-5	7.82173E-2	-7.03981E-2
8.90029E-1	1.23989E-5	7.65364E-2	-6.81196E-2
8.80030E-1	1.20707E-5	7.45105E-2	-6.55715E-2
8.69997E-1	1.18220E-5	7.29753E-2	-6.34883E-2
8.59993E-1	1.15639E-5	7.13821E-2	-6.13881E-2
8.49994E-1	1.13084E-5	6.98049E-2	-5.93338E-2
8.39993E-1	1.10614E-5	6.82802E-2	-5.73549E-2
8.29996E-1	1.08204E-5	6.67926E-2	-5.54376E-2
8.19990E-1	1.05597E-5	6.51833E-2	-5.34497E-2
8.09992E-1	1.03259E-5	6.37401E-2	-5.16290E-2
7.99994E-1	1.01143E-5	6.24340E-2	-4.99468E-2
7.89993E-1	9.82475E-6	6.06466E-2	-4.79104E-2
7.79984E-1	9.56609E-6	5.90499E-2	-4.60580E-2
7.69983E-1	9.31329E-6	5.74894E-2	-4.42659E-2
7.59985E-1	9.09963E-6	5.61706E-2	-4.26888E-2
7.49979E-1	8.85979E-6	5.46901E-2	-4.10164E-2
7.39978E-1	8.64887E-6	5.33881E-2	-3.95060E-2
7.29979E-1	8.46101E-6	5.22285E-2	-3.81257E-2
7.19982E-1	8.22412E-6	5.07662E-2	-3.65507E-2
7.09983E-1	8.02072E-6	4.95106E-2	-3.51517E-2
6.99982E-1	7.80715E-6	4.81923E-2	-3.37337E-2
6.89982E-1	7.59089E-6	4.68573E-2	-3.23307E-2
6.79983E-1	7.41243E-6	4.57557E-2	-3.11131E-2
6.69982E-1	7.26772E-6	4.48625E-2	-3.00570E-2
6.59982E-1	7.03355E-6	4.34170E-2	-2.86544E-2
6.49989E-1	6.89449E-6	4.25586E-2	-2.76626E-2
6.39992E-1	6.69590E-6	4.13327E-2	-2.64526E-2
6.29982E-1	6.49472E-6	4.00909E-2	-2.52565E-2
6.19980E-1	6.33045E-6	3.90769E-2	-2.42269E-2
6.09984E-1	6.14943E-6	3.79594E-2	-2.31547E-2
5.99982E-1	5.98935E-6	3.69713E-2	-2.21821E-2
5.89980E-1	5.83742E-6	3.60335E-2	-2.12590E-2
5.79979E-1	5.66812E-6	3.49884E-2	-2.02925E-2
5.69983E-1	5.52283E-6	3.40915E-2	-1.94316E-2
5.59981E-1	5.35638E-6	3.30641E-2	-1.85153E-2
5.49982E-1	5.16396E-6	3.18763E-2	-1.75314E-2
5.39980E-1	5.02538E-6	3.10209E-2	-1.67506E-2
5.29979E-1	4.87589E-6	3.00981E-2	-1.59514E-2
5.19979E-1	4.74706E-6	2.93028E-2	-1.52369E-2
5.09978E-1	4.59746E-6	2.83794E-2	-1.44729E-2
4.99982E-1	4.46096E-6	2.75368E-2	-1.37679E-2
4.89973E-1	4.32210E-6	2.66796E-2	-1.30723E-2
4.79978E-1	4.19786E-6	2.59127E-2	-1.24375E-2
4.69979E-1	4.05585E-6	2.50361E-2	-1.17664E-2
4.59980E-1	3.94864E-6	2.43743E-2	-1.12117E-2
4.49973E-1	3.82223E-6	2.35940E-2	-1.06167E-2
4.39980E-1	3.69465E-6	2.28065E-2	-1.00344E-2
4.29981E-1	3.55604E-6	2.19509E-2	-9.43845E-3
4.19981E-1	3.43186E-6	2.11843E-2	-8.89701E-3
4.09982E-1	3.31489E-6	2.04623E-2	-8.38917E-3
3.99985E-1	3.20802E-6	1.98026E-2	-7.92074E-3
3.89987E-1	3.07874E-6	1.90046E-2	-7.41153E-3
3.79982E-1	2.96487E-6	1.83017E-2	-6.95430E-3
3.69985E-1	2.82844E-6	1.74595E-2	-6.45976E-3
3.59983E-1	2.72593E-6	1.68267E-2	-6.05734E-3
3.49983E-1	2.59917E-6	1.60443E-2	-5.61522E-3
3.39979E-1	2.49662E-6	1.54112E-2	-5.23950E-3
3.29984E-1	2.41830E-6	1.49278E-2	-4.92593E-3
3.19982E-1	2.31876E-6	1.43133E-2	-4.58001E-3
3.09983E-1	2.21215E-6	1.36552E-2	-4.23289E-3
2.99982E-1	2.12068E-6	1.30906E-2	-3.92695E-3
2.89982E-1	2.03184E-6	1.25422E-2	-3.63702E-3
2.79983E-1	1.94059E-6	1.19790E-2	-3.35390E-3
2.69982E-1	1.85164E-6	1.14299E-2	-3.08586E-3
2.59983E-1	1.76490E-6	1.08944E-2	-2.83237E-3
2.49981E-1	1.67541E-6	1.03420E-2	-2.58531E-3
2.39985E-1	1.59306E-6	9.83370E-3	-2.35994E-3
2.29982E-1	1.50926E-6	9.31642E-3	-2.14261E-3
2.19981E-1	1.42509E-6	8.79685E-3	-1.93514E-3
2.09982E-1	1.34876E-6	8.32568E-3	-1.74824E-3
1.99974E-1	1.27288E-6	7.85728E-3	-1.57125E-3
1.89973E-1	1.20139E-6	7.41599E-3	-1.40884E-3
1.79978E-1	1.12877E-6	6.96772E-3	-1.25404E-3
1.69979E-1	1.05108E-6	6.48815E-3	-1.10285E-3
1.59975E-1	9.80956E-7	6.05528E-3	-9.68694E-4
1.49973E-1	9.08363E-7	5.60718E-3	-8.40925E-4
1.39974E-1	8.45613E-7	5.21983E-3	-7.30641E-4
1.29971E-1	7.82407E-7	4.82967E-3	-6.27717E-4
1.19974E-1	7.17709E-7	4.43030E-3	-5.31521E-4
1.09972E-1	6.49689E-7	4.01043E-3	-4.41035E-4
9.99730E-2	5.87455E-7	3.62627E-3	-3.62529E-4
8.99730E-2	5.28129E-7	3.26006E-3	-2.93317E-4
7.99737E-2	4.73642E-7	2.92372E-3	-2.33820E-4
6.99809E-2	4.13624E-7	2.55323E-3	-1.78678E-4
5.99849E-2	3.58003E-7	2.20990E-3	-1.32560E-4
4.99737E-2	3.02657E-7	1.86825E-3	-9.33635E-5
3.99776E-2	2.47581E-7	1.52828E-3	-6.10969E-5
2.99766E-2	1.92331E-7	1.18723E-3	-3.55891E-5
1.99792E-2	1.37279E-7	8.47401E-4	-1.69304E-5
9.97066E-3	8.22096E-8	5.07467E-4	-5.05978E-6
-2.31266E-5	3.02644E-8	1.86817E-4	4.32045E-9
-9.91726E-3	-2.12074E-8	-1.30910E-4	-1.29827E-6
-1.99218E-2	-7.79379E-8	-4.81098E-4	-9.58434E-6
-2.99180E-2	-1.35303E-7	-8.35204E-4	-2.49876E-5
-3.99182E-2	-1.89870E-7	-1.17204E-3	-4.67856E-5
-4.99165E-2	-2.45968E-7	-1.51832E-3	-7.57893E-5
-5.99186E-2	-3.03551E-7	-1.87377E-3	-1.12274E-4
-6.99143E-2	-3.60501E-7	-2.22531E-3	-1.55581E-4
-7.99167E-2	-4.19327E-7	-2.58844E-3	-2.06859E-4
-8.99165E-2	-4.79554E-7	-2.96021E-3	-2.66172E-4
-9.99200E-2	-5.39755E-7	-3.33182E-3	-3.32916E-4
-1.09917E-1	-6.03457E-7	-3.72504E-3	-4.09446E-4
-1.19920E-1	-6.64063E-7	-4.09915E-3	-4.91571E-4
-1.29920E-1	-7.32301E-7	-4.52038E-3	-5.87287E-4
-1.39918E-1	-7.96836E-7	-4.91874E-3	-6.88220E-4
-1.49917E-1	-8.69970E-7	-5.37019E-3	-8.05082E-4
-1.59915E-1	-9.40738E-7	-5.80702E-3	-9.28630E-4
-1.69921E-1	-1.01694E-6	-6.27741E-3	-1.06666E-3
-1.79921E-1	-1.09538E-6	-6.76160E-3	-1.21655E-3
-1.89921E-1	-1.17000E-6	-7.22222E-3	-1.37165E-3
-1.99922E-1	-1.24286E-6	-7.67198E-3	-1.53380E-3
-2.09930E-1	-1.32412E-6	-8.17358E-3	-1.71588E-3
-2.19929E-1	-1.41136E-6	-8.71210E-3	-1.91604E-3
-2.29926E-1	-1.49394E-6	-9.22185E-3	-2.12034E-3
-2.39930E-1	-1.59078E-6	-9.81963E-3	-2.35602E-3
-2.49930E-1	-1.67837E-6	-1.03603E-2	-2.58935E-3
-2.59927E-1	-1.77761E-6	-1.09729E-2	-2.85215E-3
-2.69927E-1	-1.86451E-6	-1.15093E-2	-3.10668E-3
-2.79925E-1	-1.97089E-6	-1.21660E-2	-3.40556E-3
-2.89924E-1	-2.05917E-6	-1.27109E-2	-3.68520E-3
-2.99924E-1	-2.16559E-6	-1.33678E-2	-4.00934E-3
-3.09923E-1	-2.28005E-6	-1.40744E-2	-4.36197E-3
-3.19924E-1	-2.39090E-6	-1.47586E-2	-4.72164E-3
-3.29921E-1	-2.52581E-6	-1.55914E-2	-5.14394E-3
-3.39919E-1	-2.64801E-6	-1.63457E-2	-5.55623E-3
-3.49926E-1	-2.77674E-6	-1.71404E-2	-5.99786E-3
-3.59923E-1	-2.92436E-6	-1.80516E-2	-6.49719E-3
-3.69927E-1	-3.05354E-6	-1.88490E-2	-6.97276E-3
-3.79921E-1	-3.27007E-6	-2.01856E-2	-7.66894E-3
-3.89928E-1	-3.45091E-6	-2.13019E-2	-8.30621E-3
-3.99927E-1	-3.61361E-6	-2.23062E-2	-8.92087E-3
-4.09924E-1	-3.81712E-6	-2.35625E-2	-9.65882E-3
-4.19920E-1	-4.01764E-6	-2.48002E-2	-1.04141E-2
-4.29919E-1	-4.27939E-6	-2.64160E-2	-1.13567E-2
-4.39917E-1	-4.58832E-6	-2.83230E-2	-1.24598E-2
-4.49919E-1	-4.92653E-6	-3.04107E-2	-1.36823E-2
-4.59921E-1	-5.28460E-6	-3.26210E-2	-1.50031E-2
-4.69919E-1	-5.73416E-6	-3.53960E-2	-1.66333E-2
-4.79918E-1	-6.26701E-6	-3.86852E-2	-1.85657E-2
-4.89916E-1	-6.92757E-6	-4.27628E-2	-2.09502E-2
-4.99924E-1	-7.71776E-6	-4.76405E-2	-2.38166E-2
-5.09925E-1	-8.69384E-6	-5.36657E-2	-2.73655E-2
-5.19924E-1	-9.88164E-6	-6.09978E-2	-3.17142E-2
-5.29920E-1	-1.14202E-5	-7.04951E-2	-3.73567E-2
-5.39926E-1	-1.32879E-5	-8.20241E-2	-4.42869E-2
-5.49926E-1	-1.56621E-5	-9.66796E-2	-5.31666E-2
-5.59927E-1	-1.86725E-5	-1.15262E-1	-6.45385E-2
-5.69927E-1	-2.25332E-5	-1.39094E-1	-7.92733E-2
-5.79927E-1	-2.73735E-5	-1.68972E-1	-9.79916E-2
-5.89925E-1	-3.35975E-5	-2.07392E-1	-1.22346E-1
-5.99925E-1	-4.15431E-5	-2.56439E-1	-1.53844E-1
-6.09928E-1	-5.16567E-5	-3.18869E-1	-1.94487E-1
-6.19924E-1	-6.44794E-5	-3.98021E-1	-2.46743E-1
-6.29925E-1	-8.07392E-5	-4.98390E-1	-3.13948E-1
-6.39963E-1	-1.01207E-4	-6.24735E-1	-3.99807E-1
-6.49966E-1	-1.26704E-4	-7.82123E-1	-5.08354E-1
-6.59964E-1	-1.58192E-4	-9.76494E-1	-6.44451E-1
-6.69965E-1	-1.96705E-4	-1.21423E+0	-8.13491E-1
-6.79969E-1	-2.43279E-4	-1.50172E+0	-1.02112E+0
-6.89965E-1	-2.98804E-4	-1.84447E+0	-1.27262E+0
-6.99964E-1	-3.64182E-4	-2.24804E+0	-1.57354E+0
-7.09966E-1	-4.40028E-4	-2.71622E+0	-1.92843E+0
-7.19966E-1	-5.26933E-4	-3.25267E+0	-2.34181E+0
-7.29965E-1	-6.25052E-4	-3.85835E+0	-2.81646E+0
-7.39969E-1	-7.34570E-4	-4.53438E+0	-3.35530E+0
-7.49967E-1	-8.55321E-4	-5.27976E+0	-3.95965E+0
-7.59972E-1	-9.87033E-4	-6.09280E+0	-4.63035E+0
-7.69972E-1	-1.12963E-3	-6.97302E+0	-5.36903E+0
-7.79969E-1	-1.28217E-3	-7.91463E+0	-6.17317E+0
-7.89977E-1	-1.44437E-3	-8.91586E+0	-7.04333E+0
-7.99974E-1	-1.61546E-3	-9.97198E+0	-7.97732E+0
-8.09977E-1	-1.79532E-3	-1.10822E+1	-8.97635E+0
-8.19977E-1	-1.98307E-3	-1.22412E+1	-1.00375E+1
-8.29981E-1	-2.17848E-3	-1.34474E+1	-1.11611E+1
-8.39983E-1	-2.38073E-3	-1.46959E+1	-1.23443E+1
-8.49985E-1	-2.58945E-3	-1.59843E+1	-1.35864E+1
-8.59983E-1	-2.80422E-3	-1.73100E+1	-1.48863E+1
-8.69978E-1	-3.02453E-3	-1.86699E+1	-1.62424E+1
-8.79978E-1	-3.25032E-3	-2.00637E+1	-1.76556E+1
-8.89974E-1	-3.48082E-3	-2.14865E+1	-1.91225E+1
-8.99977E-1	-3.71611E-3	-2.29390E+1	-2.06445E+1
-9.09976E-1	-3.95561E-3	-2.44173E+1	-2.22192E+1
-9.19976E-1	-4.19906E-3	-2.59201E+1	-2.38459E+1
-9.29974E-1	-4.44626E-3	-2.74460E+1	-2.55241E+1
-9.39982E-1	-4.69710E-3	-2.89944E+1	-2.72543E+1
-9.49982E-1	-4.95129E-3	-3.05635E+1	-2.90348E+1
-9.59979E-1	-5.20855E-3	-3.21515E+1	-3.08648E+1
-9.69983E-1	-5.46891E-3	-3.37587E+1	-3.27454E+1
-9.79979E-1	-5.73160E-3	-3.53802E+1	-3.46719E+1
-9.89979E-1	-5.99690E-3	-3.70179E+1	-3.66469E+1
-9.99973E-1	-6.26492E-3	-3.86723E+1	-3.86713E+1
-1.00998E+0	-6.53525E-3	-4.03410E+1	-4.07437E+1
4.32045E-9	1.86817E-4	-9.91726E-3	2.33196E-3
3.59108E-6	7.21864E-4	-1.99060E-2	2.49911E-1
6.81180E-6	1.13653E-3	-2.99201E-2	2.00317E-1
1.34381E-7	3.06996E-4	-9.89556E-3	4.42349E-2
6.45557E-6	1.03291E-3	-2.99120E-2	2.08942E-1
7.99483E-6	1.01747E-3	-2.99168E-2	2.62647E-1
