Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.01003E+0	4.57912E-6	2.82662E-2	-2.85497E-2
1.00003E+0	4.50107E-6	2.77844E-2	-2.77852E-2
9.90032E-1	4.42528E-6	2.73165E-2	-2.70443E-2
9.80028E-1	4.35606E-6	2.68893E-2	-2.63522E-2
9.70026E-1	4.27650E-6	2.63981E-2	-2.56069E-2
9.60027E-1	4.20508E-6	2.59573E-2	-2.49197E-2
9.50029E-1	4.13641E-6	2.55334E-2	-2.42575E-2
9.40031E-1	4.06278E-6	2.50789E-2	-2.35749E-2
9.30019E-1	3.99421E-6	2.46556E-2	-2.29302E-2
9.20023E-1	3.92551E-6	2.42315E-2	-2.22936E-2
9.10025E-1	3.85492E-6	2.37958E-2	-2.16548E-2
9.00028E-1	3.78922E-6	2.33902E-2	-2.10519E-2
8.90025E-1	3.71899E-6	2.29567E-2	-2.04321E-2
8.80029E-1	3.65058E-6	2.25344E-2	-1.98310E-2
8.69992E-1	3.58571E-6	2.21340E-2	-1.92564E-2
8.59996E-1	3.52301E-6	2.17470E-2	-1.87023E-2
8.49997E-1	3.45716E-6	2.13405E-2	-1.81394E-2
8.39999E-1	3.39515E-6	2.09577E-2	-1.76045E-2
8.29997E-1	3.33122E-6	2.05631E-2	-1.70673E-2
8.19987E-1	3.26932E-6	2.01810E-2	-1.65481E-2
8.09991E-1	3.21196E-6	1.98269E-2	-1.60596E-2
7.99997E-1	3.15079E-6	1.94493E-2	-1.55594E-2
7.89988E-1	3.08747E-6	1.90585E-2	-1.50560E-2
7.79983E-1	3.02899E-6	1.86975E-2	-1.45837E-2
7.69984E-1	2.97257E-6	1.83492E-2	-1.41286E-2
7.59984E-1	2.91440E-6	1.79901E-2	-1.36722E-2
7.49991E-1	2.85779E-6	1.76407E-2	-1.32304E-2
7.39985E-1	2.80548E-6	1.73178E-2	-1.28149E-2
7.29985E-1	2.75434E-6	1.70021E-2	-1.24113E-2
7.19991E-1	2.70137E-6	1.66751E-2	-1.20059E-2
7.09993E-1	2.65055E-6	1.63614E-2	-1.16165E-2
6.99991E-1	2.59705E-6	1.60312E-2	-1.12217E-2
6.89997E-1	2.54224E-6	1.56928E-2	-1.08280E-2
6.79994E-1	2.49411E-6	1.53957E-2	-1.04690E-2
6.69990E-1	2.43860E-6	1.50531E-2	-1.00854E-2
6.59987E-1	2.38667E-6	1.47325E-2	-9.72328E-3
6.49990E-1	2.33853E-6	1.44354E-2	-9.38285E-3
6.39987E-1	2.29224E-6	1.41496E-2	-9.05558E-3
6.29983E-1	2.24318E-6	1.38468E-2	-8.72324E-3
6.19982E-1	2.19580E-6	1.35543E-2	-8.40344E-3
6.09986E-1	2.14636E-6	1.32491E-2	-8.08179E-3
5.99982E-1	2.09931E-6	1.29587E-2	-7.77499E-3
5.89986E-1	2.05532E-6	1.26872E-2	-7.48525E-3
5.79983E-1	2.01066E-6	1.24115E-2	-7.19845E-3
5.69987E-1	1.96497E-6	1.21294E-2	-6.91363E-3
5.59988E-1	1.92339E-6	1.18728E-2	-6.64861E-3
5.49986E-1	1.87954E-6	1.16021E-2	-6.38099E-3
5.39990E-1	1.83610E-6	1.13340E-2	-6.12022E-3
5.29986E-1	1.79240E-6	1.10642E-2	-5.86387E-3
5.19985E-1	1.75071E-6	1.08069E-2	-5.61940E-3
5.09984E-1	1.70593E-6	1.05304E-2	-5.37035E-3
4.99986E-1	1.66579E-6	1.02827E-2	-5.14118E-3
4.89980E-1	1.62556E-6	1.00343E-2	-4.91662E-3
4.79981E-1	1.58558E-6	9.78753E-3	-4.69783E-3
4.69984E-1	1.54295E-6	9.52438E-3	-4.47631E-3
4.59985E-1	1.50555E-6	9.29352E-3	-4.27488E-3
4.49978E-1	1.46707E-6	9.05599E-3	-4.07500E-3
4.39982E-1	1.42860E-6	8.81852E-3	-3.87999E-3
4.29982E-1	1.39120E-6	8.58765E-3	-3.69254E-3
4.19982E-1	1.35255E-6	8.34907E-3	-3.50646E-3
4.09988E-1	1.31522E-6	8.11864E-3	-3.32855E-3
3.99984E-1	1.27684E-6	7.88173E-3	-3.15257E-3
3.89986E-1	1.23941E-6	7.65068E-3	-2.98366E-3
3.79982E-1	1.20426E-6	7.43370E-3	-2.82467E-3
3.69983E-1	1.17091E-6	7.22784E-3	-2.67418E-3
