Efficiency(%)	JSC(mA/cm^2)	VOC(V)	FF				 
1.01003E+0	2.11271E-6	1.30414E-2	-1.31722E-2
1.00004E+0	3.51397E-3	2.16912E+1	-2.16920E+1
9.90037E-1	3.50522E-3	2.16372E+1	-2.14216E+1
9.80036E-1	3.51672E-3	2.17081E+1	-2.12748E+1
9.70040E-1	3.51389E-3	2.16907E+1	-2.10408E+1
9.60032E-1	3.51531E-3	2.16994E+1	-2.08322E+1
9.50035E-1	3.51093E-3	2.16724E+1	-2.05895E+1
9.40035E-1	3.50265E-3	2.16213E+1	-2.03248E+1
9.30025E-1	3.51854E-3	2.17194E+1	-2.01996E+1
9.20028E-1	3.50818E-3	2.16554E+1	-1.99236E+1
9.10030E-1	3.50775E-3	2.16528E+1	-1.97047E+1
9.00029E-1	3.51259E-3	2.16827E+1	-1.95150E+1
8.90030E-1	3.50568E-3	2.16400E+1	-1.92602E+1
8.80030E-1	3.50506E-3	2.16362E+1	-1.90405E+1
8.69999E-1	3.50622E-3	2.16433E+1	-1.88297E+1
8.59998E-1	3.50929E-3	2.16623E+1	-1.86295E+1
8.50000E-1	3.49737E-3	2.15887E+1	-1.83504E+1
8.40001E-1	3.50613E-3	2.16428E+1	-1.81800E+1
8.30004E-1	3.50324E-3	2.16249E+1	-1.79488E+1
8.19996E-1	3.49758E-3	2.15900E+1	-1.77037E+1
8.10002E-1	3.50890E-3	2.16599E+1	-1.75445E+1
7.99997E-1	3.49504E-3	2.15743E+1	-1.72594E+1
7.90001E-1	3.49666E-3	2.15843E+1	-1.70516E+1
7.79992E-1	3.50558E-3	2.16394E+1	-1.68785E+1
7.69994E-1	3.49763E-3	2.15903E+1	-1.66244E+1
7.59996E-1	3.50225E-3	2.16188E+1	-1.64302E+1
7.49999E-1	3.49774E-3	2.15910E+1	-1.61932E+1
7.39993E-1	3.48587E-3	2.15177E+1	-1.59230E+1
7.29995E-1	3.49444E-3	2.15706E+1	-1.57464E+1
7.19998E-1	3.48580E-3	2.15173E+1	-1.54924E+1
7.09999E-1	3.49782E-3	2.15915E+1	-1.53299E+1
6.99999E-1	3.49569E-3	2.15783E+1	-1.51048E+1
6.89996E-1	3.49250E-3	2.15586E+1	-1.48754E+1
6.80000E-1	3.49406E-3	2.15683E+1	-1.46664E+1
6.69992E-1	3.47947E-3	2.14782E+1	-1.43902E+1
6.59998E-1	3.48152E-3	2.14909E+1	-1.41839E+1
6.50001E-1	3.48265E-3	2.14978E+1	-1.39736E+1
6.40000E-1	3.47684E-3	2.14620E+1	-1.37357E+1
6.29989E-1	3.48867E-3	2.15350E+1	-1.35668E+1
6.19990E-1	3.47469E-3	2.14487E+1	-1.32980E+1
6.09991E-1	3.47631E-3	2.14587E+1	-1.30896E+1
5.99992E-1	3.47695E-3	2.14627E+1	-1.28774E+1
5.89990E-1	3.47449E-3	2.14475E+1	-1.26538E+1
5.79997E-1	3.48905E-3	2.15373E+1	-1.24916E+1
5.69993E-1	3.48017E-3	2.14825E+1	-1.22449E+1
5.59994E-1	3.48574E-3	2.15169E+1	-1.20493E+1
5.49998E-1	3.47386E-3	2.14436E+1	-1.17939E+1
5.39994E-1	3.47666E-3	2.14609E+1	-1.15887E+1
5.29997E-1	3.48305E-3	2.15003E+1	-1.13951E+1
5.19995E-1	3.47401E-3	2.14445E+1	-1.11510E+1
5.09994E-1	3.46111E-3	2.13649E+1	-1.08960E+1
4.99993E-1	3.46656E-3	2.13985E+1	-1.06991E+1
4.89989E-1	3.45739E-3	2.13419E+1	-1.04573E+1
4.79989E-1	3.46926E-3	2.14152E+1	-1.02791E+1
4.69987E-1	3.46602E-3	2.13952E+1	-1.00555E+1
4.59989E-1	3.46872E-3	2.14119E+1	-9.84922E+0
4.49987E-1	3.46992E-3	2.14193E+1	-9.63839E+0
