name,channel,pce,jsc,voc,ff
1_01A,A,12.879,24.63,0.84,0.623
1_01A,B,13.235,25.01,0.83,0.638
1_01A,C,0.009,0.026,0.29,1.268
1_01A,D,6.07,0.023,0.57,473.014
1_01A,E,12.457,23.152,0.86,0.626
1_01A,F,12.648,22.329,0.83,0.683
1_02A,A,10.064,19.622,0.82,0.625
1_02A,B,10.111,19.212,0.82,0.642
1_02A,C,10.504,19.147,0.82,0.669
1_02A,D,10.296,19.543,0.82,0.642
1_02A,E,9.993,19.505,0.81,0.633
1_02A,F,8.464,18.918,0.77,0.581
1_03A,A,0.144,1.717,0.85,0.099
1_03A,B,0.162,1.982,0.81,0.101
1_03A,C,0.175,2.098,0.81,0.103
1_03A,D,0.187,2.267,0.81,0.102
1_03A,F,0.215,2.479,0.81,0.107
1_09A,A,10.944,24.828,0.8,0.551
1_09A,B,10.951,24.546,0.8,0.558
1_09A,C,11.463,24.585,0.8,0.583
1_09A,D,10.189,24.853,0.79,0.519
1_09A,E,0.22,0.581,0.8,0.474
1_09A,F,11.136,25.297,0.79,0.557
1_10A,A,0.142,1.357,0.87,0.12
1_10A,B,0.147,1.422,0.85,0.121
1_10A,C,0.159,1.526,0.83,0.125
1_10A,D,0.125,1.215,0.86,0.12
1_10A,E,0.146,1.385,0.84,0.125
1_10A,F,0.163,1.56,0.87,0.12
1_11A,A,5.197,15.667,0.72,0.461
1_11A,B,8.141,15.726,0.82,0.631
1_11A,C,8.599,14.855,0.81,0.715
1_11A,D,6.542,13.777,0.8,0.594
1_11A,E,-0.002,0.157,0.16,0.075
1_11A,F,4.026,15.612,0.53,0.487
1_12A,A,0.164,1.965,0.83,0.1
1_12A,B,0.175,1.99,0.76,0.116
1_12A,C,0.003,0.006,0.725,0.632
1_12A,D,0.021,0.057,0.73,0.494
1_12A,E,0.002,0.004,0.75,0.739
1_12A,F,0.19,2.136,0.76,0.117
1_13A,A,7.179,19.993,0.82,0.438
1_13A,B,7.197,19.5,0.82,0.45
1_13A,C,5.628,17.462,0.82,0.393
1_13A,D,1.791,14.589,0.43,0.286
1_13A,E,6.285,19.688,0.71,0.45
1_13A,F,3.219,14.22,0.73,0.31
