name,channel,pce,jsc,voc,ff
ADoE_5_A,A,8.534,19.557,0.86,0.502
ADoE_5_A,B,8.568,21.345,0.85,0.467
ADoE_5_A,C,0.002,0.005,0.85,0.508
ADoE_5_A,D,8.139,19.567,0.85,0.484
ADoE_5_A,E,8.27,20.192,0.85,0.477
ADoE_5_A,F,8.552,19.818,0.85,0.503
ADoE_6_A,A,8.979,19.084,0.81,0.575
ADoE_6_A,B,9.246,19.229,0.81,0.588
ADoE_6_A,C,9.279,18.402,0.81,0.616
ADoE_6_A,D,0.001,0.002,0.919,0.511
ADoE_6_A,E,8.218,17.375,0.81,0.578
ADoE_6_A,F,8.425,17.157,0.81,0.6
ADoE_7_A,A,5.86,18.451,0.73,0.431
ADoE_7_A,B,5.796,17.968,0.73,0.437
ADoE_7_A,C,0.134,0.475,0.902,0.309
ADoE_7_A,D,5.729,17.993,0.72,0.438
ADoE_7_A,E,5.871,18.127,0.72,0.445
ADoE_7_A,F,6.068,18.455,0.73,0.446
ADoE_8_A,A,9.961,21.92,0.83,0.542
ADoE_8_A,B,9.785,21.933,0.82,0.539
ADoE_8_A,C,10.916,22.371,0.82,0.589
ADoE_8_A,D,3.075,18.617,0.46,0.355
ADoE_8_A,E,9.227,20.397,0.82,0.546
ADoE_8_A,F,9.641,20.447,0.82,0.569
ADoE_9_A,A,0.004,0.011,0.994,0.332
ADoE_9_A,B,0.001,0.004,0.962,0.38
ADoE_9_A,C,11.124,23.529,0.8,0.585
ADoE_9_A,D,0.0,0.0,1.0,0.519
ADoE_9_A,E,0.081,0.098,0.92,0.887
ADoE_9_A,F,0.001,0.003,1.0,0.381
Y6_25_A,A,2.332,6.848,0.85,0.397
Y6_25_A,B,2.375,6.964,0.85,0.397
Y6_25_A,C,2.341,6.848,0.85,0.398
Y6_25_A,D,0.001,0.003,0.991,0.232
Y6_25_A,E,2.446,7.205,0.84,0.4
Y6_25_A,F,2.656,7.83,0.84,0.4
Y6_30_B,A,1.93,5.702,0.84,0.399
Y6_30_B,B,2.021,5.992,0.84,0.397
Y6_30_B,C,0.0,0.0,0.846,0.77
Y6_30_B,D,0.422,3.547,0.35,0.336
Y6_30_B,E,2.12,6.324,0.84,0.395
Y6_30_B,F,2.175,6.492,0.84,0.395
Y6_80_A,A,10.474,20.679,0.82,0.612
Y6_80_A,B,10.761,21.007,0.81,0.626
Y6_80_A,C,11.32,21.698,0.81,0.638
Y6_80_A,D,10.667,21.049,0.81,0.619
Y6_80_A,E,10.529,20.643,0.81,0.623
Y6_80_A,F,11.375,21.463,0.81,0.648
