name,trial,channel,pce,jsc,voc,ff
1,a,a,10.929,21.875,0.81,0.597
1,a,b,11.008,20.952,0.79,0.643
1,a,c,12.131,20.726,0.81,0.699
1,a,d,5.019,22.712,0.46,0.465
1,a,e,11.19,21.604,0.8,0.626
1,a,f,11.343,20.443,0.79,0.679
1,b,a,11.584,25.955,0.81,0.533
1,b,b,11.747,26.085,0.79,0.551
1,b,c,12.887,24.785,0.8,0.629
1,b,d,10.882,23.332,0.8,0.564
1,b,e,11.226,22.016,0.79,0.624
1,b,f,11.779,20.849,0.8,0.683
1,c,a,11.447,23.506,0.81,0.582
1,c,b,2.567,21.568,0.25,0.46
1,c,c,11.995,20.775,0.81,0.689
1,c,d,11.564,24.049,0.81,0.574
1,c,e,12.17,23.571,0.8,0.624
1,c,f,12.529,22.119,0.8,0.685
1,d,a,10.592,22.573,0.81,0.56
1,d,b,11.277,22.291,0.8,0.612
1,d,c,11.994,21.931,0.8,0.661
1,d,d,11.212,22.932,0.8,0.591
1,d,e,11.987,22.849,0.79,0.642
1,d,f,12.477,21.678,0.8,0.696
2,a,a,8.6,22.912,0.79,0.46
2,a,b,11.43,22.649,0.8,0.61
2,a,c,11.785,21.603,0.79,0.668
2,a,d,4.086,6.838,0.79,0.732
2,a,e,2.07,3.535,0.78,0.726
2,a,f,11.535,20.39,0.79,0.693
2,b,a,11.082,26.841,0.76,0.525
2,b,b,11.377,26.693,0.73,0.565
2,b,c,12.287,24.71,0.74,0.65
2,b,d,9.357,20.731,0.78,0.56
2,b,e,9.264,20.955,0.73,0.586
2,b,f,9.552,20.243,0.73,0.625
2,c,a,11.542,26.037,0.8,0.536
2,c,b,12.723,25.603,0.79,0.608
2,c,c,12.999,24.265,0.79,0.656
2,c,d,9.818,21.139,0.79,0.569
2,c,e,10.567,20.555,0.79,0.629
2,c,f,10.7,20.182,0.79,0.649
2,d,a,11.069,25.754,0.8,0.52
2,d,b,11.947,25.249,0.79,0.579
2,d,c,13.299,25.565,0.8,0.629
2,d,d,1.556,2.624,0.79,0.726
2,d,e,0.745,1.348,0.79,0.677
