name,channel,pce,jsc,voc,ff
ADoE_40A,A,3.587,19.175,0.45,0.408
ADoE_40A,B,9.039,22.144,0.78,0.513
ADoE_40A,C,9.385,22.554,0.77,0.53
ADoE_40A,D,0.021,0.052,0.931,0.43
ADoE_40A,E,9.005,21.839,0.77,0.525
ADoE_40A,F,0.001,0.002,0.848,0.727
ADoE_43A,A,5.53,18.252,0.69,0.43
ADoE_43A,B,7.883,19.879,0.75,0.518
ADoE_43A,C,0.003,0.008,0.869,0.486
ADoE_43A,D,3.549,16.842,0.5,0.413
ADoE_43A,E,7.904,20.224,0.74,0.518
ADoE_43A,F,8.055,20.153,0.74,0.529
Check,A,0.0,1.656,0.01,0.005
Check,B,0.001,0.087,0.201,0.049
Check,C,0.0,2.596,0.01,0.004
Check,D,0.007,1.844,0.02,0.177
Check,E,0.0,1.581,0.01,0.003
Check,F,-0.0,0.0,0.182,-0.0
PTB7Y6_10,A,0.018,0.23,0.25,0.31
PTB7Y6_10,B,0.012,0.224,0.18,0.287
PTB7Y6_10,C,0.011,0.222,0.17,0.289
PTB7Y6_10,D,0.011,0.223,0.17,0.288
PTB7Y6_10,E,0.011,0.216,0.17,0.287
PTB7Y6_10,F,0.01,0.215,0.16,0.287
PTB7Y6_20,A,0.048,0.818,0.18,0.322
PTB7Y6_20,B,0.046,0.806,0.17,0.328
PTB7Y6_20,C,0.046,0.837,0.17,0.318
PTB7Y6_20,D,0.04,0.76,0.16,0.322
PTB7Y6_20,E,0.038,0.747,0.16,0.313
PTB7Y6_20,F,0.038,0.75,0.15,0.329
PTB7Y6_30,A,0.075,1.596,0.14,0.328
PTB7Y6_30,B,0.082,1.726,0.14,0.335
PTB7Y6_30,C,0.079,1.756,0.13,0.339
PTB7Y6_30,D,0.073,1.674,0.13,0.329
PTB7Y6_30,E,0.07,1.646,0.12,0.347
PTB7Y6_30,F,0.069,1.72,0.12,0.329
PTB7Y6_40,A,0.062,2.994,0.07,0.291
PTB7Y6_40,B,0.051,2.898,0.06,0.29
PTB7Y6_40,C,0.0,0.0,0.056,0.934
PTB7Y6_40,D,0.047,2.632,0.06,0.29
PTB7Y6_40,E,0.036,2.601,0.05,0.27
PTB7Y6_40,F,0.034,2.65,0.05,0.249
PTB7Y6_50,A,0.016,2.758,0.02,0.288
PTB7Y6_50,B,0.001,0.079,0.035,0.251
PTB7Y6_50,C,0.015,3.449,0.02,0.211
PTB7Y6_50,D,0.013,2.43,0.02,0.273
PTB7Y6_50,E,0.0,2.073,0.01,0.005
PTB7Y6_50,F,0.0,0.001,0.191,0.049
