name,channel,pce,jsc,voc,ff
0F_A,a,6.36,-9.638,1.0,0.649
0F_A,b,6.356,-9.411,0.99,0.671
0F_A,c,6.401,-9.501,0.99,0.67
0F_A,d,6.609,-9.983,0.99,0.658
0F_A,e,6.74,-10.142,0.99,0.661
0F_A,f,4.192,-10.257,0.96,0.419
0F_B,a,6.513,-9.757,1.0,0.657
0F_B,b,6.187,-9.286,0.99,0.662
0F_B,c,6.201,-9.309,0.99,0.662
0F_B,d,6.131,-9.476,0.99,0.643
0F_B,e,5.996,-9.446,0.99,0.631
0F_B,f,6.234,-9.454,0.99,0.655
1F_A,a,8.589,-14.478,0.97,0.602
1F_A,b,8.716,-14.59,0.96,0.612
1F_A,c,8.982,-14.908,0.96,0.618
1F_A,d,9.188,-15.749,0.96,0.598
1F_A,e,9.293,-15.634,0.96,0.609
1F_A,f,9.309,-15.38,0.96,0.62
