name,channel,pce,jsc,voc,ff
Y6_90,B,7.975,18.629,0.75,0.565
Y6_90,C,134.063,19.145,1.0,6.933
Y6_90,A,-0.026,16.642,1.01,0.002
Y6_90,D,0.0,0.0,0.745,0.86
Y6_90,E,7.411,17.525,0.74,0.566
Y6_90,F,7.647,17.775,0.74,0.576
Y6_30_v1,B,0.0,0.0,0.95,0.958
Y6_30_v1,C,-0.0,0.043,1.0,0.01
Y6_30_v1,A,0.0,0.005,0.94,0.107
Y6_30_v1,D,-0.001,0.084,1.0,0.01
Y6_30_v1,E,-0.001,0.146,1.0,0.01
Y6_30_v1,F,0.146,0.184,1.01,0.779
ADoE_02,B,10.133,18.521,0.8,0.677
ADoE_02,C,10.072,18.233,0.79,0.692
ADoE_02,A,9.624,18.296,0.8,0.651
ADoE_02,D,7.948,15.647,0.79,0.636
ADoE_02,E,9.307,17.312,0.79,0.674
ADoE_02,F,2.57,16.694,0.32,0.476
ADoE_04,B,11.438,22.802,0.83,0.598
ADoE_04,C,11.987,23.266,0.83,0.615
ADoE_04,A,-0.042,23.655,1.01,0.002
ADoE_04,D,3.452,20.053,0.46,0.37
ADoE_04,E,7.844,21.448,0.69,0.525
ADoE_04,F,9.414,23.022,0.72,0.562
ADoE_03,B,12.29,22.811,0.83,0.643
ADoE_03,C,12.67,22.453,0.83,0.673
ADoE_03,A,-0.04,22.969,1.01,0.002
ADoE_03,D,0.0,0.001,0.98,0.308
ADoE_03,E,11.471,21.512,0.83,0.636
ADoE_03,F,0.0,0.001,0.826,0.641
Y6_60,B,10.206,22.204,0.8,0.569
Y6_60,C,10.583,21.956,0.8,0.596
Y6_60,A,-0.01,21.902,1.01,0.0
Y6_60,D,6.199,23.22,0.73,0.362
Y6_60,E,9.833,24.691,0.74,0.533
Y6_60,F,6.491,23.452,0.57,0.481
Y6_30_v2,B,0.0,0.0,0.87,0.297
Y6_30_v2,C,0.0,0.0,0.94,0.389
Y6_30_v2,A,-0.0,0.711,0.57,-0.0
Y6_30_v2,D,0.0,0.0,0.92,0.251
Y6_30_v2,E,0.0,0.0,0.93,0.2
Y6_30_v2,F,0.0,0.001,0.93,0.168
ADoE_01,B,9.709,22.37,0.8,0.537
ADoE_01,C,0.085,0.04,0.921,2.268
ADoE_01,A,-0.018,22.697,1.01,0.001
ADoE_01,D,3.187,19.609,0.45,0.358
ADoE_01,E,4.884,20.811,0.52,0.447
ADoE_01,F,4.533,20.403,0.53,0.415
Y6_10,B,0.43,1.4,0.88,0.345
Y6_10,C,0.449,1.463,0.88,0.345
Y6_10,A,0.39,1.531,0.88,0.286
Y6_10,D,0.056,0.612,0.33,0.275
Y6_10,E,0.37,1.199,0.88,0.347
Y6_10,F,0.364,1.181,0.88,0.346
