x0000,y0000
0.2054736715,1326.097656,
0.2072916988,1501.511842,
0.209109726,1411.861842,
0.2109277533,1506.984127,
0.2127457805,1504.219727,
0.2145638077,1541.023278,
0.216381835,1485.973958,
0.2181998622,1603.433376,
0.2200178895,1611.672906,
0.2218359167,1623.809481,
0.2236539439,1614.347153,
0.2254719712,1732.30625,
0.2272899984,1771.173611,
0.2291080257,1740.795833,
0.2309260529,1791.815448,
0.2327440801,1918.092548,
0.2345621074,1955.725984,
0.2363801346,1851.791863,
0.2381981619,1983.081667,
0.2400161891,2077.456309,
0.2418342163,2132.670404,
0.2436522436,2072.125576,
0.2454702708,2248.868916,
0.2472882981,2348.083097,
0.2491063253,2321.173119,
0.2509243525,2243.232222,
0.2527423798,2524.446467,
0.254560407,2556.5579,
0.2563784343,2556.560335,
0.2581964615,2515.623073,
0.2600144887,2786.552301,
0.261832516,2797.323985,
0.2636505432,2727.954044,
0.2654685705,2853.990586,
0.2672865977,2984.324638,
0.2691046249,3031.155602,
0.2709226522,2925.030627,
0.2727406794,2960.635714,
0.2745587067,3143.718,
0.2763767339,3186.296443,
0.2781947612,2979.330534,
0.2800127884,3095.076141,
0.2818308156,3208.325295,
0.2836488429,3124.995433,
0.2854668701,3072.426599,
0.2872848974,3087.659615,
0.2891029246,3146.664299,
0.2909209518,3089.688227,
0.2927389791,2954.252315,
0.2945570063,3016.934691,
0.2963750336,2996.417954,
0.2981930608,2891.71702,
0.300011088,2800.899725,
0.3018291153,2884.747212,
0.3036471425,2800.364469,
0.3054651698,2720.537362,
0.307283197,2692.226844,
0.3091012242,2690.864805,
0.3109192515,2592.744604,
0.3127372787,2529.525578,
0.314555306,2490.505623,
0.3163733332,2494.421547,
0.3181913604,2422.777682,
0.3200093877,2358.636719,
0.3218274149,2344.132705,
0.3236454422,2336.588058,
0.3254634694,2255.475589,
0.3272814966,2214.439003,
0.3290995239,2189.506022,
0.3309175511,2171.72881,
0.3327355784,2123.231187,
0.3345536056,2083.75207,
0.3363716328,2056.673474,
