#PM6:Y6 w/1-chloronaphthalene,,,,
Threshold,Counts,Parameterspace Fraction,Mean PCE,Fill Fraction
9.1,211688,0.066153,9.777563833,0.222919072
9.276526015,171132,0.053479,9.917681479,0.181042292
9.456476364,135874,0.042461,10.0612907,0.14468941
9.639917473,105676,0.033024,10.20859674,0.113574026
9.826917057,80330,0.025103,10.35978338,0.087438234
10.01754415,59589,0.018622,10.51324505,0.065758518
10.21186911,42830,0.013384,10.67110789,0.048202014
10.40996367,29861,0.009332,10.82981895,0.034243374
10.61190097,19886,0.006214,10.99233805,0.023394996
10.81775554,12645,0.003952,11.15473853,0.015229342
11.02760338,7482,0.002338,11.31853518,0.00924796
11.24152193,3986,0.001246,11.48557305,0.005117446
11.45959018,1851,0.000578,11.65211501,0.00247595
11.68188862,667,0.000208,11.81959087,0.000948131
11.90849931,128,0.00004,11.98894504,0.000210568
12.13950589,1,0,12.13950589,4.72E-06
